Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R
30,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
33,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
34,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
35,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
36,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
41,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
46,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
49,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
50,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
51,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
52,NULL,Water,Water,Water,Water,NULL,NULL,Water
53,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
55,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
57,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
60,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
67,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
68,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
69,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
72,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
78,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
83,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
84,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
88,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
89,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
90,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
91,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
92,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
93,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
94,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
95,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
96,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
97,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
98,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
99,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
100,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
101,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
102,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
105,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
106,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
107,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
108,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
109,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
110,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
111,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
112,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
113,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
114,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
115,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
117,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
118,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
119,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
120,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
122,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
123,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
124,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
125,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
126,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
129,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
133,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
134,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
135,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
136,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
139,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
140,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
141,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
142,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
143,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
144,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
145,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
146,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
147,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
148,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
149,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
150,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
151,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
152,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
153,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
154,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
155,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
156,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
157,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
158,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
159,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
160,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
161,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
164,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
166,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
167,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
168,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
170,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
171,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
172,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
173,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
174,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
175,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
176,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
177,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
178,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
179,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
180,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
181,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
182,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
183,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
184,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
185,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
186,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
187,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
189,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
190,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
191,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
192,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
193,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
194,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
195,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
197,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
199,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
200,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
201,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
202,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
203,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
204,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
207,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
211,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
213,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
214,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
215,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
216,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
218,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
220,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
221,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
222,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
223,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
224,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
225,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
226,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
227,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
228,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
229,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
230,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
231,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
232,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
233,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
234,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
235,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
236,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
238,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
239,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
242,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
243,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
244,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
245,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
247,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
248,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
249,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
250,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
251,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
252,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
253,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
254,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
255,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
256,Bareland,Water,Water,Water,Water,NULL,NULL,Water
257,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
258,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
260,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
261,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
262,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
264,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
265,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
266,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
267,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
268,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
269,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
270,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
271,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
272,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
273,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
274,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
275,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
276,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
277,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
278,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
279,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
280,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
281,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
283,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
284,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
285,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
286,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
287,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
288,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
289,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
290,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
291,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
292,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
293,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
294,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
295,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
296,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
297,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
298,Bareland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,Bareland,Forest,Water,NULL,Water,NULL,NULL,Water
300,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
301,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
302,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
303,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
307,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
309,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
310,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
311,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
312,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
315,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
318,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
319,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
320,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
321,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
323,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
324,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
325,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
326,Water,Bareland,Water,Water,Water,NULL,NULL,Bareland
327,Water,Bareland,Water,Water,Water,NULL,NULL,Water
328,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
329,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
331,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
332,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
333,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
334,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
335,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
336,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
337,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
338,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
339,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
340,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
