Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFQ_M_R
6568,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
6569,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
6570,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
6571,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
6572,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
6573,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
6574,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6575,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
6576,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6577,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
6578,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
6579,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
6580,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6581,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
6582,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
6583,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
6584,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
6585,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
6586,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
6587,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
6588,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Water,Grassland
6589,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Water,Forest
6590,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
6591,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Forest,Forest
6592,Grassland,Water,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
6593,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
6594,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
6595,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
6596,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
6597,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
6598,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
6599,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
6600,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
6601,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
6602,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Forest
6603,Grassland,Water,Wetland,NULL,Wetland,Water,Forest,Bareland
6604,Grassland,Water,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
6605,Grassland,Water,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
6606,Grassland,Water,Wetland,NULL,Wetland,Forest,Shrubland,Forest
6607,Grassland,Water,Wetland,NULL,Wetland,Forest,Wetland,Wetland
6608,Grassland,Water,Wetland,NULL,Wetland,Forest,Water,Forest
6609,Grassland,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
6610,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
6611,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
6612,Grassland,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
6613,Grassland,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
6614,Grassland,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
6615,Grassland,Water,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
6616,Grassland,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
6617,Grassland,Water,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
6618,Grassland,Water,Wetland,Water,Wetland,NULL,Water,Wetland
6619,Grassland,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
6620,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
6621,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
6622,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
6623,Grassland,Water,Wetland,Water,Wetland,Forest,Water,Wetland
6624,Grassland,Water,Wetland,Water,Wetland,Forest,Water,Forest
6625,Grassland,Water,Water,Water,Water,NULL,Water,Wetland
6626,Grassland,Water,Water,Water,Water,Shrubland,Water,Forest
6627,Grassland,Water,Water,Water,Water,Forest,Water,Water
6628,Grassland,Water,Water,Water,Water,Forest,Water,Forest
6629,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6630,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6631,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
6632,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6633,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
6634,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6635,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6636,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
6637,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
6638,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
6639,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
6640,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
6641,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
6642,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
6643,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
6644,Grassland,Water,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
6645,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6646,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6647,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6648,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6649,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6650,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
6651,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6652,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6653,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6654,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6655,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6656,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6657,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
6658,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
6659,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6660,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6661,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6662,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
6663,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6664,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6665,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6666,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6667,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6668,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
6669,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
6670,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
6671,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
6672,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6673,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
6674,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
6675,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
6676,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6677,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6678,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
6679,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
6680,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
6681,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
6682,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
6683,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
6684,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
6685,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
6686,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
6687,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6688,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6689,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6690,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
6691,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6692,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6693,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
6694,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6695,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
6696,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
6697,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6698,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
6699,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
6700,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6701,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
6702,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
6703,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6704,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6705,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6706,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6707,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
6708,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
6709,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
6710,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6711,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6712,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
6713,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
6714,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
6715,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
6716,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6717,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
6718,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
6719,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
6720,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
6721,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
6722,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
6723,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
6724,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
6725,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
6726,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
6727,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
6728,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
6729,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
6730,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
6731,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
6732,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
6733,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6734,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6735,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6736,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6737,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6738,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
6739,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
6740,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
6741,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6742,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
6743,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
6744,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6745,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6746,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
6747,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6748,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
6749,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
6750,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
6751,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
6752,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
6753,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6754,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
6755,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6756,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
6757,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
6758,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
6759,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
6760,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
6761,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
6762,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
6763,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
6764,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6765,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6766,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
6767,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
6768,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6769,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6770,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6771,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
6772,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6773,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
6774,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
6775,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
6776,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6777,Grassland,Forest,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
6778,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest,Grassland
6779,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
6780,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
6781,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
6782,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
6783,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
6784,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
6785,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
6786,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
6787,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Water,Forest
6788,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Forest,NULL
6789,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
6790,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
6791,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
6792,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
6793,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
6794,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
6795,Grassland,Forest,Wetland,NULL,Wetland,Forest,Shrubland,Forest
6796,Grassland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
6797,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
6798,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
6799,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
6800,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
6801,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
6802,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
6803,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
6804,Grassland,Forest,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
6805,Grassland,Forest,Wetland,Water,Wetland,NULL,Water,Wetland
6806,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
6807,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
6808,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
6809,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
6810,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Water,Water
6811,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Forest,Grassland
6812,Grassland,Forest,Wetland,Water,Wetland,Bareland,Shrubland,Wetland
6813,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
6814,Grassland,Forest,Water,NULL,Water,Grassland,Grassland,Grassland
6815,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6816,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6817,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
6818,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
6819,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6820,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
6821,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
6822,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
6823,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
6824,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6825,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6826,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6827,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
6828,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6829,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
6830,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6831,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
6832,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
6833,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
6834,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
6835,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
6836,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
6837,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6838,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
6839,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6840,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
6841,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
6842,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
6843,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
6844,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
6845,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
6846,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
6847,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
6848,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
6849,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
6850,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
6851,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
6852,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6853,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
6854,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
6855,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
6856,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
6857,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
6858,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
6859,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
6860,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
6861,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
6862,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6863,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
6864,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
6865,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
6866,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
6867,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6868,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
6869,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
6870,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
6871,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6872,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
6873,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
6874,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6875,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
6876,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6877,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
6878,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6879,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
6880,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
6881,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6882,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6883,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
6884,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6885,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6886,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6887,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
6888,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6889,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6890,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
6891,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
6892,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
