Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKE_M_R
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
90,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
91,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
92,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
100,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
101,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
102,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
103,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
104,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
106,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
107,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
108,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
114,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
115,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
116,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
117,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
118,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
119,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
120,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
121,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
122,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
123,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
124,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
125,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
127,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
128,NULL,Wetland,Water,NULL,Water,Water,Wetland,NULL
129,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
130,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
131,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
132,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
133,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
135,NULL,Bareland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
136,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
137,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
138,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,NULL
139,NULL,Bareland,Water,NULL,Water,Wetland,Water,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
141,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
142,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
143,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,NULL
144,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
145,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
146,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
147,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
148,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
149,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,NULL
150,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
151,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
152,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
153,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
154,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
155,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,NULL
156,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
157,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
158,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
159,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
160,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
162,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,NULL
163,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
164,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
165,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
166,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
167,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
168,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,NULL
169,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Built-up,NULL
170,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,NULL
171,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
172,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
187,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,NULL
188,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
189,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,NULL
190,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
191,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
192,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,NULL
193,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
194,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
195,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
196,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
197,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
202,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
203,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
205,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
206,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
207,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
208,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
209,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
210,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
211,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
212,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
213,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
214,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
215,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
216,NULL,Water,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
217,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
218,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
219,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
220,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,NULL
221,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
222,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
223,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
224,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
225,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
226,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
227,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
228,NULL,Water,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
229,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
230,NULL,Water,NULL,NULL,Non_Wetland,Water,Bareland,NULL
231,NULL,Water,NULL,NULL,Non_Wetland,Water,Built-up,NULL
232,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
233,NULL,Water,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
234,NULL,Water,NULL,NULL,Non_Wetland,Forest,Water,NULL
235,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
236,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
237,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
238,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
239,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
240,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
241,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
242,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
243,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
244,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
245,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
246,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
247,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
248,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
249,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
250,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
251,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
252,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
253,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
254,NULL,Water,Water,NULL,Water,Water,Water,NULL
255,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
256,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,NULL
257,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
258,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
259,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
260,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
261,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
262,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Water,NULL
263,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
264,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
265,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
266,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
267,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
268,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
269,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
270,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
271,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Water,NULL
272,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
273,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
274,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,NULL
275,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
276,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
283,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
284,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
285,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
286,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
287,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
288,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
289,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
290,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
291,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Water,NULL
292,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
293,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
294,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
295,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
296,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
297,NULL,Forest,Water,NULL,Water,Wetland,Wetland,NULL
298,NULL,Forest,Water,NULL,Water,Water,Water,NULL
299,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
300,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
301,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
302,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
303,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
304,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
305,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
306,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
307,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
308,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
309,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
310,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
311,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
312,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
313,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
314,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
315,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
316,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
317,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
318,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
319,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
320,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
321,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
322,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
323,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
324,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
328,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
329,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
330,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
331,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
332,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
333,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
334,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
335,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
337,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
