Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R
28,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
30,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
31,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
35,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
42,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
43,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
44,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
47,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
48,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
50,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
51,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
52,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
55,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
57,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
58,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
59,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
60,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
61,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
62,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
63,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
64,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
65,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
66,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
70,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
71,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
72,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
74,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
75,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
76,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
77,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
80,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
81,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
82,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
84,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
85,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
87,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
88,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
91,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
92,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
93,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
94,Grassland,Water,Water,Water,Water,NULL,NULL,Water
95,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
97,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
103,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
105,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
106,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
107,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
108,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
109,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
110,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
111,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
112,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
113,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
114,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
115,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
116,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
117,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
118,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
119,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Water
120,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
121,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
122,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
123,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
124,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
125,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
126,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
127,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
128,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
129,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
130,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
131,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
132,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
134,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
135,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
136,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
138,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
139,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
140,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
141,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
142,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
143,Wetland,Forest,Water,Water,Water,NULL,NULL,Grassland
144,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
145,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
146,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
147,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
148,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
149,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
150,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
151,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
152,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
153,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
154,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
155,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
156,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
157,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
158,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
159,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
160,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
161,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
162,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
163,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
164,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
165,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
166,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
167,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
168,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
169,Bareland,Water,Water,Water,Water,NULL,NULL,Water
170,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
171,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
172,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
173,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
174,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Water
175,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
176,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
177,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
178,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
179,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
180,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
181,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
182,Water,NULL,Water,Water,Water,NULL,NULL,Water
183,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
184,Water,Wetland,Water,Water,Water,NULL,NULL,Water
185,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
186,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
187,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
188,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
189,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
190,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
191,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
192,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
193,Water,Bareland,Water,Water,Water,NULL,NULL,Water
194,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
195,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
196,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
197,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
199,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
201,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
202,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
203,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
204,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
205,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
207,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
209,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
210,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
211,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
213,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
214,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
216,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
218,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
219,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
220,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
222,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
225,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
227,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
228,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
229,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
230,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
231,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
232,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
233,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
234,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
235,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
236,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
237,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
238,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
239,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
240,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
241,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
242,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
243,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
244,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
245,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
246,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
247,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
248,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
249,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
250,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
252,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
253,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
254,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
256,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
257,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
258,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
259,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
260,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
261,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
262,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
263,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
264,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
265,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
266,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
267,Water,Water,Water,NULL,Water,NULL,NULL,Water
268,Water,Water,Water,NULL,Water,NULL,NULL,Forest
269,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
270,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
271,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
272,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
273,Water,Water,Water,Water,Water,NULL,NULL,Grassland
274,Water,Water,Water,Water,Water,NULL,NULL,Wetland
275,Water,Water,Water,Water,Water,NULL,NULL,Water
276,Water,Water,Water,Water,Water,NULL,NULL,Forest
277,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
278,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
279,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
281,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
283,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
284,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
285,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
286,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
287,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
288,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
289,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
291,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
292,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
293,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
295,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
296,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
297,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
299,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
300,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
302,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
303,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
304,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
305,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
306,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
307,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
308,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
309,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
310,Water,Forest,Water,Water,Water,NULL,NULL,Water
311,Water,Forest,Water,Water,Water,NULL,NULL,Forest
312,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
313,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
315,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
316,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
317,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
318,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
319,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
320,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
321,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
322,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
323,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
324,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
326,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
327,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
328,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
330,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
331,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
333,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
334,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
335,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
337,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
338,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
340,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
341,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
343,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Forest,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
345,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
346,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
347,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
348,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
349,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
350,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
351,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
352,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
353,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
354,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
355,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
356,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
357,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
358,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
