Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R
429,Cropland,Forest,Water,Water,Water,Water
430,Cropland,Forest,Water,Water,Water,Forest
431,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
432,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
433,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
434,Cropland,Forest,Forest,NULL,Non_Wetland,Water
435,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
436,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
437,Cropland,Forest,Forest,Non_Water,Non_Wetland,Bareland
438,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water
439,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
440,Cropland,Forest,Forest,Water,Non_Wetland,Water
441,Cropland,Forest,Forest,Water,Non_Wetland,Forest
442,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
443,Wetland,NULL,Grassland,Water,Non_Wetland,Water
444,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
445,Wetland,NULL,Wetland,Water,Wetland,Water
446,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
447,Wetland,NULL,Bareland,Water,Non_Wetland,Forest
448,Wetland,NULL,Water,Water,Water,Water
449,Wetland,NULL,Water,Water,Water,Forest
450,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,Water
451,Wetland,Bareland,Water,Non_Water,Water,Water
452,Wetland,Bareland,Water,Water,Water,Water
453,Wetland,Built-up,Wetland,Non_Water,Wetland,Water
454,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water
455,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Water
456,Wetland,Forest,Water,Water,Water,Water
457,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
458,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
459,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
460,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
461,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
462,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
463,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
464,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
465,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
466,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
467,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
468,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
469,Bareland,NULL,Cropland,Water,Non_Wetland,Water
470,Bareland,NULL,Wetland,NULL,Wetland,Bareland
471,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
472,Bareland,NULL,Wetland,Non_Water,Wetland,Water
473,Bareland,NULL,Wetland,Water,Wetland,Water
474,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
475,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
476,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
477,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
478,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Forest
479,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
480,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
481,Bareland,NULL,Bareland,Water,Non_Wetland,Water
482,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
483,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
484,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
485,Bareland,NULL,Water,NULL,Water,Bareland
486,Bareland,NULL,Water,Non_Water,Water,Bareland
487,Bareland,NULL,Water,Water,Water,Bareland
488,Bareland,NULL,Water,Water,Water,Water
489,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
490,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
491,Bareland,NULL,Forest,NULL,Non_Wetland,Water
492,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
493,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
494,Bareland,NULL,Forest,Non_Water,Non_Wetland,Forest
495,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
496,Bareland,NULL,Forest,Water,Non_Wetland,Water
497,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
498,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
499,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
500,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
501,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
502,Bareland,Bareland,NULL,Water,Non_Wetland,Water
503,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
504,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
505,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
506,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
507,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
508,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
509,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
510,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland
511,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
512,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
513,Bareland,Bareland,Shrubland,Water,Non_Wetland,Forest
514,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
515,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
516,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
517,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
518,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
519,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
520,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
521,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
522,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
523,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
524,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
525,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
526,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
527,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
528,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
529,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
530,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Forest
531,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
532,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
533,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
534,Bareland,Bareland,Cropland,Water,Non_Wetland,Forest
535,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
536,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
537,Bareland,Bareland,Wetland,NULL,Wetland,Water
538,Bareland,Bareland,Wetland,NULL,Wetland,Forest
539,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
540,Bareland,Bareland,Wetland,Non_Water,Wetland,Cropland
541,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
542,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
543,Bareland,Bareland,Wetland,Non_Water,Wetland,Forest
544,Bareland,Bareland,Wetland,Water,Wetland,Grassland
545,Bareland,Bareland,Wetland,Water,Wetland,Cropland
546,Bareland,Bareland,Wetland,Water,Wetland,Bareland
547,Bareland,Bareland,Wetland,Water,Wetland,Water
548,Bareland,Bareland,Wetland,Water,Wetland,Forest
549,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
550,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
551,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
552,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
553,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
554,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
555,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
556,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
557,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Forest
558,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
559,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
560,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
561,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
562,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
563,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
564,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
565,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
566,Bareland,Bareland,Built-up,NULL,Non_Wetland,Forest
567,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
568,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
569,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
570,Bareland,Bareland,Water,NULL,Water,Grassland
571,Bareland,Bareland,Water,NULL,Water,Cropland
572,Bareland,Bareland,Water,NULL,Water,Bareland
573,Bareland,Bareland,Water,NULL,Water,Water
574,Bareland,Bareland,Water,NULL,Water,Forest
575,Bareland,Bareland,Water,Non_Water,Water,Grassland
576,Bareland,Bareland,Water,Non_Water,Water,Cropland
577,Bareland,Bareland,Water,Non_Water,Water,Bareland
578,Bareland,Bareland,Water,Non_Water,Water,Water
579,Bareland,Bareland,Water,Non_Water,Water,Forest
580,Bareland,Bareland,Water,Water,Water,Grassland
581,Bareland,Bareland,Water,Water,Water,Cropland
582,Bareland,Bareland,Water,Water,Water,Bareland
583,Bareland,Bareland,Water,Water,Water,Water
584,Bareland,Bareland,Water,Water,Water,Forest
585,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
586,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
587,Bareland,Bareland,Forest,NULL,Non_Wetland,Water
588,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
589,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Grassland
590,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
591,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
592,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
593,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland
594,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland
595,Bareland,Bareland,Forest,Water,Non_Wetland,Water
596,Bareland,Bareland,Forest,Water,Non_Wetland,Forest
597,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
598,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
599,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
600,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
601,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
602,Bareland,Built-up,Wetland,Water,Wetland,Bareland
603,Bareland,Built-up,Wetland,Water,Wetland,Water
604,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
605,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
606,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Water
607,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
608,Bareland,Built-up,Water,Water,Water,Grassland
609,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
610,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland
611,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
612,Bareland,Water,NULL,NULL,Non_Wetland,Water
613,Bareland,Water,NULL,Water,Non_Wetland,Forest
614,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
615,Bareland,Water,Shrubland,NULL,Non_Wetland,Water
616,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
617,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
618,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
619,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
620,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
621,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland
622,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
623,Bareland,Water,Shrubland,Water,Non_Wetland,Water
624,Bareland,Water,Shrubland,Water,Non_Wetland,Forest
625,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
626,Bareland,Water,Grassland,NULL,Non_Wetland,Water
627,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
628,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
629,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water
630,Bareland,Water,Grassland,Non_Water,Non_Wetland,Forest
631,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
632,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
633,Bareland,Water,Grassland,Water,Non_Wetland,Water
634,Bareland,Water,Grassland,Water,Non_Wetland,Forest
635,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
636,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
637,Bareland,Water,Cropland,NULL,Non_Wetland,Water
638,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
639,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
640,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
641,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
642,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
643,Bareland,Water,Cropland,Water,Non_Wetland,Grassland
644,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
645,Bareland,Water,Cropland,Water,Non_Wetland,Water
646,Bareland,Water,Cropland,Water,Non_Wetland,Forest
647,Bareland,Water,Wetland,NULL,Wetland,Grassland
648,Bareland,Water,Wetland,NULL,Wetland,Bareland
649,Bareland,Water,Wetland,NULL,Wetland,Water
650,Bareland,Water,Wetland,NULL,Wetland,Forest
651,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
652,Bareland,Water,Wetland,Non_Water,Wetland,Water
653,Bareland,Water,Wetland,Non_Water,Wetland,Forest
654,Bareland,Water,Wetland,Water,Wetland,Grassland
655,Bareland,Water,Wetland,Water,Wetland,Bareland
656,Bareland,Water,Wetland,Water,Wetland,Water
657,Bareland,Water,Wetland,Water,Wetland,Forest
658,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
659,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
660,Bareland,Water,Bareland,NULL,Non_Wetland,Water
661,Bareland,Water,Bareland,NULL,Non_Wetland,Forest
662,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
663,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
664,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
665,Bareland,Water,Bareland,Non_Water,Non_Wetland,Forest
666,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
667,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
668,Bareland,Water,Bareland,Water,Non_Wetland,Water
669,Bareland,Water,Bareland,Water,Non_Wetland,Forest
670,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
671,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
672,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
673,Bareland,Water,Water,NULL,Water,Grassland
674,Bareland,Water,Water,NULL,Water,Bareland
675,Bareland,Water,Water,NULL,Water,Water
676,Bareland,Water,Water,NULL,Water,Forest
677,Bareland,Water,Water,Non_Water,Water,Grassland
678,Bareland,Water,Water,Non_Water,Water,Bareland
679,Bareland,Water,Water,Non_Water,Water,Water
680,Bareland,Water,Water,Non_Water,Water,Forest
681,Bareland,Water,Water,Water,Water,Grassland
682,Bareland,Water,Water,Water,Water,Bareland
683,Bareland,Water,Water,Water,Water,Water
684,Bareland,Water,Water,Water,Water,Forest
685,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
686,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
687,Bareland,Water,Forest,NULL,Non_Wetland,Water
688,Bareland,Water,Forest,NULL,Non_Wetland,Forest
689,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
690,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
691,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
692,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
693,Bareland,Water,Forest,Water,Non_Wetland,Grassland
694,Bareland,Water,Forest,Water,Non_Wetland,Bareland
695,Bareland,Water,Forest,Water,Non_Wetland,Water
696,Bareland,Water,Forest,Water,Non_Wetland,Forest
697,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
698,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
699,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
700,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
701,Bareland,Forest,Shrubland,Water,Non_Wetland,Grassland
702,Bareland,Forest,Shrubland,Water,Non_Wetland,Bareland
703,Bareland,Forest,Shrubland,Water,Non_Wetland,Water
704,Bareland,Forest,Shrubland,Water,Non_Wetland,Forest
705,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
706,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
707,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
708,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
709,Bareland,Forest,Cropland,NULL,Non_Wetland,Water
710,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
711,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
712,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
713,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Forest
714,Bareland,Forest,Cropland,Water,Non_Wetland,Bareland
715,Bareland,Forest,Cropland,Water,Non_Wetland,Water
716,Bareland,Forest,Cropland,Water,Non_Wetland,Forest
717,Bareland,Forest,Wetland,NULL,Wetland,Water
718,Bareland,Forest,Wetland,Non_Water,Wetland,Water
719,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
720,Bareland,Forest,Wetland,Water,Wetland,Water
721,Bareland,Forest,Wetland,Water,Wetland,Forest
722,Bareland,Forest,Bareland,NULL,Non_Wetland,Cropland
723,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
724,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest
725,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water
726,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Forest
727,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland
728,Bareland,Forest,Bareland,Water,Non_Wetland,Water
729,Bareland,Forest,Bareland,Water,Non_Wetland,Forest
730,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland
731,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
732,Bareland,Forest,Water,NULL,Water,Grassland
733,Bareland,Forest,Water,NULL,Water,Forest
734,Bareland,Forest,Water,Non_Water,Water,Forest
735,Bareland,Forest,Water,Water,Water,Bareland
736,Bareland,Forest,Water,Water,Water,Water
737,Bareland,Forest,Water,Water,Water,Forest
738,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
739,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
740,Bareland,Forest,Forest,NULL,Non_Wetland,Water
741,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
742,Bareland,Forest,Forest,Non_Water,Non_Wetland,Bareland
743,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water
744,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
745,Bareland,Forest,Forest,Water,Non_Wetland,Grassland
746,Bareland,Forest,Forest,Water,Non_Wetland,Bareland
747,Bareland,Forest,Forest,Water,Non_Wetland,Water
748,Bareland,Forest,Forest,Water,Non_Wetland,Forest
749,Water,NULL,NULL,Non_Water,Non_Wetland,Forest
750,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
751,Water,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
752,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water
753,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
754,Water,NULL,Shrubland,Water,Non_Wetland,Water
755,Water,NULL,Grassland,NULL,Non_Wetland,Forest
756,Water,NULL,Grassland,Water,Non_Wetland,Water
757,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
758,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
759,Water,NULL,Cropland,NULL,Non_Wetland,Forest
760,Water,NULL,Cropland,Non_Water,Non_Wetland,Bareland
761,Water,NULL,Cropland,Non_Water,Non_Wetland,Water
762,Water,NULL,Cropland,Water,Non_Wetland,Bareland
763,Water,NULL,Cropland,Water,Non_Wetland,Water
764,Water,NULL,Wetland,NULL,Wetland,Water
765,Water,NULL,Wetland,NULL,Wetland,Forest
766,Water,NULL,Wetland,Non_Water,Wetland,Water
767,Water,NULL,Wetland,Water,Wetland,Bareland
768,Water,NULL,Wetland,Water,Wetland,Water
769,Water,NULL,Wetland,Water,Wetland,Forest
770,Water,NULL,Bareland,NULL,Non_Wetland,Forest
771,Water,NULL,Bareland,Non_Water,Non_Wetland,Bareland
772,Water,NULL,Bareland,Non_Water,Non_Wetland,Water
773,Water,NULL,Bareland,Water,Non_Wetland,Water
774,Water,NULL,Water,NULL,Water,Grassland
775,Water,NULL,Water,NULL,Water,Bareland
776,Water,NULL,Water,Water,Water,Bareland
777,Water,NULL,Water,Water,Water,Water
778,Water,NULL,Water,Water,Water,Forest
779,Water,NULL,Forest,NULL,Non_Wetland,Grassland
780,Water,NULL,Forest,NULL,Non_Wetland,Bareland
781,Water,NULL,Forest,NULL,Non_Wetland,Water
782,Water,NULL,Forest,NULL,Non_Wetland,Forest
783,Water,NULL,Forest,Non_Water,Non_Wetland,Bareland
784,Water,NULL,Forest,Non_Water,Non_Wetland,Water
785,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
786,Water,NULL,Forest,Water,Non_Wetland,Bareland
787,Water,NULL,Forest,Water,Non_Wetland,Water
788,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest
789,Water,Cropland,Forest,NULL,Non_Wetland,Forest
790,Water,Cropland,Forest,Non_Water,Non_Wetland,Forest
791,Water,Wetland,Cropland,Water,Non_Wetland,Forest
792,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland
793,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
794,Water,Bareland,Shrubland,NULL,Non_Wetland,Water
795,Water,Bareland,Shrubland,NULL,Non_Wetland,Forest
796,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
797,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
798,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Water
799,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
800,Water,Bareland,Shrubland,Water,Non_Wetland,Grassland
801,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
802,Water,Bareland,Shrubland,Water,Non_Wetland,Water
803,Water,Bareland,Shrubland,Water,Non_Wetland,Forest
804,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland
805,Water,Bareland,Grassland,NULL,Non_Wetland,Water
806,Water,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
807,Water,Bareland,Grassland,Non_Water,Non_Wetland,Water
808,Water,Bareland,Grassland,Non_Water,Non_Wetland,Forest
809,Water,Bareland,Grassland,Water,Non_Wetland,Water
810,Water,Bareland,Grassland,Water,Non_Wetland,Forest
811,Water,Bareland,Cropland,NULL,Non_Wetland,Grassland
812,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
813,Water,Bareland,Cropland,NULL,Non_Wetland,Water
814,Water,Bareland,Cropland,NULL,Non_Wetland,Forest
815,Water,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
816,Water,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
817,Water,Bareland,Cropland,Non_Water,Non_Wetland,Water
818,Water,Bareland,Cropland,Non_Water,Non_Wetland,Forest
819,Water,Bareland,Cropland,Water,Non_Wetland,Grassland
820,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
821,Water,Bareland,Cropland,Water,Non_Wetland,Water
822,Water,Bareland,Cropland,Water,Non_Wetland,Forest
823,Water,Bareland,Wetland,NULL,Wetland,Grassland
824,Water,Bareland,Wetland,NULL,Wetland,Bareland
825,Water,Bareland,Wetland,NULL,Wetland,Water
826,Water,Bareland,Wetland,NULL,Wetland,Forest
827,Water,Bareland,Wetland,Non_Water,Wetland,Grassland
828,Water,Bareland,Wetland,Non_Water,Wetland,Bareland
829,Water,Bareland,Wetland,Non_Water,Wetland,Water
830,Water,Bareland,Wetland,Non_Water,Wetland,Forest
831,Water,Bareland,Wetland,Water,Wetland,Grassland
832,Water,Bareland,Wetland,Water,Wetland,Bareland
833,Water,Bareland,Wetland,Water,Wetland,Water
834,Water,Bareland,Wetland,Water,Wetland,Forest
835,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
836,Water,Bareland,Bareland,NULL,Non_Wetland,Water
837,Water,Bareland,Bareland,NULL,Non_Wetland,Forest
838,Water,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
839,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
840,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water
841,Water,Bareland,Bareland,Non_Water,Non_Wetland,Forest
842,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
843,Water,Bareland,Bareland,Water,Non_Wetland,Water
844,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
845,Water,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
846,Water,Bareland,Built-up,Non_Water,Non_Wetland,Water
847,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
848,Water,Bareland,Built-up,Water,Non_Wetland,Water
849,Water,Bareland,Water,NULL,Water,Grassland
850,Water,Bareland,Water,NULL,Water,Bareland
851,Water,Bareland,Water,NULL,Water,Water
852,Water,Bareland,Water,NULL,Water,Forest
853,Water,Bareland,Water,Non_Water,Water,Grassland
854,Water,Bareland,Water,Non_Water,Water,Bareland
855,Water,Bareland,Water,Non_Water,Water,Water
856,Water,Bareland,Water,Non_Water,Water,Forest
857,Water,Bareland,Water,Water,Water,Grassland
858,Water,Bareland,Water,Water,Water,Bareland
859,Water,Bareland,Water,Water,Water,Water
860,Water,Bareland,Water,Water,Water,Forest
861,Water,Bareland,Forest,NULL,Non_Wetland,Grassland
862,Water,Bareland,Forest,NULL,Non_Wetland,Bareland
863,Water,Bareland,Forest,NULL,Non_Wetland,Water
864,Water,Bareland,Forest,NULL,Non_Wetland,Forest
865,Water,Bareland,Forest,Non_Water,Non_Wetland,Grassland
866,Water,Bareland,Forest,Non_Water,Non_Wetland,Bareland
867,Water,Bareland,Forest,Non_Water,Non_Wetland,Water
868,Water,Bareland,Forest,Non_Water,Non_Wetland,Forest
869,Water,Bareland,Forest,Water,Non_Wetland,Grassland
870,Water,Bareland,Forest,Water,Non_Wetland,Bareland
871,Water,Bareland,Forest,Water,Non_Wetland,Water
872,Water,Bareland,Forest,Water,Non_Wetland,Forest
873,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
874,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
875,Water,Built-up,Shrubland,Water,Non_Wetland,Water
