Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R
118,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
121,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
123,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
124,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
125,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
126,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
128,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
129,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
130,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
131,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
135,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
136,Cropland,Water,Water,Water,Water,NULL,NULL,Water
137,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
138,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
141,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
144,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
145,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
146,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
147,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
148,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
149,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
150,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
151,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
152,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
153,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
154,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
155,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
156,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
157,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
158,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
159,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
160,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
161,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
163,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
164,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
166,Wetland,Bareland,Water,Water,Water,NULL,NULL,Grassland
167,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
168,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
169,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
170,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
172,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
173,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
175,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
176,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
177,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
178,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
179,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
180,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
181,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
182,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
183,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
184,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
185,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
186,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
187,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
188,Wetland,Water,Water,Water,Water,NULL,NULL,Water
189,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
190,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
191,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
192,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
193,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
195,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
196,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
197,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
199,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
200,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
201,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
202,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
203,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
204,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
205,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
206,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
207,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
208,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
209,Bareland,Water,Water,Water,Water,NULL,NULL,Water
210,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
211,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
212,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
215,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
216,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
217,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
218,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
219,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
220,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
221,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
222,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
223,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
224,Water,NULL,Water,Water,Water,NULL,NULL,Water
225,Water,NULL,Water,Water,Water,NULL,NULL,Forest
226,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,Water,Bareland,Water,Water,Water,NULL,NULL,Water
229,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
233,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
234,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
235,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
237,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
239,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
240,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
241,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
242,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
243,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
244,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
245,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
246,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
247,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
248,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
249,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
250,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
251,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
252,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
253,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
254,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
255,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
256,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
257,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
258,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
259,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
260,Water,Water,Water,NULL,Water,NULL,NULL,Water
261,Water,Water,Water,NULL,Water,NULL,NULL,Forest
262,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
263,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
264,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
265,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
266,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
267,Water,Water,Water,Water,Water,NULL,NULL,Grassland
268,Water,Water,Water,Water,Water,NULL,NULL,Wetland
269,Water,Water,Water,Water,Water,NULL,NULL,Bareland
270,Water,Water,Water,Water,Water,NULL,NULL,Water
271,Water,Water,Water,Water,Water,NULL,NULL,Forest
272,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
273,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
274,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
275,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
276,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
279,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
280,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
281,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
282,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
283,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
284,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
286,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
287,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
288,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
289,Water,Forest,Water,Water,Water,NULL,NULL,Forest
290,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
293,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
295,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
296,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
298,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
300,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
302,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
303,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
306,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
307,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
309,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
310,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
311,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
312,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
313,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
314,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
315,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
316,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
317,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
318,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
319,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
320,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
321,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
322,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
323,Forest,NULL,Water,Water,Water,NULL,NULL,Water
324,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
325,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
328,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
329,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
330,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
331,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
332,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
333,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
334,Forest,Wetland,Water,Water,Water,NULL,NULL,Bareland
335,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
336,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Forest,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
338,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
339,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
341,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
343,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
344,Forest,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
345,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
346,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
347,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
348,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
349,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
350,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
351,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
352,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
353,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
354,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
355,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
356,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
357,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
358,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
