Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
99,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
173,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
208,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
210,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
220,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
223,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
230,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
238,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
240,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
241,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
301,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
316,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
320,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
321,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
323,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
