Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
75,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
79,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
101,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
102,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
103,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
109,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
111,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
113,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
128,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
134,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
141,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
144,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
146,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
150,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
151,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
152,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
153,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Forest
154,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
158,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
159,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
160,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
161,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
162,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
163,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
164,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
165,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
172,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
173,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
175,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
176,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
177,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
182,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
183,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
184,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
185,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
186,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
192,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
193,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
197,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
202,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Wetland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
207,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
208,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
210,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
211,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
212,NULL,NULL,Water,Water,Water,Water,Water,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
227,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
240,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
241,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
244,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
255,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
258,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
260,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
261,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
262,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
263,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
264,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
265,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
266,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
267,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
269,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
270,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
271,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Grassland
272,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Wetland
273,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
275,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
276,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
277,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
278,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
279,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
298,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
301,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
302,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
303,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
304,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
310,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
322,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
324,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
325,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
326,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
327,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
328,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
329,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
