Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
156,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
161,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
162,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
203,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
254,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
255,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
258,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
259,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
261,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
262,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
263,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
268,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
272,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
273,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
275,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
277,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
278,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
279,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
280,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
281,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
282,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Wetland
284,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
285,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
286,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
287,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
288,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
293,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
296,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
299,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
302,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Built-up
308,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
325,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
326,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
