Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Water
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Water
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Water,Water
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Water
111,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Water
118,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
119,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
138,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
142,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
144,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Water
146,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
149,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
152,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
153,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
155,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
162,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Forest
163,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
164,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Water
165,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Built-up,Grassland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
185,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
191,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
192,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
194,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
199,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
204,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
205,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Wetland,Water,Wetland,Built-up,Built-up,Water
208,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
209,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Water
210,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
211,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
212,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
213,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
214,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up,Built-up,Forest
215,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
219,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
220,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
224,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
238,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
239,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
243,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
246,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
247,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
249,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Water
250,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
251,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
252,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
253,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
255,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
256,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
258,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
261,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Built-up
262,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Forest
263,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
267,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Wetland,Grassland
268,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
269,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Water,Grassland
270,NULL,NULL,Built-up,Water,Non_Wetland,Water,Grassland,Grassland
271,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
272,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
273,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
274,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
275,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
276,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
277,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
278,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
279,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
280,NULL,NULL,Water,Non_Water,Water,Built-up,Water,Water
281,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
282,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
283,NULL,NULL,Water,Water,Water,Grassland,Grassland,Bareland
284,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
285,NULL,NULL,Water,Water,Water,Grassland,Wetland,Forest
286,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
287,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
288,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
289,NULL,NULL,Water,Water,Water,Wetland,Water,Water
290,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
291,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
292,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
293,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
294,NULL,NULL,Water,Water,Water,Built-up,Bareland,Grassland
295,NULL,NULL,Water,Water,Water,Built-up,Built-up,Water
296,NULL,NULL,Water,Water,Water,Built-up,Water,Grassland
297,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
298,NULL,NULL,Water,Water,Water,Water,Water,Water
299,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
314,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
317,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
