Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R
50,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
53,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
54,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
56,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
57,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
58,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
59,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
60,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
61,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
62,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
63,NULL,Built-up,Wetland,NULL,Wetland,Water,Grassland,Forest
64,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
69,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
70,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
71,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Forest
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
73,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
76,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
80,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
81,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
82,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
83,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
84,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
85,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
86,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
87,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Forest
88,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
89,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
90,NULL,Water,Water,Water,Water,Water,NULL,Water
91,NULL,Water,Water,Water,Water,Water,Water,Water
92,NULL,Water,Water,Water,Water,Water,Water,Forest
93,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
94,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
95,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
96,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
97,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,Forest,Grassland,NULL,Non_Wetland,Water,NULL,Built-up
103,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
104,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
105,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
106,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
107,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,Forest,Water,NULL,Water,Water,Water,Water
110,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
115,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
116,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
117,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
119,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
120,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
122,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
123,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Grassland,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
125,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
126,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
127,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,Cropland,Water,Wetland,NULL,Wetland,Water,NULL,Water
129,Cropland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
130,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
131,Cropland,Water,Wetland,Water,Wetland,Water,NULL,Water
132,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
133,Cropland,Water,Water,Water,Water,Water,NULL,Water
134,Cropland,Water,Water,Water,Water,Water,Water,Water
135,Cropland,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
136,Cropland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
137,Cropland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
138,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
139,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
140,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
141,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
142,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
143,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
144,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
145,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
146,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
147,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
148,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
150,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,Bareland,Bareland,Water,Water,Water,Grassland,NULL,Water
152,Bareland,Bareland,Water,Water,Water,Water,NULL,Water
153,Bareland,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
154,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
155,Bareland,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
156,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
157,Bareland,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
158,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
159,Bareland,Water,Wetland,NULL,Wetland,Water,NULL,Water
160,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
161,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
162,Bareland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
163,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
164,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Water
165,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Forest
166,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
167,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
168,Bareland,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
169,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
170,Bareland,Water,Water,NULL,Water,Grassland,Wetland,Grassland
171,Bareland,Water,Water,NULL,Water,Grassland,Wetland,Water
172,Bareland,Water,Water,NULL,Water,Water,Wetland,Water
173,Bareland,Water,Water,NULL,Water,Water,Water,Water
174,Bareland,Water,Water,Non_Water,Water,Water,NULL,Water
175,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
176,Bareland,Water,Water,Water,Water,Bareland,Water,Water
177,Bareland,Water,Water,Water,Water,Water,NULL,Water
178,Bareland,Water,Water,Water,Water,Water,Wetland,Water
179,Bareland,Water,Water,Water,Water,Water,Water,Water
180,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Water
181,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Water
182,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
183,Bareland,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
184,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
185,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
186,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
187,Bareland,Water,Forest,Water,Non_Wetland,Bareland,NULL,Water
188,Bareland,Water,Forest,Water,Non_Wetland,Water,NULL,Water
189,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
190,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
192,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
193,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
194,Bareland,Forest,Water,Water,Water,Water,NULL,Water
195,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Water
196,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
197,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
198,Bareland,Forest,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
199,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
200,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
201,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
202,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
203,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
204,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
205,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
206,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
207,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
208,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
209,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
210,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
211,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
212,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
213,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
214,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
215,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
216,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
217,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
218,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
219,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
220,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
221,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
222,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
223,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
224,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
225,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Water
226,Water,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
227,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
228,Water,Water,Grassland,NULL,Non_Wetland,Water,NULL,Water
229,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
230,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
231,Water,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
232,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
233,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
234,Water,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
235,Water,Water,Grassland,Water,Non_Wetland,Water,NULL,Forest
236,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
237,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
238,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
239,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
240,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
241,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
242,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
243,Water,Water,Wetland,NULL,Wetland,Bareland,NULL,Water
244,Water,Water,Wetland,NULL,Wetland,Water,NULL,Bareland
245,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
246,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
247,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
248,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
249,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
250,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
251,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
252,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
253,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Water
254,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
255,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
256,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
257,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Water
258,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
259,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
260,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
261,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
262,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
263,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Bareland
264,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
265,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
266,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
267,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
268,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
269,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
270,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
271,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
272,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
273,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
274,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
275,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
276,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
277,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
278,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
279,Water,Water,Wetland,Water,Wetland,Water,Water,Water
280,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
281,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
282,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
283,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
284,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Forest
285,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Water
286,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
287,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
288,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Forest
289,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
290,Water,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
291,Water,Water,Bareland,NULL,Non_Wetland,Water,NULL,Water
292,Water,Water,Bareland,NULL,Non_Wetland,Water,NULL,Forest
293,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
294,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
295,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
296,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
297,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
298,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
299,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
300,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
301,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Forest
302,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
303,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
304,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
305,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
306,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
307,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
308,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Forest
309,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
310,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
311,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
312,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
313,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
314,Water,Water,Bareland,Water,Non_Wetland,Forest,NULL,Forest
315,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
316,Water,Water,Built-up,Non_Water,Non_Wetland,Water,NULL,Water
317,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
318,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
319,Water,Water,Water,NULL,Water,NULL,NULL,Forest
320,Water,Water,Water,NULL,Water,NULL,Wetland,Water
321,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
322,Water,Water,Water,NULL,Water,NULL,Water,Water
323,Water,Water,Water,NULL,Water,Bareland,NULL,Water
324,Water,Water,Water,NULL,Water,Water,NULL,Water
325,Water,Water,Water,NULL,Water,Water,NULL,Forest
326,Water,Water,Water,NULL,Water,Water,Grassland,Water
327,Water,Water,Water,NULL,Water,Water,Wetland,Water
328,Water,Water,Water,NULL,Water,Water,Wetland,Forest
329,Water,Water,Water,NULL,Water,Water,Water,Water
330,Water,Water,Water,NULL,Water,Water,Water,Forest
331,Water,Water,Water,NULL,Water,Water,Forest,Water
332,Water,Water,Water,NULL,Water,Water,Forest,Forest
333,Water,Water,Water,NULL,Water,Forest,NULL,Water
334,Water,Water,Water,NULL,Water,Forest,NULL,Forest
335,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
336,Water,Water,Water,Non_Water,Water,NULL,Water,Water
337,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
338,Water,Water,Water,Non_Water,Water,Water,NULL,Water
339,Water,Water,Water,Non_Water,Water,Water,NULL,Forest
340,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
341,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
342,Water,Water,Water,Non_Water,Water,Water,Water,Bareland
343,Water,Water,Water,Non_Water,Water,Water,Water,Water
344,Water,Water,Water,Non_Water,Water,Water,Water,Forest
345,Water,Water,Water,Non_Water,Water,Water,Forest,Water
346,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
347,Water,Water,Water,Non_Water,Water,Forest,NULL,Forest
348,Water,Water,Water,Water,Water,NULL,NULL,Forest
349,Water,Water,Water,Water,Water,NULL,Wetland,Forest
350,Water,Water,Water,Water,Water,NULL,Water,Water
351,Water,Water,Water,Water,Water,Grassland,Water,Water
352,Water,Water,Water,Water,Water,Bareland,NULL,Water
353,Water,Water,Water,Water,Water,Bareland,Water,Water
354,Water,Water,Water,Water,Water,Water,NULL,Bareland
355,Water,Water,Water,Water,Water,Water,NULL,Water
356,Water,Water,Water,Water,Water,Water,NULL,Forest
357,Water,Water,Water,Water,Water,Water,Grassland,Forest
358,Water,Water,Water,Water,Water,Water,Wetland,Grassland
359,Water,Water,Water,Water,Water,Water,Wetland,Water
360,Water,Water,Water,Water,Water,Water,Wetland,Forest
361,Water,Water,Water,Water,Water,Water,Water,Water
362,Water,Water,Water,Water,Water,Water,Water,Forest
363,Water,Water,Water,Water,Water,Water,Forest,Water
364,Water,Water,Water,Water,Water,Water,Forest,Forest
365,Water,Water,Water,Water,Water,Forest,NULL,Water
366,Water,Water,Water,Water,Water,Forest,NULL,Forest
367,Water,Water,Water,Water,Water,Forest,Wetland,Water
368,Water,Water,Water,Water,Water,Forest,Water,Water
369,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
370,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
371,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
372,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
373,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
