Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
56,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
100,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
101,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
107,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
108,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
109,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
146,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
150,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
156,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
160,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
161,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
162,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
164,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
180,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
182,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Water
192,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
196,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
197,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
209,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
212,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
223,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
224,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
225,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
226,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
227,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
229,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
230,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
231,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
232,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
233,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
234,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
235,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
236,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
237,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
239,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
241,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
242,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
243,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
248,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
249,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
250,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
251,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
252,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
253,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
254,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
255,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
256,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
257,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
258,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
259,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
260,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
261,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
262,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
266,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
271,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
272,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
273,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
278,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
279,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
280,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
282,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
283,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
284,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
286,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
288,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
290,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
291,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
292,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
293,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
294,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
306,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
307,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
310,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
312,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Built-up
321,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
322,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
323,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Water
324,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
326,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
327,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
328,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
329,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
330,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
331,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
332,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
