Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R
53,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
54,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Built-up
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
150,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
151,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
154,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
158,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
159,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Bareland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Water
161,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Bareland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Bareland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Water
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Bareland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
167,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
175,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
182,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
186,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
187,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
190,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
193,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
213,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Bareland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
222,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
223,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
224,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
227,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
253,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
256,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
258,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
259,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
260,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
261,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
262,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
263,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
264,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Bareland
265,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
266,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
267,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Bareland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Cropland,Water,Bareland
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Bareland
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Bareland
300,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
302,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
305,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
306,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
307,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
308,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
309,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
310,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
311,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
312,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Bareland
315,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
317,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
318,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
320,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
321,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
324,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
327,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
328,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
329,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
