Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R
1652,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
1653,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1654,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1655,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
1656,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
1657,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1658,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
1659,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1660,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1661,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1662,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1663,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1664,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1665,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1666,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
1667,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1668,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
1669,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
1670,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1671,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1672,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1673,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
1674,NULL,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
1675,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1676,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1677,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1678,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1679,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1680,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1681,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
1682,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1683,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1684,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
1685,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
1686,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
1687,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1688,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
1689,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
1690,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1691,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
1692,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
1693,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
1694,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1695,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
1696,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
1697,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
1698,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1699,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
1700,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
1701,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
1702,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
1703,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
1704,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
1705,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1706,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1707,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
1708,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
1709,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1710,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1711,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1712,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1713,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
1714,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1715,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1716,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1717,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1718,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
1719,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1720,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1721,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1722,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1723,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1724,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
1725,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1726,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1727,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
1728,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1729,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Cropland
1730,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
1731,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1732,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1733,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1734,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1735,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1736,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1737,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1738,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1739,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1740,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1741,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1742,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1743,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1744,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1745,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1746,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1747,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1748,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1749,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
1750,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1751,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1752,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1753,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
1754,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1755,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1756,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1757,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1758,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1759,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1760,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1761,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1762,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Built-up
1763,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
1764,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1765,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1766,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
1767,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
1768,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1769,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
1770,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1771,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1772,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1773,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
1774,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1775,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1776,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1777,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1778,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
1779,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1780,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1781,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1782,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1783,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1784,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1785,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1786,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
1787,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Water,Cropland
1788,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1789,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1790,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
1791,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1792,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
1793,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
1794,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1795,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1796,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
1797,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
1798,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1799,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1800,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
1801,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Bareland,NULL
1802,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1803,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
1804,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1805,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1806,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1807,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1808,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1809,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1810,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1811,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1812,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1813,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1814,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1815,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
1816,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1817,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1818,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1819,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1820,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1821,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1822,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1823,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1824,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1825,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1826,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1827,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1828,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1829,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1830,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
1831,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1832,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
1833,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
1834,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
1835,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1836,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1837,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1838,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1839,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1840,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
1841,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1842,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1843,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1844,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1845,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
1846,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Water
1847,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Shrubland,Grassland
1848,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
1849,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Built-up
1850,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Bareland,Water
1851,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
1852,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
1853,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
1854,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
1855,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
1856,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
1857,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
1858,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
1859,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1860,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
1861,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1862,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
1863,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
1864,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
1865,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
1866,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1867,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1868,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
1869,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1870,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1871,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1872,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1873,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1874,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1875,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1876,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
1877,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1878,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
1879,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
1880,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1881,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1882,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
1883,NULL,Cropland,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Water
1884,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1885,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland,Shrubland,Bareland
1886,NULL,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
1887,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1888,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1889,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1890,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1891,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1892,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1893,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1894,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1895,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
1896,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
1897,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
1898,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1899,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1900,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1901,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
1902,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1903,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
1904,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Water
1905,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
1906,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1907,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1908,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1909,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1910,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1911,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1912,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1913,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Water,Grassland
1914,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Water,Cropland
1915,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
1916,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1917,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1918,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
1919,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1920,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
1921,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1922,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1923,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1924,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1925,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Water
1926,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1927,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1928,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1929,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1930,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1931,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1932,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1933,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1934,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1935,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1936,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
1937,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1938,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1939,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1940,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1941,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Water,Water
1942,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1943,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
1944,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
1945,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1946,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1947,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
1948,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Forest
1949,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1950,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
1951,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Cropland
1952,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
1953,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1954,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
1955,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1956,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1957,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1958,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1959,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1960,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1961,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1962,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
1963,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1964,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
