Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R
288,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Forest
289,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
290,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
291,Bareland,Water,Water,Non_Water,Water,Water,Water,Forest
292,Bareland,Water,Water,Water,Water,NULL,Water,Grassland
293,Bareland,Water,Water,Water,Water,NULL,Water,Bareland
294,Bareland,Water,Water,Water,Water,NULL,Water,Water
295,Bareland,Water,Water,Water,Water,Bareland,Bareland,Water
296,Bareland,Water,Water,Water,Water,Bareland,Bareland,Forest
297,Bareland,Water,Water,Water,Water,Bareland,Water,Water
298,Bareland,Water,Water,Water,Water,Bareland,Water,Forest
299,Bareland,Water,Water,Water,Water,Water,Wetland,Water
300,Bareland,Water,Water,Water,Water,Water,Bareland,Water
301,Bareland,Water,Water,Water,Water,Water,Water,Grassland
302,Bareland,Water,Water,Water,Water,Water,Water,Bareland
303,Bareland,Water,Water,Water,Water,Water,Water,Water
304,Bareland,Water,Water,Water,Water,Water,Water,Forest
305,Bareland,Water,Water,Water,Water,Forest,Water,Water
306,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
307,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
308,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
309,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
310,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
311,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
312,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
313,Bareland,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
314,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
315,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
316,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
317,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
318,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
319,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
320,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
321,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
322,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
323,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
324,Bareland,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
325,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
326,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
327,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
328,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
329,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
330,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
331,Bareland,Water,Forest,Water,Non_Wetland,Water,Bareland,Water
332,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
333,Bareland,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
334,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
335,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Bareland,Forest
336,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Water,Forest
337,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
338,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
339,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
340,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
341,Bareland,Forest,Wetland,NULL,Wetland,NULL,Bareland,Forest
342,Bareland,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
343,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
344,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,NULL
345,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Bareland,Forest
346,Bareland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
347,Bareland,Forest,Wetland,NULL,Wetland,Water,Bareland,Forest
348,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Forest
349,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
350,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
351,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
352,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
353,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
354,Bareland,Forest,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
355,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
356,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Bareland,Forest
357,Bareland,Forest,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
358,Bareland,Forest,Water,NULL,Water,NULL,Bareland,Forest
359,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Forest
360,Bareland,Forest,Water,NULL,Water,Water,Bareland,Forest
