Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFT_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
134,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
137,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
141,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
143,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
300,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
313,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
316,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
317,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
