Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R
121,NULL,Wetland,Water,Water,Water,Grassland
122,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
123,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
131,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
133,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
134,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
137,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
142,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
143,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
146,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
147,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
148,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
149,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
150,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
151,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
152,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
153,NULL,Bareland,Wetland,Water,Wetland,Bareland
154,NULL,Bareland,Wetland,Water,Wetland,Water
155,NULL,Bareland,Wetland,Water,Wetland,Forest
156,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
158,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
160,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
161,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
162,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
163,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
164,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
165,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
166,NULL,Bareland,Bareland,Water,Non_Wetland,Water
167,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
171,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
172,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
173,NULL,Bareland,Built-up,Water,Non_Wetland,Water
174,NULL,Bareland,Water,NULL,Water,Forest
175,NULL,Bareland,Water,Non_Water,Water,Bareland
176,NULL,Bareland,Water,Non_Water,Water,Water
177,NULL,Bareland,Water,Non_Water,Water,Forest
178,NULL,Bareland,Water,Water,Water,Bareland
179,NULL,Bareland,Water,Water,Water,Water
180,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
181,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
183,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
184,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
185,NULL,Bareland,Forest,NULL,Non_Wetland,Water
186,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
187,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
188,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
189,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
190,NULL,Bareland,Forest,Water,Non_Wetland,Water
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
199,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
200,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
201,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
202,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
215,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
216,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
217,NULL,Built-up,Wetland,NULL,Wetland,Forest
218,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
219,NULL,Built-up,Wetland,Water,Wetland,Water
220,NULL,Built-up,Wetland,Water,Wetland,Forest
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
225,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
226,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
227,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
228,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
234,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
235,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
236,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
237,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
238,NULL,Built-up,Water,NULL,Water,Water
239,NULL,Built-up,Water,NULL,Water,Forest
240,NULL,Built-up,Water,Water,Water,Bareland
241,NULL,Built-up,Water,Water,Water,Water
242,NULL,Built-up,Water,Water,Water,Forest
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
248,NULL,Built-up,Forest,NULL,Non_Wetland,Water
249,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
250,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
251,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
252,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
253,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
254,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
255,NULL,Built-up,Forest,Water,Non_Wetland,Forest
256,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Water
259,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
260,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
261,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
264,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
265,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
266,NULL,Water,Shrubland,Water,Non_Wetland,Water
267,NULL,Water,Shrubland,Water,Non_Wetland,Forest
268,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
269,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
270,NULL,Water,Grassland,NULL,Non_Wetland,Water
271,NULL,Water,Grassland,Water,Non_Wetland,Grassland
272,NULL,Water,Grassland,Water,Non_Wetland,Water
273,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
274,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
275,NULL,Water,Cropland,NULL,Non_Wetland,Water
276,NULL,Water,Cropland,NULL,Non_Wetland,Forest
277,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
278,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
279,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
280,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
281,NULL,Water,Cropland,Water,Non_Wetland,Bareland
282,NULL,Water,Cropland,Water,Non_Wetland,Water
283,NULL,Water,Cropland,Water,Non_Wetland,Forest
284,NULL,Water,Wetland,NULL,Wetland,Bareland
285,NULL,Water,Wetland,NULL,Wetland,Forest
286,NULL,Water,Wetland,Non_Water,Wetland,Bareland
287,NULL,Water,Wetland,Non_Water,Wetland,Forest
288,NULL,Water,Wetland,Water,Wetland,Grassland
289,NULL,Water,Wetland,Water,Wetland,Bareland
290,NULL,Water,Wetland,Water,Wetland,Water
291,NULL,Water,Wetland,Water,Wetland,Forest
292,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
293,NULL,Water,Bareland,NULL,Non_Wetland,Forest
294,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
295,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
296,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
297,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
298,NULL,Water,Bareland,Water,Non_Wetland,Grassland
299,NULL,Water,Bareland,Water,Non_Wetland,Bareland
300,NULL,Water,Bareland,Water,Non_Wetland,Water
301,NULL,Water,Bareland,Water,Non_Wetland,Forest
302,NULL,Water,Water,NULL,Water,Grassland
303,NULL,Water,Water,NULL,Water,Water
304,NULL,Water,Water,NULL,Water,Forest
305,NULL,Water,Water,Non_Water,Water,Grassland
306,NULL,Water,Water,Non_Water,Water,Bareland
307,NULL,Water,Water,Non_Water,Water,Water
308,NULL,Water,Water,Non_Water,Water,Forest
309,NULL,Water,Water,Water,Water,Grassland
310,NULL,Water,Water,Water,Water,Bareland
311,NULL,Water,Water,Water,Water,Water
312,NULL,Water,Water,Water,Water,Forest
313,NULL,Water,Forest,NULL,Non_Wetland,Grassland
314,NULL,Water,Forest,NULL,Non_Wetland,Bareland
315,NULL,Water,Forest,NULL,Non_Wetland,Water
316,NULL,Water,Forest,NULL,Non_Wetland,Forest
317,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
318,NULL,Water,Forest,Non_Water,Non_Wetland,Water
319,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
320,NULL,Water,Forest,Water,Non_Wetland,Grassland
321,NULL,Water,Forest,Water,Non_Wetland,Bareland
322,NULL,Water,Forest,Water,Non_Wetland,Water
323,NULL,Water,Forest,Water,Non_Wetland,Forest
324,NULL,Forest,NULL,NULL,Non_Wetland,NULL
325,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
326,NULL,Forest,NULL,NULL,Non_Wetland,Forest
327,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
328,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
329,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
330,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
331,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
332,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
333,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
334,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
335,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
336,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
337,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
338,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
339,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
340,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
341,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
342,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
343,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
344,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
345,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
346,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
347,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
348,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
349,NULL,Forest,Cropland,Water,Non_Wetland,Forest
350,NULL,Forest,Wetland,NULL,Wetland,Forest
351,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
352,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
353,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
354,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
355,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
356,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
357,NULL,Forest,Bareland,Water,Non_Wetland,Forest
358,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
359,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
360,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland
361,NULL,Forest,Water,Non_Water,Water,Forest
362,NULL,Forest,Water,Water,Water,Water
363,NULL,Forest,Water,Water,Water,Forest
364,NULL,Forest,Forest,NULL,Non_Wetland,NULL
365,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
366,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
367,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
368,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
369,NULL,Forest,Forest,NULL,Non_Wetland,Forest
370,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
371,NULL,Forest,Forest,Non_Water,Non_Wetland,Built-up
372,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
373,NULL,Forest,Forest,Water,Non_Wetland,Forest
374,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
375,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
376,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
379,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
381,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
382,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
383,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
384,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
385,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
386,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
387,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
388,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
389,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
390,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
391,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
392,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
393,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
394,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
395,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
396,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
397,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
398,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
399,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
400,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
401,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
402,Grassland,NULL,Wetland,Water,Wetland,Grassland
403,Grassland,NULL,Wetland,Water,Wetland,Cropland
404,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
405,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
406,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
407,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
408,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
409,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
410,Grassland,NULL,Water,NULL,Water,Grassland
411,Grassland,NULL,Water,Water,Water,Grassland
412,Grassland,NULL,Water,Water,Water,Cropland
413,Grassland,NULL,Water,Water,Water,Wetland
414,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
415,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
416,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
417,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
418,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
419,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
420,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
421,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
422,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
423,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
424,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
425,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
426,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
427,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
428,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
429,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
430,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
431,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
