Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
196,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Built-up
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
201,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
207,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
210,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
214,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
217,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
224,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
226,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
227,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
228,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
233,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Bareland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
307,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
316,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
