Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
119,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
154,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Forest
162,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
181,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
182,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
185,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
186,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
191,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
193,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
194,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
195,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
196,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
198,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
199,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Forest
201,NULL,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
204,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
205,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
208,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
210,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
213,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
215,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
217,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
218,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
219,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
220,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
221,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
222,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
223,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Bareland
224,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
226,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Bareland
229,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
230,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
231,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
232,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
233,NULL,NULL,Water,Water,Water,Water,Water,Grassland
234,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
240,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
264,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
276,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
298,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
301,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Wetland,Grassland
302,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
303,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
306,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
307,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
308,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
309,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
310,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Forest
311,NULL,Wetland,NULL,Water,Non_Wetland,Water,Water,Bareland
312,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
313,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
316,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
317,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
319,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
320,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
321,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
322,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
323,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
324,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
325,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
326,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
327,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
328,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Bareland
329,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
330,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
331,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Bareland
332,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
333,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
