Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R
951,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
952,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
953,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
954,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
955,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
956,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
957,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
958,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
959,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
960,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
961,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
962,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
963,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
964,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
965,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
966,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
967,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
968,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
969,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
970,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
971,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
972,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
973,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
974,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
975,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
976,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
977,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
978,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
979,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
980,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
981,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
982,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
983,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
984,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
985,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
986,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
987,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
988,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
989,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
990,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
991,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
992,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
993,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
994,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
995,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
996,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
997,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
998,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
999,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1000,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1001,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1002,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1003,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1004,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1005,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1006,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1007,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1008,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1009,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
1010,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1011,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1012,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1013,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1014,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1015,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1016,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1017,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1018,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1019,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1020,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1021,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1022,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
1023,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1024,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1025,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
1026,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1027,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1028,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1029,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
1030,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
1031,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1032,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1033,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1034,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1035,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1036,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1037,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
1038,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1039,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1040,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1041,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1042,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1043,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1044,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1045,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1046,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1047,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1048,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1049,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1050,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1051,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1052,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1053,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1054,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1055,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1056,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1057,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1058,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1059,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1060,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
1061,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1062,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1063,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1064,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1065,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1066,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1067,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1068,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1069,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1070,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
1071,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1072,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1073,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1074,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1075,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1076,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1077,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1078,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1079,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1080,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1081,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1082,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1083,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1084,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1085,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1086,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1087,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
1088,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
1089,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
1090,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1091,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1092,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1093,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
1094,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
1095,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1096,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Water
1097,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1098,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
1099,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1100,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
1101,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Grassland
1102,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1103,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1104,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
1105,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1106,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
1107,NULL,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Grassland
1108,NULL,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Forest
1109,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Grassland
1110,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Forest
1111,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
1112,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1113,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
1114,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1115,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1116,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1117,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1118,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
1119,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
1120,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1121,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1122,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1123,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
1124,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1125,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Forest
1126,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1127,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
1128,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1129,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1130,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
1131,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Forest,Forest
1132,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1133,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1134,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1135,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1136,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
1137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1138,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1139,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1140,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1141,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
1142,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1143,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1144,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1145,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1146,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1147,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1148,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1149,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1150,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1151,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1152,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1153,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1154,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1155,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Grassland
1156,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Forest
1157,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1158,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1159,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1160,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1161,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1162,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1163,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1164,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1165,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1166,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1167,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1168,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1169,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1170,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1171,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1172,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1173,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1174,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1175,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1176,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1177,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1178,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1179,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1180,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1181,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1182,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1183,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1184,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1185,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
1186,NULL,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1187,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1188,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
1189,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1190,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1191,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1192,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
1193,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
1194,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Water
1195,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1196,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
1197,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1198,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1199,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1200,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1201,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
1202,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
1203,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1204,NULL,Water,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1205,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
1206,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1207,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1208,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1209,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1210,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1211,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1212,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
1213,NULL,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
1214,NULL,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
1215,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
1216,NULL,Water,NULL,Water,Non_Wetland,Bareland,Forest,Water
1217,NULL,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
1218,NULL,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
1219,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
1220,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1221,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
1222,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1223,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
1224,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1225,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1226,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
1227,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1228,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Water
1229,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1230,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
1231,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
1232,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1233,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
1234,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1235,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1236,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1237,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1238,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
1239,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
1240,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1241,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1242,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1243,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1244,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1245,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1246,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1247,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1248,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Forest,Water
1249,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1250,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
1251,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Forest,Water
1252,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
1253,NULL,Water,Shrubland,Water,Non_Wetland,Water,Shrubland,Forest
1254,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1255,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1256,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1257,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1258,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1259,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1260,NULL,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1261,NULL,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
1262,NULL,Water,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
1263,NULL,Water,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1264,NULL,Water,Wetland,NULL,Wetland,Shrubland,Water,Forest
1265,NULL,Water,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1266,NULL,Water,Wetland,NULL,Wetland,Grassland,Shrubland,Water
1267,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1268,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
1269,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1270,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
1271,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
1272,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
