Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXC_M_R
51,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
57,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
62,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
64,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
65,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
66,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
67,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
74,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
87,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
93,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
95,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
97,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
99,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
101,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
104,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
105,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
107,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
109,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
110,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
112,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
113,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
114,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
115,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
117,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
118,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
123,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
124,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
125,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
126,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
127,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
128,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
132,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
137,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
138,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
139,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
140,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
141,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
143,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
144,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
149,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
152,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
156,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
157,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
159,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
160,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
161,Grassland,Water,Water,Water,Water,NULL,NULL,Water
162,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
163,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
165,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
166,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
171,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
177,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
178,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
179,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
180,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
181,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
182,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
186,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
187,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
188,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
193,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
197,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
198,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
199,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
200,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
201,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
202,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
203,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
204,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
207,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
208,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
209,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
212,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
213,Cropland,Water,Water,Water,Water,NULL,NULL,Water
214,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
216,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
217,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
218,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
219,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
220,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
221,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
223,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
224,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
225,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
226,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
227,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
228,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
230,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
231,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
232,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
233,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
234,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
236,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
237,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
238,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
239,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
240,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
241,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
242,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
243,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
244,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
245,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
246,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
247,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
248,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
249,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
250,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
251,Wetland,Water,Water,Water,Water,NULL,NULL,Water
252,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
253,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
254,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
255,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
256,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
257,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
258,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
259,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
260,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
261,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
262,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
263,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
264,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
265,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
266,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
267,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
268,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
269,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
270,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
271,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
274,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
275,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
276,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
277,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
278,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
279,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
280,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
281,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
282,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
283,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
284,Bareland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
285,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
286,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
287,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
289,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
290,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
291,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
292,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
293,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
294,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
295,Bareland,Water,Water,Water,Water,NULL,NULL,Water
296,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
297,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
298,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
299,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
302,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
303,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
304,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
305,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
306,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
307,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
308,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
309,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
310,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
311,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
312,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
314,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
316,Water,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
317,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
318,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
319,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
320,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
321,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
322,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
323,Water,NULL,Water,Water,Water,NULL,NULL,Water
324,Water,NULL,Water,Water,Water,NULL,NULL,Forest
325,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
328,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
329,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
330,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
331,Water,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
334,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
335,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
336,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
337,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
338,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
339,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
340,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,Water,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
343,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
344,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
345,Water,Wetland,Water,Water,Water,NULL,NULL,Water
346,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
347,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
348,Water,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
349,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
350,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
351,Water,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
352,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
353,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
