Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
90,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
99,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
126,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
137,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
171,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
190,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
192,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
193,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
194,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
198,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
199,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
201,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
205,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
206,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
207,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
208,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
209,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
210,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
211,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
213,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,Bareland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
221,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
228,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
230,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
240,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
257,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
273,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
278,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
281,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
284,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
285,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
286,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
287,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
290,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
291,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
292,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
294,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
295,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
296,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
299,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
300,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
301,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
302,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
303,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
305,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
310,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
314,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
319,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
323,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
