Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHR_M_R
331,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
333,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
334,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
335,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
336,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
337,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
338,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
339,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
340,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
341,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
342,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
343,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
345,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
346,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
347,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
348,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
349,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
350,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
351,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
352,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
353,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
354,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
355,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
356,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
357,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
358,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
359,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
360,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
361,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
362,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
363,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
364,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
365,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
366,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
367,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
368,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
369,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
370,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
371,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
372,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
373,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
374,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
375,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
376,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
377,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
378,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
379,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
380,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
381,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
383,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
384,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
385,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Grassland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
387,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
388,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
389,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
390,Grassland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
391,Grassland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
392,Grassland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
393,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
394,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Cropland
395,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
396,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
397,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
398,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
399,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
400,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
401,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
402,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
403,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
404,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
405,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
406,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
407,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
408,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
409,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
410,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
411,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
412,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
413,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
414,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
415,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
416,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
417,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
418,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
419,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
420,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
421,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
422,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
423,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
424,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
425,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
426,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
427,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
428,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
429,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
430,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
431,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
432,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
433,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
434,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
435,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
436,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
437,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
438,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
439,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
440,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
441,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
442,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
443,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
444,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
445,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
446,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
447,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
448,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
449,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
450,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
451,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
452,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
453,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
454,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
455,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
456,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
457,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
458,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
459,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
460,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
461,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
462,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
463,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
464,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
465,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
466,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
467,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
468,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
469,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
470,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
471,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
472,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
473,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
474,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
475,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
476,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
477,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
478,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
479,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
480,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
481,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
482,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
483,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
484,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
485,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
486,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
487,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
488,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
489,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
490,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
491,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
492,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
493,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
494,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
495,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
496,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
497,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
498,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
499,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
500,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
501,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
502,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
503,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
504,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
505,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
506,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
507,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
508,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
509,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
510,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
511,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
512,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
513,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
514,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
515,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
516,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
517,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
518,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
519,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
520,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
521,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
522,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
523,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
524,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
525,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
526,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
527,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
528,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
529,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
530,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
531,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
532,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
533,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
534,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
535,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
536,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
537,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
538,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
539,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
540,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
541,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
542,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
543,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
544,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
545,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
546,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
547,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
548,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
549,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
550,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
551,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
552,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
553,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
554,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
555,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
556,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
557,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
558,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
559,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
560,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
561,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
562,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
563,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
564,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
565,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
566,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
567,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
568,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
569,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
570,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
571,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
572,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
573,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
574,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
575,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
576,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
577,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
578,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
579,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
580,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
581,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
582,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
583,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
584,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
585,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
586,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
587,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
588,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
589,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
590,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
591,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
592,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
593,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
594,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
595,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
596,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
597,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
598,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
599,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
600,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
601,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
602,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
603,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
604,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
605,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
606,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
607,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
608,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
609,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
610,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
611,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
612,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
613,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
614,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
615,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
616,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
617,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
618,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
619,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
620,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
621,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
622,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
623,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
624,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
625,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
626,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
627,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
628,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
629,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
630,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
631,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
632,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
633,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
634,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
635,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
636,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
637,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
638,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
639,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
640,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
641,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
642,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
643,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
644,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
645,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
646,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
647,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
648,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
649,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
650,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
651,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
652,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
653,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
654,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
656,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
657,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
658,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
659,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
660,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
661,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
662,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
