Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R
1469,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1470,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1471,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1472,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1473,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1474,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1475,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
1476,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
1477,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
1478,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1479,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1480,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1481,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
1482,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Wetland
1483,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1484,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
1485,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
1486,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1487,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1488,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
1489,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1490,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
1491,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1492,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
1493,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Grassland
1494,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1495,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Bareland
1496,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1497,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1498,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1499,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1500,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1501,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1502,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1503,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1504,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1505,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1506,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1507,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1508,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1509,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1510,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1511,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1512,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1513,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1514,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1515,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1516,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1517,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1518,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
1519,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1520,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
1521,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
1522,Grassland,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
1523,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
1524,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Grassland
1525,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
1526,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
1527,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Water
1528,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Forest
1529,Grassland,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
1530,Grassland,NULL,Water,NULL,Water,Bareland,Forest,Grassland
1531,Grassland,NULL,Water,NULL,Water,Bareland,Forest,Wetland
1532,Grassland,NULL,Water,NULL,Water,Water,Water,Wetland
1533,Grassland,NULL,Water,NULL,Water,Water,Forest,Wetland
1534,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
1535,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
1536,Grassland,NULL,Water,Non_Water,Water,Bareland,Forest,Wetland
1537,Grassland,NULL,Water,Non_Water,Water,Water,Water,Wetland
1538,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
1539,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Wetland
1540,Grassland,NULL,Water,Water,Water,Bareland,Water,Grassland
1541,Grassland,NULL,Water,Water,Water,Water,Grassland,Wetland
1542,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1543,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1544,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1545,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1546,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
1547,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1548,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1549,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1550,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1551,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1552,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1553,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1554,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1555,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1556,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1557,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1558,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1559,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
1560,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1561,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Cropland
1562,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1563,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1564,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1565,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1566,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
1567,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1568,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1569,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1570,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1571,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
1572,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
1573,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1574,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1575,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1576,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1577,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1578,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1579,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
1580,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
1581,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1582,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1583,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1584,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1585,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1586,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1587,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1588,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1589,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1590,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1591,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1592,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1593,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1594,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
1595,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1596,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1597,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1598,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1599,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
1600,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1601,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1602,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1603,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
1604,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1605,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1606,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Forest,Grassland
1607,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Bareland,Wetland
1608,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1609,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1610,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1611,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1612,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1613,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1614,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1615,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1616,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1617,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1618,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1619,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1620,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1621,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1622,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1623,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1624,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
1625,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1626,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1627,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1628,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1629,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1630,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1631,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1632,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1633,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1634,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1635,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1636,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
1637,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
1638,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
1639,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
1640,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1641,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1642,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1643,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1644,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1645,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1646,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1647,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1648,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1649,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1650,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1651,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
1652,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1653,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1654,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
1655,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1656,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1657,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1658,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1659,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1660,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1661,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1662,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1663,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1664,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1665,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1666,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1667,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1668,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1669,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1670,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1671,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1672,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1673,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1674,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1675,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1676,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1677,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1678,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1679,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1680,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1681,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1682,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1683,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1684,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1685,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1686,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1687,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1688,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1689,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1690,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1691,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1692,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1693,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
1694,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1695,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1696,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1697,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1698,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1699,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1700,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1701,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1702,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1703,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1704,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1705,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1706,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1707,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
1708,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1709,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1710,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1711,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1712,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1713,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1714,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1715,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1716,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1717,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1718,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1719,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1720,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
1721,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
1722,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
1723,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1724,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1725,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1726,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1727,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1728,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
1729,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1730,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1731,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1732,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1733,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1734,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1735,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1736,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1737,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1738,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1739,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1740,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1741,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1742,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1743,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1744,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1745,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1746,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1747,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1748,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1749,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1750,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1751,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1752,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1753,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1754,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1755,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1756,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1757,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1758,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1759,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1760,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1761,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1762,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1763,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1764,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1765,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
1766,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1767,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1768,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1769,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1770,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1771,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1772,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1773,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1774,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1775,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1776,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1777,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
1778,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1779,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
1780,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1781,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1782,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1783,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1784,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
