Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R
119,NULL,NULL,Water,NULL,NULL,Grassland
120,NULL,NULL,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,NULL,NULL,Permanent_ice_and_snow
122,NULL,NULL,Water,NULL,Water,Grassland
123,NULL,NULL,Water,NULL,Water,Wetland
124,NULL,NULL,Water,NULL,Water,Bareland
125,NULL,NULL,Water,NULL,Water,Built-up
126,NULL,NULL,Water,NULL,Water,Water
127,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
128,NULL,NULL,Water,NULL,Water,Forest
129,NULL,NULL,Water,Non_Water,Water,Grassland
130,NULL,NULL,Water,Non_Water,Water,Wetland
131,NULL,NULL,Water,Non_Water,Water,Bareland
132,NULL,NULL,Water,Non_Water,Water,Water
133,NULL,NULL,Water,Water,Water,NULL
134,NULL,NULL,Water,Water,Water,Grassland
135,NULL,NULL,Water,Water,Water,Wetland
136,NULL,NULL,Water,Water,Water,Bareland
137,NULL,NULL,Water,Water,Water,Built-up
138,NULL,NULL,Water,Water,Water,Water
139,NULL,NULL,Water,Water,Water,Forest
140,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
141,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
142,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
149,NULL,NULL,Forest,NULL,Non_Wetland,Water
150,NULL,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
151,NULL,NULL,Forest,NULL,Non_Wetland,Forest
152,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
157,NULL,NULL,Forest,Water,Non_Wetland,NULL
158,NULL,NULL,Forest,Water,Non_Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,NULL,Forest,Water,Non_Wetland,Water
161,NULL,NULL,Forest,Water,Non_Wetland,Forest
162,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
169,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
171,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
177,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
182,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
184,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
185,NULL,Cropland,Wetland,NULL,Wetland,Wetland
186,NULL,Cropland,Wetland,Water,Wetland,Wetland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
191,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
195,NULL,Cropland,Water,NULL,Water,Wetland
196,NULL,Cropland,Water,Water,Water,Wetland
197,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
199,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
200,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
201,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
202,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
203,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
205,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
206,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
207,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
208,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
209,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
210,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
211,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
212,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
214,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
215,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
216,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
217,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
218,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
219,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
220,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
221,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
222,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
223,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
224,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
225,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
226,NULL,Wetland,Wetland,NULL,Wetland,Grassland
227,NULL,Wetland,Wetland,NULL,Wetland,Wetland
228,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
229,NULL,Wetland,Wetland,Water,Wetland,Wetland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
231,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
236,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
237,NULL,Wetland,Water,NULL,Water,Grassland
238,NULL,Wetland,Water,NULL,Water,Wetland
239,NULL,Wetland,Water,Non_Water,Water,Grassland
240,NULL,Wetland,Water,Non_Water,Water,Wetland
241,NULL,Wetland,Water,Water,Water,Grassland
242,NULL,Wetland,Water,Water,Water,Wetland
243,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
244,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
246,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
247,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
248,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
249,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
250,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
251,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
253,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
254,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
256,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
257,NULL,Bareland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
259,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
260,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
261,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
262,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
263,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
264,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
265,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
266,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
267,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
268,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
269,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
270,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
271,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
272,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
273,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
274,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
275,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
276,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
277,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
278,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
279,NULL,Bareland,Wetland,Water,Wetland,Water
280,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
281,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
284,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
285,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
286,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
287,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
288,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
289,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
290,NULL,Bareland,Bareland,Water,Non_Wetland,Water
291,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
292,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
293,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
294,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
295,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
296,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
297,NULL,Bareland,Water,NULL,NULL,Grassland
298,NULL,Bareland,Water,NULL,NULL,Bareland
299,NULL,Bareland,Water,NULL,NULL,Permanent_ice_and_snow
300,NULL,Bareland,Water,NULL,Water,Grassland
301,NULL,Bareland,Water,NULL,Water,Bareland
302,NULL,Bareland,Water,NULL,Water,Water
303,NULL,Bareland,Water,NULL,Water,Permanent_ice_and_snow
304,NULL,Bareland,Water,Water,NULL,Grassland
305,NULL,Bareland,Water,Water,Water,Grassland
306,NULL,Bareland,Water,Water,Water,Water
307,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
308,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
309,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
310,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
311,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
312,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
313,NULL,Bareland,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
314,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
315,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
318,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
319,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
320,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
321,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
322,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
323,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
324,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
325,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
326,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
327,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
328,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
329,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
330,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
331,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
332,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
333,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
334,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
335,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
336,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
338,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
339,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
340,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
341,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
342,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
343,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
344,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
345,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
346,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
347,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
348,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
349,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
350,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
351,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
352,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
353,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
354,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
355,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
356,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
357,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
358,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
359,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
360,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
361,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
362,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
363,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
364,NULL,Built-up,Wetland,NULL,Wetland,Grassland
365,NULL,Built-up,Wetland,NULL,Wetland,Bareland
366,NULL,Built-up,Wetland,NULL,Wetland,Water
367,NULL,Built-up,Wetland,NULL,Wetland,Forest
368,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
369,NULL,Built-up,Wetland,Non_Water,Wetland,Water
370,NULL,Built-up,Wetland,Water,Wetland,Grassland
371,NULL,Built-up,Wetland,Water,Wetland,Cropland
372,NULL,Built-up,Wetland,Water,Wetland,Bareland
373,NULL,Built-up,Wetland,Water,Wetland,Built-up
374,NULL,Built-up,Wetland,Water,Wetland,Water
375,NULL,Built-up,Wetland,Water,Wetland,Forest
376,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
377,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
378,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
379,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
380,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
381,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
382,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
383,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
384,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
385,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
386,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
387,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
388,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
389,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
390,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
391,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
392,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
393,NULL,Built-up,Bareland,Water,Non_Wetland,Water
394,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
395,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
397,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
398,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
399,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
400,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
401,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
402,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
403,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
404,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
405,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
406,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
407,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
408,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
409,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
410,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
411,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
412,NULL,Built-up,Built-up,Water,Non_Wetland,Water
413,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
414,NULL,Built-up,Water,NULL,Water,Grassland
415,NULL,Built-up,Water,NULL,Water,Cropland
416,NULL,Built-up,Water,NULL,Water,Bareland
417,NULL,Built-up,Water,NULL,Water,Built-up
418,NULL,Built-up,Water,NULL,Water,Forest
419,NULL,Built-up,Water,Non_Water,Water,Grassland
420,NULL,Built-up,Water,Water,Water,Grassland
421,NULL,Built-up,Water,Water,Water,Bareland
422,NULL,Built-up,Water,Water,Water,Built-up
423,NULL,Built-up,Water,Water,Water,Water
424,NULL,Built-up,Water,Water,Water,Forest
425,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
