Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17NRA_M_R
120,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
121,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
122,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
123,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
124,NULL,NULL,Forest,NULL,Non_Wetland,Water
125,NULL,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
126,NULL,NULL,Forest,NULL,Non_Wetland,Forest
127,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
128,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
130,NULL,NULL,Forest,Water,Non_Wetland,Grassland
131,NULL,NULL,Forest,Water,Non_Wetland,Bareland
132,NULL,NULL,Forest,Water,Non_Wetland,Water
133,NULL,NULL,Forest,Water,Non_Wetland,Forest
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
135,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
136,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
137,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
138,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
139,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
140,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
141,NULL,Cropland,NULL,Water,Non_Wetland,Forest
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
150,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
151,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
152,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
153,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
154,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
160,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
161,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
162,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
163,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
164,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
171,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
175,NULL,Cropland,Wetland,NULL,Wetland,NULL
176,NULL,Cropland,Wetland,NULL,Wetland,Grassland
177,NULL,Cropland,Wetland,Water,Wetland,Forest
178,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
179,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
184,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
185,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
192,NULL,Cropland,Water,NULL,Water,Grassland
193,NULL,Cropland,Water,NULL,Water,Cropland
194,NULL,Cropland,Water,NULL,Water,Bareland
195,NULL,Cropland,Water,NULL,Water,Water
196,NULL,Cropland,Water,NULL,Water,Forest
197,NULL,Cropland,Water,Non_Water,Water,Bareland
198,NULL,Cropland,Water,Non_Water,Water,Forest
199,NULL,Cropland,Water,Water,Water,Grassland
200,NULL,Cropland,Water,Water,Water,Bareland
201,NULL,Cropland,Water,Water,Water,Forest
202,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
203,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
204,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
205,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
206,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
207,NULL,Cropland,Forest,NULL,Non_Wetland,Water
208,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
209,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
210,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
211,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
212,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
213,NULL,Cropland,Forest,Water,Non_Wetland,Forest
214,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
215,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
216,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
217,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
218,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
219,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
221,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
222,NULL,Wetland,Wetland,NULL,Wetland,Bareland
223,NULL,Wetland,Water,NULL,Water,Water
224,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
225,NULL,Wetland,Forest,NULL,Non_Wetland,Water
226,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
227,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
228,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
229,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
230,NULL,Bareland,NULL,Non_Water,Non_Wetland,Grassland
231,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
232,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
233,NULL,Bareland,NULL,Water,Non_Wetland,Water
234,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
235,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
236,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
237,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
238,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
239,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
240,NULL,Bareland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
241,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
242,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
243,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
244,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
245,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
246,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
247,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
248,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
249,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
250,NULL,Bareland,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
251,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
252,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
253,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
254,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
255,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
256,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
257,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
258,NULL,Bareland,Grassland,Water,Non_Wetland,Water
259,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
260,NULL,Bareland,Cropland,NULL,Non_Wetland,Permanent_ice_and_snow
261,NULL,Bareland,Wetland,NULL,Wetland,Water
262,NULL,Bareland,Wetland,Non_Water,Wetland,Water
263,NULL,Bareland,Wetland,Water,Wetland,Bareland
264,NULL,Bareland,Wetland,Water,Wetland,Water
265,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
266,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
267,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
268,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
269,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
270,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
271,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
272,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
273,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
274,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
275,NULL,Bareland,Bareland,Water,Non_Wetland,Water
276,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
277,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
278,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
279,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
280,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
281,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
282,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
283,NULL,Bareland,Water,NULL,NULL,Bareland
284,NULL,Bareland,Water,NULL,Water,Grassland
285,NULL,Bareland,Water,NULL,Water,Cropland
286,NULL,Bareland,Water,NULL,Water,Bareland
287,NULL,Bareland,Water,NULL,Water,Water
288,NULL,Bareland,Water,NULL,Water,Permanent_ice_and_snow
289,NULL,Bareland,Water,NULL,Water,Forest
290,NULL,Bareland,Water,Non_Water,Water,Grassland
291,NULL,Bareland,Water,Non_Water,Water,Bareland
292,NULL,Bareland,Water,Non_Water,Water,Water
293,NULL,Bareland,Water,Non_Water,Water,Forest
294,NULL,Bareland,Water,Water,Water,Grassland
295,NULL,Bareland,Water,Water,Water,Bareland
296,NULL,Bareland,Water,Water,Water,Water
297,NULL,Bareland,Water,Water,Water,Forest
298,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
299,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
300,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
301,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
302,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
303,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
304,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
305,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
306,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
307,NULL,Bareland,Forest,NULL,Non_Wetland,Water
308,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
309,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
310,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
311,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
312,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
313,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
314,NULL,Bareland,Forest,Water,Non_Wetland,Water
315,NULL,Bareland,Forest,Water,Non_Wetland,Forest
316,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
317,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
318,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
319,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
320,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
321,NULL,Built-up,NULL,NULL,Non_Wetland,Water
322,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
323,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
324,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
325,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
326,NULL,Built-up,NULL,Water,Non_Wetland,Cropland
327,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
328,NULL,Built-up,NULL,Water,Non_Wetland,Forest
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
336,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
337,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
338,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
339,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
340,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
341,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
342,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
343,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
344,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
345,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
346,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
347,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
348,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
349,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
350,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
351,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
352,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
353,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
354,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
355,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
356,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
357,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
358,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
359,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
360,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
361,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
362,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
363,NULL,Built-up,Wetland,NULL,Wetland,Forest
364,NULL,Built-up,Wetland,Water,Wetland,Grassland
365,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
366,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
367,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
368,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
369,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
370,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
371,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
372,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
373,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
374,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
376,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
377,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
378,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
379,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
380,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
381,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
382,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
383,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
384,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
385,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
386,NULL,Built-up,Built-up,Water,Non_Wetland,Water
387,NULL,Built-up,Water,NULL,Water,NULL
388,NULL,Built-up,Water,NULL,Water,Grassland
389,NULL,Built-up,Water,NULL,Water,Cropland
390,NULL,Built-up,Water,NULL,Water,Bareland
391,NULL,Built-up,Water,NULL,Water,Built-up
392,NULL,Built-up,Water,NULL,Water,Water
393,NULL,Built-up,Water,NULL,Water,Forest
394,NULL,Built-up,Water,Non_Water,Water,Grassland
395,NULL,Built-up,Water,Non_Water,Water,Bareland
396,NULL,Built-up,Water,Non_Water,Water,Forest
397,NULL,Built-up,Water,Water,Water,Grassland
398,NULL,Built-up,Water,Water,Water,Cropland
399,NULL,Built-up,Water,Water,Water,Bareland
400,NULL,Built-up,Water,Water,Water,Built-up
401,NULL,Built-up,Water,Water,Water,Water
402,NULL,Built-up,Water,Water,Water,Forest
403,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
404,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
405,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
406,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
407,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
408,NULL,Built-up,Forest,NULL,Non_Wetland,Water
409,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
410,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
411,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
412,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
413,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
414,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
415,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
416,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
417,NULL,Built-up,Forest,Water,Non_Wetland,Forest
418,NULL,Water,NULL,NULL,Non_Wetland,Grassland
419,NULL,Water,NULL,NULL,Non_Wetland,Bareland
420,NULL,Water,NULL,NULL,Non_Wetland,Built-up
421,NULL,Water,NULL,NULL,Non_Wetland,Water
422,NULL,Water,NULL,NULL,Non_Wetland,Forest
423,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
424,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
425,NULL,Water,NULL,Water,Non_Wetland,Grassland
426,NULL,Water,NULL,Water,Non_Wetland,Forest
427,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
