Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMT_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
79,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Forest,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
210,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
213,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
214,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
216,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Wetland
217,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
218,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
219,NULL,NULL,Grassland,Water,Non_Wetland,Water,Forest,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Built-up
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
263,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
267,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Cropland,Water,Non_Wetland,Water,Forest,Water
281,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
302,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
303,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
304,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
305,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
306,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
308,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
309,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
310,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
311,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
315,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
317,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Wetland
321,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
325,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
