Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
162,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
166,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
169,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
182,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Built-up
183,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
205,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
206,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
210,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
211,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Forest
212,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
213,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
214,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
225,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
226,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
242,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
248,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
258,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
259,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
262,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
263,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
264,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
265,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
267,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
268,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
274,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
275,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
276,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
278,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
279,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
280,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
282,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
284,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
285,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
288,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
289,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
290,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
295,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
297,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
298,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
299,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
300,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
302,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
303,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
304,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
306,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
307,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
308,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
309,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
310,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
311,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
312,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
314,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
320,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
321,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
323,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
324,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
325,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
326,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
327,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
328,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
329,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
330,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
331,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
332,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
333,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
