Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R
205,NULL,Water,Forest,Water,Non_Wetland,Forest
206,NULL,Forest,NULL,NULL,Non_Wetland,Forest
207,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
212,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
213,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
214,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
215,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
216,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
218,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
219,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
220,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
221,NULL,Forest,Cropland,Water,Non_Wetland,Forest
222,NULL,Forest,Wetland,NULL,Wetland,NULL
223,NULL,Forest,Wetland,NULL,Wetland,Grassland
224,NULL,Forest,Wetland,NULL,Wetland,Wetland
225,NULL,Forest,Wetland,NULL,Wetland,Forest
226,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
227,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
228,NULL,Forest,Wetland,Non_Water,Wetland,Forest
229,NULL,Forest,Wetland,Water,Wetland,Grassland
230,NULL,Forest,Wetland,Water,Wetland,Water
231,NULL,Forest,Wetland,Water,Wetland,Forest
232,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
233,NULL,Forest,Water,NULL,Water,Forest
234,NULL,Forest,Water,Non_Water,Water,Grassland
235,NULL,Forest,Water,Water,Water,Grassland
236,NULL,Forest,Water,Water,Water,Forest
237,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
238,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
239,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
240,NULL,Forest,Forest,NULL,Non_Wetland,Water
241,NULL,Forest,Forest,NULL,Non_Wetland,Forest
242,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
243,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
244,NULL,Forest,Forest,Water,Non_Wetland,Water
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
254,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
255,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
256,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
257,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
259,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
260,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
261,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
262,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
263,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
264,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
265,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
266,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
267,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
268,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
269,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
270,Grassland,NULL,Cropland,Water,Non_Wetland,Water
271,Grassland,NULL,Wetland,NULL,Wetland,NULL
272,Grassland,NULL,Wetland,NULL,Wetland,Grassland
273,Grassland,NULL,Wetland,NULL,Wetland,Wetland
274,Grassland,NULL,Wetland,NULL,Wetland,Water
275,Grassland,NULL,Wetland,NULL,Wetland,Forest
276,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
277,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
278,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
279,Grassland,NULL,Wetland,Non_Water,Wetland,Water
280,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
281,Grassland,NULL,Wetland,Water,Wetland,NULL
282,Grassland,NULL,Wetland,Water,Wetland,Grassland
283,Grassland,NULL,Wetland,Water,Wetland,Wetland
284,Grassland,NULL,Wetland,Water,Wetland,Water
285,Grassland,NULL,Wetland,Water,Wetland,Forest
286,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
287,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
288,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
289,Grassland,NULL,Water,NULL,Water,Grassland
290,Grassland,NULL,Water,NULL,Water,Wetland
291,Grassland,NULL,Water,NULL,Water,Water
292,Grassland,NULL,Water,NULL,Water,Forest
293,Grassland,NULL,Water,Non_Water,Water,Grassland
294,Grassland,NULL,Water,Non_Water,Water,Water
295,Grassland,NULL,Water,Water,Water,Grassland
296,Grassland,NULL,Water,Water,Water,Wetland
297,Grassland,NULL,Water,Water,Water,Water
298,Grassland,NULL,Water,Water,Water,Forest
299,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
300,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
301,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Water
303,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
304,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
305,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
306,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
307,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
308,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
309,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
310,Grassland,NULL,Forest,Water,Non_Wetland,Water
311,Grassland,NULL,Forest,Water,Non_Wetland,Forest
312,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
313,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
314,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
315,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
316,Grassland,Wetland,Cropland,NULL,Non_Wetland,Water
317,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
318,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
319,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water
320,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
321,Grassland,Wetland,Cropland,Water,Non_Wetland,Forest
322,Grassland,Wetland,Wetland,NULL,Wetland,NULL
323,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
324,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
325,Grassland,Wetland,Wetland,NULL,Wetland,Water
326,Grassland,Wetland,Wetland,NULL,Wetland,Forest
327,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
328,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
329,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
330,Grassland,Wetland,Wetland,Water,Wetland,Grassland
331,Grassland,Wetland,Wetland,Water,Wetland,Water
332,Grassland,Wetland,Water,NULL,Water,Water
333,Grassland,Wetland,Water,Non_Water,Water,Grassland
334,Grassland,Wetland,Water,Non_Water,Water,Wetland
335,Grassland,Wetland,Water,Non_Water,Water,Water
336,Grassland,Wetland,Water,Non_Water,Water,Forest
337,Grassland,Wetland,Water,Water,Water,Grassland
338,Grassland,Wetland,Water,Water,Water,Wetland
339,Grassland,Wetland,Water,Water,Water,Water
340,Grassland,Wetland,Water,Water,Water,Forest
341,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
342,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
343,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
344,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
345,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
346,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
347,Grassland,Wetland,Forest,Water,Non_Wetland,Water
348,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
349,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
350,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
351,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
352,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
353,Grassland,Built-up,Wetland,Non_Water,Wetland,Grassland
354,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
355,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
356,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Grassland
357,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
358,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
359,Grassland,Water,Wetland,NULL,Wetland,Grassland
360,Grassland,Water,Wetland,NULL,Wetland,Forest
361,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
362,Grassland,Water,Wetland,Non_Water,Wetland,Water
363,Grassland,Water,Wetland,Non_Water,Wetland,Forest
364,Grassland,Water,Wetland,Water,Wetland,Grassland
365,Grassland,Water,Wetland,Water,Wetland,Wetland
366,Grassland,Water,Wetland,Water,Wetland,Water
367,Grassland,Water,Wetland,Water,Wetland,Forest
368,Grassland,Water,Water,NULL,Water,Water
369,Grassland,Water,Water,Water,Water,Wetland
370,Grassland,Water,Water,Water,Water,Water
371,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
372,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
373,Grassland,Water,Forest,NULL,Non_Wetland,Water
374,Grassland,Water,Forest,NULL,Non_Wetland,Forest
375,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
376,Grassland,Water,Forest,Water,Non_Wetland,Grassland
377,Grassland,Water,Forest,Water,Non_Wetland,Water
378,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
379,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
380,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
381,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
382,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
383,Grassland,Forest,Grassland,Water,Non_Wetland,Forest
384,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
385,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
386,Grassland,Forest,Wetland,NULL,Wetland,Grassland
387,Grassland,Forest,Wetland,NULL,Wetland,Wetland
388,Grassland,Forest,Wetland,NULL,Wetland,Water
389,Grassland,Forest,Wetland,NULL,Wetland,Forest
390,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
391,Grassland,Forest,Wetland,Non_Water,Wetland,Water
392,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
393,Grassland,Forest,Wetland,Water,Wetland,Grassland
394,Grassland,Forest,Wetland,Water,Wetland,Water
395,Grassland,Forest,Wetland,Water,Wetland,Forest
396,Grassland,Forest,Water,Non_Water,Water,Water
397,Grassland,Forest,Water,Water,Water,Grassland
398,Grassland,Forest,Water,Water,Water,Water
399,Grassland,Forest,Water,Water,Water,Forest
400,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
401,Grassland,Forest,Forest,NULL,Non_Wetland,Water
402,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
403,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
404,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water
405,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
406,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
407,Grassland,Forest,Forest,Water,Non_Wetland,Water
408,Grassland,Forest,Forest,Water,Non_Wetland,Forest
409,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
410,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
411,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
412,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
413,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
414,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
415,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
416,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
417,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
418,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
419,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
420,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
421,Cropland,NULL,Cropland,Water,Non_Wetland,Water
422,Cropland,NULL,Wetland,NULL,Wetland,Water
423,Cropland,NULL,Wetland,NULL,Wetland,Forest
424,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
425,Cropland,NULL,Wetland,Non_Water,Wetland,Water
426,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
427,Cropland,NULL,Wetland,Water,Wetland,Grassland
428,Cropland,NULL,Wetland,Water,Wetland,Water
429,Cropland,NULL,Wetland,Water,Wetland,Forest
430,Cropland,NULL,Bareland,Water,Non_Wetland,Water
431,Cropland,NULL,Water,NULL,Water,Water
432,Cropland,NULL,Water,NULL,Water,Forest
433,Cropland,NULL,Water,Non_Water,Water,Grassland
434,Cropland,NULL,Water,Non_Water,Water,Forest
435,Cropland,NULL,Water,Water,Water,Grassland
436,Cropland,NULL,Water,Water,Water,Water
437,Cropland,NULL,Water,Water,Water,Forest
438,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
439,Cropland,NULL,Forest,NULL,Non_Wetland,Water
440,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
441,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
442,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
443,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
444,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
445,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
