Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R
27,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
29,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
30,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
31,NULL,NULL,Water,NULL,Water,Grassland
32,NULL,NULL,Water,Non_Water,Water,Grassland
33,NULL,NULL,Water,Non_Water,Water,Bareland
34,NULL,NULL,Water,Non_Water,Water,Water
35,NULL,NULL,Water,Water,Water,Bareland
36,NULL,NULL,Water,Water,Water,Water
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
39,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
40,NULL,NULL,Forest,NULL,Non_Wetland,Forest
41,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Forest,Water,Non_Wetland,Grassland
43,NULL,NULL,Forest,Water,Non_Wetland,Water
44,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
45,NULL,Cropland,Water,NULL,Water,Grassland
46,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
47,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
48,NULL,Wetland,Wetland,Water,Wetland,Water
49,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
50,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
51,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
52,NULL,Bareland,Wetland,Water,Wetland,Water
53,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
54,NULL,Bareland,Water,Non_Water,Water,Water
55,NULL,Bareland,Water,Water,Water,Bareland
56,NULL,Bareland,Water,Water,Water,Water
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
59,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
60,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
61,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
62,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
63,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
64,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
65,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
66,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
67,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
68,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
69,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
70,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
71,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
72,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
73,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
74,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
75,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
76,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
77,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
78,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
79,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
80,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
81,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
84,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
85,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
86,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
87,NULL,Built-up,Water,Water,Water,Water
88,NULL,Built-up,Water,Water,Water,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
91,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
92,NULL,Built-up,Forest,NULL,Non_Wetland,Water
93,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
94,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
95,NULL,Built-up,Forest,Water,Non_Wetland,Forest
96,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Water,Wetland,Non_Water,Wetland,Water
98,NULL,Water,Wetland,Water,Wetland,Water
99,NULL,Water,Water,Non_Water,Water,Water
100,NULL,Water,Water,Water,Water,Water
101,NULL,Water,Forest,NULL,Non_Wetland,Grassland
102,NULL,Water,Forest,NULL,Non_Wetland,Water
103,NULL,Water,Forest,NULL,Non_Wetland,Forest
104,NULL,Water,Forest,Non_Water,Non_Wetland,Water
105,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
106,NULL,Water,Forest,Water,Non_Wetland,Water
107,NULL,Water,Forest,Water,Non_Wetland,Forest
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
111,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
113,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
114,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
115,NULL,Forest,Wetland,Non_Water,Wetland,Forest
116,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
117,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
118,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
119,NULL,Forest,Water,Non_Water,Water,Water
120,NULL,Forest,Water,Water,Water,Water
121,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
122,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
123,NULL,Forest,Forest,NULL,Non_Wetland,Forest
124,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
125,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
126,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
127,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
128,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
129,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
130,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
131,Grassland,NULL,Wetland,NULL,Wetland,Forest
132,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
133,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
134,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
135,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
136,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
137,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
138,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
139,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
140,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
141,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
142,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
143,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
144,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
145,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
146,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
147,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
148,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
149,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
150,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
151,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
152,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
153,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
154,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
155,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
156,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
157,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
158,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
159,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
160,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
161,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
162,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
163,Cropland,Water,Water,Water,Water,Water
164,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
165,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
166,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
167,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
168,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
169,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
170,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
171,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
172,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
173,Wetland,Water,Wetland,Water,Wetland,Water
174,Wetland,Water,Water,Water,Water,Water
175,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
176,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
177,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
178,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
179,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
180,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
181,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
182,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
183,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
184,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
185,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
186,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
187,Bareland,NULL,Wetland,Water,Wetland,Water
188,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
189,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
190,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
191,Bareland,NULL,Water,NULL,Water,Grassland
192,Bareland,NULL,Water,NULL,Water,Bareland
193,Bareland,NULL,Water,NULL,Water,Forest
194,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
195,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up
196,Bareland,NULL,Forest,NULL,Non_Wetland,Water
197,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
198,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
199,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
200,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
201,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
202,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
203,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
204,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
205,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
206,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
207,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
208,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
209,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
210,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
211,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
212,Bareland,Bareland,Wetland,Water,Wetland,Bareland
213,Bareland,Bareland,Wetland,Water,Wetland,Water
214,Bareland,Bareland,Wetland,Water,Wetland,Forest
215,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
216,Bareland,Bareland,Water,NULL,Water,Grassland
217,Bareland,Bareland,Water,NULL,Water,Water
218,Bareland,Bareland,Water,NULL,Water,Forest
219,Bareland,Bareland,Water,Non_Water,Water,Grassland
220,Bareland,Bareland,Water,Non_Water,Water,Bareland
221,Bareland,Bareland,Water,Non_Water,Water,Water
222,Bareland,Bareland,Water,Water,Water,Grassland
223,Bareland,Bareland,Water,Water,Water,Bareland
224,Bareland,Bareland,Water,Water,Water,Water
225,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
226,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest
227,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland
228,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
229,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Forest
230,Bareland,Bareland,Forest,Water,Non_Wetland,Water
231,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
232,Bareland,Built-up,Bareland,NULL,Non_Wetland,Forest
233,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
234,Bareland,Built-up,Forest,Water,Non_Wetland,Water
235,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
236,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
237,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
238,Bareland,Water,Shrubland,Water,Non_Wetland,Water
239,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
240,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
241,Bareland,Water,Cropland,Water,Non_Wetland,Water
242,Bareland,Water,Wetland,Non_Water,Wetland,Water
243,Bareland,Water,Wetland,Water,Wetland,Bareland
244,Bareland,Water,Wetland,Water,Wetland,Water
245,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
246,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
247,Bareland,Water,Bareland,Water,Non_Wetland,Water
248,Bareland,Water,Built-up,Water,Non_Wetland,Water
249,Bareland,Water,Water,Non_Water,Water,Water
250,Bareland,Water,Water,Water,Water,Bareland
251,Bareland,Water,Water,Water,Water,Water
252,Bareland,Water,Water,Water,Water,Forest
253,Bareland,Water,Forest,NULL,Non_Wetland,Water
254,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
255,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
256,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
257,Bareland,Water,Forest,Water,Non_Wetland,Bareland
258,Bareland,Water,Forest,Water,Non_Wetland,Water
259,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
260,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
261,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
262,Bareland,Forest,Cropland,NULL,Non_Wetland,Built-up
263,Bareland,Forest,Wetland,Non_Water,Wetland,Water
264,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
265,Bareland,Forest,Bareland,Water,Non_Wetland,Water
266,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
267,Bareland,Forest,Forest,Non_Water,Non_Wetland,Water
268,Bareland,Forest,Forest,Non_Water,Non_Wetland,Forest
269,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
270,Water,NULL,Shrubland,Water,Non_Wetland,Water
271,Water,NULL,Wetland,Water,Wetland,Water
272,Water,NULL,Bareland,Water,Non_Wetland,Water
273,Water,NULL,Water,Water,Water,Water
274,Water,NULL,Forest,NULL,Non_Wetland,Grassland
275,Water,NULL,Forest,NULL,Non_Wetland,Forest
276,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
277,Water,Bareland,Shrubland,Water,Non_Wetland,Water
278,Water,Bareland,Wetland,NULL,Wetland,Forest
279,Water,Bareland,Wetland,Non_Water,Wetland,Water
280,Water,Bareland,Wetland,Water,Wetland,Water
281,Water,Bareland,Water,Non_Water,Water,Bareland
282,Water,Bareland,Water,Non_Water,Water,Water
283,Water,Bareland,Water,Water,Water,Water
284,Water,Bareland,Forest,NULL,Non_Wetland,Water
285,Water,Bareland,Forest,NULL,Non_Wetland,Forest
286,Water,Bareland,Forest,Non_Water,Non_Wetland,Water
287,Water,Bareland,Forest,Water,Non_Wetland,Water
288,Water,Built-up,Grassland,Non_Water,Non_Wetland,Forest
289,Water,Built-up,Water,Water,Water,Water
290,Water,Water,NULL,NULL,Non_Wetland,Water
291,Water,Water,NULL,NULL,Non_Wetland,Forest
292,Water,Water,NULL,Non_Water,Non_Wetland,Water
293,Water,Water,NULL,Water,Non_Wetland,Water
294,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
295,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
296,Water,Water,Shrubland,NULL,Non_Wetland,Water
297,Water,Water,Shrubland,NULL,Non_Wetland,Forest
298,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
299,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
300,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
301,Water,Water,Shrubland,Water,Non_Wetland,Bareland
302,Water,Water,Shrubland,Water,Non_Wetland,Water
303,Water,Water,Shrubland,Water,Non_Wetland,Forest
304,Water,Water,Grassland,Water,Non_Wetland,Water
305,Water,Water,Cropland,NULL,Non_Wetland,Grassland
306,Water,Water,Cropland,NULL,Non_Wetland,Water
307,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
308,Water,Water,Cropland,Non_Water,Non_Wetland,Water
309,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
310,Water,Water,Cropland,Water,Non_Wetland,Water
311,Water,Water,Cropland,Water,Non_Wetland,Forest
312,Water,Water,Wetland,NULL,Wetland,Grassland
313,Water,Water,Wetland,NULL,Wetland,Water
314,Water,Water,Wetland,NULL,Wetland,Forest
315,Water,Water,Wetland,Non_Water,Wetland,Grassland
316,Water,Water,Wetland,Non_Water,Wetland,Bareland
317,Water,Water,Wetland,Non_Water,Wetland,Water
318,Water,Water,Wetland,Non_Water,Wetland,Forest
319,Water,Water,Wetland,Water,Wetland,Grassland
320,Water,Water,Wetland,Water,Wetland,Water
321,Water,Water,Wetland,Water,Wetland,Forest
322,Water,Water,Bareland,NULL,Non_Wetland,Water
323,Water,Water,Bareland,Non_Water,Non_Wetland,Water
324,Water,Water,Bareland,Water,Non_Wetland,Grassland
325,Water,Water,Bareland,Water,Non_Wetland,Water
326,Water,Water,Bareland,Water,Non_Wetland,Forest
327,Water,Water,Built-up,Non_Water,Non_Wetland,Water
328,Water,Water,Water,NULL,Water,Grassland
329,Water,Water,Water,NULL,Water,Water
330,Water,Water,Water,NULL,Water,Forest
331,Water,Water,Water,Non_Water,Water,Grassland
332,Water,Water,Water,Non_Water,Water,Water
333,Water,Water,Water,Non_Water,Water,Forest
334,Water,Water,Water,Water,Water,Grassland
335,Water,Water,Water,Water,Water,Bareland
336,Water,Water,Water,Water,Water,Water
337,Water,Water,Water,Water,Water,Forest
338,Water,Water,Forest,NULL,Non_Wetland,Grassland
339,Water,Water,Forest,NULL,Non_Wetland,Water
340,Water,Water,Forest,NULL,Non_Wetland,Forest
341,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
342,Water,Water,Forest,Non_Water,Non_Wetland,Water
343,Water,Water,Forest,Non_Water,Non_Wetland,Forest
344,Water,Water,Forest,Water,Non_Wetland,Grassland
345,Water,Water,Forest,Water,Non_Wetland,Water
346,Water,Water,Forest,Water,Non_Wetland,Forest
347,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
348,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
349,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
350,Water,Forest,Shrubland,Water,Non_Wetland,Water
351,Water,Forest,Cropland,Non_Water,Non_Wetland,Water
352,Water,Forest,Wetland,NULL,Wetland,Water
353,Water,Forest,Wetland,NULL,Wetland,Forest
354,Water,Forest,Wetland,Non_Water,Wetland,Water
355,Water,Forest,Wetland,Non_Water,Wetland,Forest
356,Water,Forest,Wetland,Water,Wetland,Water
357,Water,Forest,Water,NULL,Water,Forest
358,Water,Forest,Water,Non_Water,Water,Water
359,Water,Forest,Water,Non_Water,Water,Forest
360,Water,Forest,Water,Water,Water,Water
361,Water,Forest,Water,Water,Water,Forest
362,Water,Forest,Forest,NULL,Non_Wetland,Water
363,Water,Forest,Forest,NULL,Non_Wetland,Forest
364,Water,Forest,Forest,Non_Water,Non_Wetland,Water
365,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
366,Water,Forest,Forest,Water,Non_Wetland,Water
367,Water,Forest,Forest,Water,Non_Wetland,Forest
368,Forest,NULL,NULL,NULL,Non_Wetland,Forest
369,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
370,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
371,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
372,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
374,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
375,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water
376,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
377,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
378,Forest,NULL,Shrubland,Water,Non_Wetland,Water
379,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
380,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
381,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
382,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
383,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest
384,Forest,NULL,Grassland,Water,Non_Wetland,Water
385,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
386,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
387,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
388,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
389,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
390,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
391,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
392,Forest,NULL,Wetland,NULL,Wetland,NULL
393,Forest,NULL,Wetland,NULL,Wetland,Grassland
394,Forest,NULL,Wetland,NULL,Wetland,Forest
395,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
396,Forest,NULL,Wetland,Non_Water,Wetland,Bareland
397,Forest,NULL,Wetland,Non_Water,Wetland,Forest
398,Forest,NULL,Wetland,Water,Wetland,Grassland
399,Forest,NULL,Wetland,Water,Wetland,Water
400,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
401,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
402,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
403,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland
404,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
405,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland
406,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
407,Forest,NULL,Water,NULL,Water,Bareland
408,Forest,NULL,Water,NULL,Water,Forest
409,Forest,NULL,Water,Non_Water,Water,Water
410,Forest,NULL,Water,Water,Water,Water
411,Forest,NULL,Forest,NULL,Non_Wetland,NULL
412,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
413,Forest,NULL,Forest,NULL,Non_Wetland,Forest
414,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Forest,NULL,Forest,Non_Water,Non_Wetland,Water
416,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
417,Forest,NULL,Forest,Water,Non_Wetland,Grassland
418,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
419,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
420,Forest,Cropland,Grassland,NULL,Non_Wetland,Built-up
421,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
422,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
423,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
424,Forest,Cropland,Forest,Non_Water,Non_Wetland,Forest
425,Forest,Wetland,Wetland,NULL,Wetland,Forest
426,Forest,Wetland,Wetland,Water,Wetland,Water
427,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
428,Forest,Bareland,NULL,NULL,Non_Wetland,Forest
429,Forest,Bareland,Shrubland,NULL,Non_Wetland,Bareland
430,Forest,Bareland,Grassland,NULL,Non_Wetland,Grassland
431,Forest,Bareland,Wetland,Water,Wetland,Water
432,Forest,Bareland,Bareland,NULL,Non_Wetland,Bareland
433,Forest,Bareland,Water,NULL,Water,Bareland
434,Forest,Bareland,Water,Water,Water,Water
435,Forest,Bareland,Forest,NULL,Non_Wetland,Grassland
436,Forest,Bareland,Forest,NULL,Non_Wetland,Forest
437,Forest,Bareland,Forest,Non_Water,Non_Wetland,Water
438,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
439,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
440,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
441,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
442,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
443,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
444,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
