Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRN_M_R
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
137,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
138,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
147,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
148,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
149,NULL,Wetland,Water,Water,Water,Grassland
150,NULL,Wetland,Water,Water,Water,Wetland
151,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
152,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
153,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
154,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
169,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
170,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
171,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
175,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
176,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
181,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
182,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
183,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
184,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
186,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
188,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
189,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
190,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
191,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
192,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
194,NULL,Bareland,Forest,NULL,Non_Wetland,Water
195,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
203,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
211,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
218,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
219,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
234,NULL,Built-up,Water,NULL,Water,Built-up
235,NULL,Built-up,Water,NULL,Water,Water
236,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
237,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
238,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
239,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
240,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
241,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
242,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
243,NULL,Water,NULL,NULL,Non_Wetland,Grassland
244,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
245,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
248,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
249,NULL,Water,Shrubland,NULL,Non_Wetland,Water
250,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
251,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
252,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
253,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
254,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
255,NULL,Water,Shrubland,Water,Non_Wetland,NULL
256,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
257,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
258,NULL,Water,Shrubland,Water,Non_Wetland,Built-up
259,NULL,Water,Shrubland,Water,Non_Wetland,Water
260,NULL,Water,Shrubland,Water,Non_Wetland,Forest
261,NULL,Water,Grassland,NULL,Non_Wetland,NULL
262,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
263,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
264,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
265,NULL,Water,Grassland,NULL,Non_Wetland,Water
266,NULL,Water,Grassland,NULL,Non_Wetland,Forest
267,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
268,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
269,NULL,Water,Grassland,Water,Non_Wetland,Grassland
270,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
271,NULL,Water,Cropland,NULL,Non_Wetland,Water
272,NULL,Water,Cropland,NULL,Non_Wetland,Forest
273,NULL,Water,Wetland,NULL,Wetland,Bareland
274,NULL,Water,Wetland,Water,Wetland,Forest
275,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
276,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
277,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
278,NULL,Water,Bareland,NULL,Non_Wetland,Forest
279,NULL,Water,Bareland,Water,Non_Wetland,NULL
280,NULL,Water,Bareland,Water,Non_Wetland,Grassland
281,NULL,Water,Bareland,Water,Non_Wetland,Bareland
282,NULL,Water,Bareland,Water,Non_Wetland,Built-up
283,NULL,Water,Bareland,Water,Non_Wetland,Forest
284,NULL,Water,Built-up,Water,Non_Wetland,Built-up
285,NULL,Water,Water,NULL,Water,Grassland
286,NULL,Water,Water,NULL,Water,Water
287,NULL,Water,Water,Non_Water,Water,Grassland
288,NULL,Water,Water,Water,Water,Grassland
289,NULL,Water,Water,Water,Water,Bareland
290,NULL,Water,Water,Water,Water,Water
291,NULL,Water,Forest,NULL,Non_Wetland,Grassland
292,NULL,Water,Forest,NULL,Non_Wetland,Bareland
293,NULL,Water,Forest,NULL,Non_Wetland,Water
294,NULL,Water,Forest,NULL,Non_Wetland,Forest
295,NULL,Water,Forest,Water,Non_Wetland,Grassland
296,NULL,Water,Forest,Water,Non_Wetland,Water
297,NULL,Water,Forest,Water,Non_Wetland,Forest
298,NULL,Forest,NULL,NULL,Non_Wetland,NULL
299,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
300,NULL,Forest,NULL,NULL,Non_Wetland,Forest
301,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
304,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
307,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
308,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
309,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
310,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
311,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
312,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
313,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
314,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
315,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
316,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
317,NULL,Forest,Cropland,NULL,Non_Wetland,Water
318,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
319,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
320,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
321,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
322,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
323,NULL,Forest,Bareland,Water,Non_Wetland,Forest
324,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
325,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
326,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
327,NULL,Forest,Forest,NULL,Non_Wetland,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
329,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
330,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
331,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
332,NULL,Forest,Forest,NULL,Non_Wetland,Forest
333,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
334,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
335,NULL,Forest,Forest,Water,Non_Wetland,Forest
336,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
337,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
338,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
346,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
347,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
348,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
349,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
350,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
351,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
352,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
353,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
354,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
355,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
356,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
357,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
358,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
359,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
360,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
361,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
362,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
363,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
364,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
365,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
366,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
367,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
368,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
369,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
370,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
371,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
372,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
373,Grassland,NULL,Cropland,Water,Non_Wetland,Water
374,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
375,Grassland,NULL,Wetland,Water,Wetland,Grassland
376,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
377,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
378,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
379,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
380,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
381,Grassland,NULL,Bareland,Water,Non_Wetland,Water
382,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
383,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
384,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
385,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
386,Grassland,NULL,Water,NULL,Water,Grassland
387,Grassland,NULL,Water,NULL,Water,Water
388,Grassland,NULL,Water,Water,Water,Grassland
389,Grassland,NULL,Water,Water,Water,Cropland
390,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
391,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
392,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
393,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
394,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
395,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
396,Grassland,NULL,Forest,NULL,Non_Wetland,Water
397,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
398,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
399,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
400,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
401,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
402,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
403,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
404,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
405,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
406,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
407,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
408,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
409,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
410,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
411,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
412,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
413,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
414,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
415,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
416,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
417,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
418,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
419,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
420,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
421,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
422,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
423,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
424,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
425,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
426,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
