Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Built-up
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Bareland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Bareland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
187,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
189,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
194,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
197,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
198,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
