Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R
52,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
65,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
67,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
68,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
70,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
73,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
74,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
75,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
77,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
78,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
82,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
84,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
86,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
88,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
90,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
92,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
93,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
94,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
96,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
97,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
101,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
102,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
103,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
104,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
105,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
108,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
109,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
110,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
111,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
112,Cropland,Water,Water,Water,Water,NULL,NULL,Water
113,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
114,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
116,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
117,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
121,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
122,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
123,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
124,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
126,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
128,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
130,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
131,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
132,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
133,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
134,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
135,Wetland,Water,Water,Water,Water,NULL,NULL,Water
136,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
137,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
138,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
140,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
141,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
142,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
143,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
144,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
145,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
150,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
151,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
152,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
153,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
154,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
155,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
156,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
157,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
158,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
159,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
160,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
161,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
162,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
163,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
165,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
167,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
168,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
169,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
170,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
171,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
172,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
173,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
174,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
175,Bareland,Water,Water,Water,Water,NULL,NULL,Water
176,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
178,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
179,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
180,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
182,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
185,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
187,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
188,Bareland,Forest,Water,NULL,Water,NULL,NULL,Bareland
189,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
190,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
191,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
192,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
193,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
194,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
197,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
198,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
199,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
201,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
202,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
204,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
208,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
209,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
210,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
211,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
212,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
213,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
214,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
216,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
217,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
218,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
219,Water,NULL,Water,NULL,Water,NULL,NULL,NULL
220,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
221,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
222,Water,NULL,Water,NULL,Water,NULL,NULL,Water
223,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
224,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
225,Water,NULL,Water,Water,Water,NULL,NULL,Water
226,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
227,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
229,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
230,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
231,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
232,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
234,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
235,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
236,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
237,Water,Wetland,Water,Water,Water,NULL,NULL,Water
238,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
239,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
240,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
241,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
242,Water,Bareland,Water,NULL,Water,NULL,NULL,Forest
243,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
244,Water,Bareland,Water,Water,Water,NULL,NULL,Bareland
245,Water,Bareland,Water,Water,Water,NULL,NULL,Water
246,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
247,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
249,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
250,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
253,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
255,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
258,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
259,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
260,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
261,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
263,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
265,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
266,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
267,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
268,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
269,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
270,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
271,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
272,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
273,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
274,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
275,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
276,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
277,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
278,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
280,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
281,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
282,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
283,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
284,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
285,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
286,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
287,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
288,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
289,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
290,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
291,Water,Water,Water,NULL,Water,NULL,NULL,Water
292,Water,Water,Water,NULL,Water,NULL,NULL,Forest
293,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
294,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
295,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
296,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
297,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
298,Water,Water,Water,Water,Water,NULL,NULL,Grassland
299,Water,Water,Water,Water,Water,NULL,NULL,Wetland
300,Water,Water,Water,Water,Water,NULL,NULL,Bareland
301,Water,Water,Water,Water,Water,NULL,NULL,Water
302,Water,Water,Water,Water,Water,NULL,NULL,Forest
303,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
304,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
305,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
306,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
307,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
308,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
309,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
310,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
311,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
312,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
313,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
314,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
315,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
316,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
317,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
318,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
319,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
320,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
323,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
324,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
325,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
326,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
328,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
329,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
330,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
331,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
332,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
333,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
334,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
335,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
336,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
337,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
338,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
339,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
341,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
342,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
343,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
344,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
345,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
346,Water,Forest,Water,NULL,Water,NULL,NULL,NULL
347,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
348,Water,Forest,Water,NULL,Water,NULL,NULL,Bareland
349,Water,Forest,Water,NULL,Water,NULL,NULL,Water
350,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
351,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
352,Water,Forest,Water,Water,Water,NULL,NULL,Forest
353,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
354,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
355,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
356,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
357,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
358,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
359,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
