Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
42,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Water
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Water
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,NULL
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,NULL
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Forest
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
