Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRU_M_R
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
102,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
108,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
137,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
165,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
167,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
203,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
205,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
208,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
209,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
211,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
212,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
219,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
220,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
221,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
223,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Water,Grassland
224,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Forest,Built-up
225,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
226,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
228,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Forest
230,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
232,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
235,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
240,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
253,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
256,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
258,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
259,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Forest,Wetland
260,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
262,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
263,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
264,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
265,NULL,NULL,Bareland,Water,Non_Wetland,Water,Forest,Grassland
266,NULL,NULL,Bareland,Water,Non_Wetland,Water,Forest,Wetland
267,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
268,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
272,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
281,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
285,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
288,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
289,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
291,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Wetland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
295,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
298,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
299,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
300,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
301,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
302,NULL,NULL,Water,Water,Water,Water,Water,Grassland
303,NULL,NULL,Water,Water,Water,Water,Water,Wetland
304,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
310,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
313,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
316,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
331,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
