Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXV_M_R
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
236,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Wetland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
254,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Wetland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
281,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
282,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
286,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
301,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
