Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R
5716,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5717,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
5718,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
5719,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5720,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5721,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5722,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5723,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5724,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5725,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
5726,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5727,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5728,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5729,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5730,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
5731,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5732,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5733,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5734,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5735,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5736,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
5737,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5738,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5739,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
5740,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
5741,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5742,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5743,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
5744,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5745,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5746,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
5747,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
5748,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
5749,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
5750,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
5751,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
5752,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
5753,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
5754,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5755,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5756,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
5757,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
5758,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
5759,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
5760,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5761,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
5762,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
5763,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5764,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
5765,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5766,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
5767,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5768,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
5769,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
5770,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
5771,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
5772,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
5773,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
5774,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
5775,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5776,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5777,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
5778,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
5779,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
5780,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5781,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5782,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5783,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
5784,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
5785,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
5786,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
5787,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5788,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5789,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
5790,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
5791,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
5792,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
5793,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
5794,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
5795,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
5796,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
5797,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
5798,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5799,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
5800,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
5801,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
5802,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
5803,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5804,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
5805,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Built-up
5806,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
5807,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
5808,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5809,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5810,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5811,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5812,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5813,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Cropland
5814,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
5815,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
5816,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Water
5817,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
5818,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
5819,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Cropland
5820,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
5821,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
5822,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Cropland
5823,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
5824,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
5825,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
5826,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
5827,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
5828,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5829,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5830,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5831,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5832,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
5833,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
5834,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
5835,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5836,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5837,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5838,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
5839,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5840,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5841,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5842,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5843,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
5844,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
5845,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
5846,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5847,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
5848,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
5849,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
5850,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
5851,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
5852,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
5853,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
5854,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
5855,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
5856,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
5857,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
5858,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
5859,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
5860,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
5861,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
5862,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
5863,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
5864,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5865,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
5866,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
5867,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
5868,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5869,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5870,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5871,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5872,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5873,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5874,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5875,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
5876,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5877,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5878,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
5879,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
5880,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5881,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5882,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5883,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5884,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5885,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5886,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5887,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5888,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5889,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5890,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5891,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5892,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5893,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
5894,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5895,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
5896,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
5897,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
5898,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5899,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
5900,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
5901,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
5902,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5903,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
5904,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
5905,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
5906,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
5907,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
5908,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
5909,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5910,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5911,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5912,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
5913,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
5914,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
5915,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
5916,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
5917,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
5918,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Water
5919,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
5920,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5921,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
5922,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
5923,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5924,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
5925,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5926,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Water
5927,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
5928,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
5929,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Cropland
5930,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5931,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5932,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
5933,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
5934,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Water
5935,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
5936,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
5937,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5938,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5939,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5940,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5941,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
5942,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
5943,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Cropland
5944,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
5945,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
5946,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5947,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
5948,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5949,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5950,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
5951,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
5952,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5953,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
5954,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
5955,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
5956,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
5957,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
5958,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
5959,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5960,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
5961,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
5962,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5963,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
5964,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5965,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5966,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
5967,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
5968,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Cropland
5969,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
5970,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
5971,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
5972,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
5973,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
5974,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
5975,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
5976,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5977,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
5978,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
5979,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
5980,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5981,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
5982,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
5983,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
5984,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
5985,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
5986,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
5987,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
5988,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
5989,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Cropland
5990,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5991,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
5992,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Water
5993,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5994,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5995,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5996,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
5997,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5998,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
5999,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
6000,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
6001,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,NULL
6002,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
6003,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Forest
6004,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
6005,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
6006,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
6007,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Cropland
6008,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
6009,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
6010,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
6011,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Bareland
6012,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
6013,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
6014,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Cropland
6015,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
6016,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
6017,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
6018,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
6019,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
6020,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
6021,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Forest
6022,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,Grassland
6023,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,Cropland
6024,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Forest,Grassland
6025,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,Forest,Cropland
6026,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
6027,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
6028,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Wetland
