Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R
120,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
121,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
122,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
123,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
124,Water,Water,Water,NULL,Water,NULL,NULL,Water
125,Water,Water,Water,NULL,Water,NULL,NULL,Forest
126,Water,Water,Water,NULL,Water,NULL,Water,Forest
127,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
128,Water,Water,Water,NULL,Water,Wetland,Water,Water
129,Water,Water,Water,NULL,Water,Wetland,Water,Forest
130,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
131,Water,Water,Water,NULL,Water,Water,Wetland,Water
132,Water,Water,Water,NULL,Water,Water,Wetland,Forest
133,Water,Water,Water,NULL,Water,Water,Water,Grassland
134,Water,Water,Water,NULL,Water,Water,Water,Bareland
135,Water,Water,Water,NULL,Water,Water,Water,Water
136,Water,Water,Water,NULL,Water,Water,Water,Forest
137,Water,Water,Water,NULL,Water,Water,Forest,Water
138,Water,Water,Water,NULL,Water,Water,Forest,Forest
139,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
140,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
141,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
142,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
143,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
144,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
145,Water,Water,Water,Non_Water,Water,Wetland,Forest,Forest
146,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
147,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
148,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
149,Water,Water,Water,Non_Water,Water,Water,Water,Water
150,Water,Water,Water,Non_Water,Water,Water,Water,Forest
151,Water,Water,Water,Non_Water,Water,Water,Forest,Grassland
152,Water,Water,Water,Non_Water,Water,Water,Forest,Water
153,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
154,Water,Water,Water,Water,Water,NULL,NULL,Grassland
155,Water,Water,Water,Water,Water,NULL,NULL,Bareland
156,Water,Water,Water,Water,Water,NULL,NULL,Water
157,Water,Water,Water,Water,Water,NULL,NULL,Forest
158,Water,Water,Water,Water,Water,NULL,Water,Water
159,Water,Water,Water,Water,Water,Wetland,Water,Forest
160,Water,Water,Water,Water,Water,Water,Wetland,Water
161,Water,Water,Water,Water,Water,Water,Wetland,Forest
162,Water,Water,Water,Water,Water,Water,Water,Grassland
163,Water,Water,Water,Water,Water,Water,Water,Bareland
164,Water,Water,Water,Water,Water,Water,Water,Water
165,Water,Water,Water,Water,Water,Water,Water,Forest
166,Water,Water,Water,Water,Water,Water,Forest,Water
167,Water,Water,Water,Water,Water,Water,Forest,Forest
168,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
169,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
170,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
171,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
173,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
174,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
175,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
176,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
177,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
178,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
179,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
180,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
181,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
182,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
183,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
184,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
185,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
186,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
187,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
188,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
190,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
191,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
192,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
193,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
194,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
195,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
196,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
197,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
198,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
199,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
200,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
201,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
202,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
203,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
204,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
205,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
206,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
207,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
208,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
209,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
210,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,Water,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
212,Water,Forest,Water,NULL,Water,Water,Forest,Forest
213,Water,Forest,Water,NULL,Water,Forest,Forest,Forest
214,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
215,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
217,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
218,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
219,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
220,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
221,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
222,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
223,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
224,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
225,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
226,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
227,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
228,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
229,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
230,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
231,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
232,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
235,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
236,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
237,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
238,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
239,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
240,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
241,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
244,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
245,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
246,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
247,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
248,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
249,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
254,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
255,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
256,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
257,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
258,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
260,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
261,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
262,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
263,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
265,Forest,Water,Shrubland,Water,Non_Wetland,NULL,Water,Forest
266,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
267,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
268,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
269,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
270,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
271,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
272,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
273,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
274,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
275,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
276,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
277,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
278,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
279,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
280,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
281,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
282,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
283,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
284,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
285,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
286,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
287,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
288,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
289,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
290,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
291,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
292,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
293,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
294,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
295,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
296,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
297,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
298,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
299,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
300,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
301,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
302,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
303,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
304,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Water
305,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
306,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
307,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
308,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
309,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
310,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
311,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
312,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
313,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
314,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
315,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
316,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
317,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
318,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
319,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
320,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
321,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
322,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
323,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
324,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
325,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
326,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
327,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
328,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
329,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
330,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
331,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
332,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
333,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
334,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
335,Forest,Water,Water,NULL,Water,NULL,NULL,Water
336,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
337,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
338,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
339,Forest,Water,Water,NULL,Water,NULL,Water,Water
340,Forest,Water,Water,NULL,Water,NULL,Water,Forest
341,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
342,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
343,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
344,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
345,Forest,Water,Water,NULL,Water,Water,Wetland,Water
346,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
347,Forest,Water,Water,NULL,Water,Water,Water,Grassland
348,Forest,Water,Water,NULL,Water,Water,Water,Water
349,Forest,Water,Water,NULL,Water,Water,Water,Forest
350,Forest,Water,Water,NULL,Water,Water,Forest,Water
351,Forest,Water,Water,NULL,Water,Water,Forest,Forest
352,Forest,Water,Water,NULL,Water,Forest,Water,Forest
353,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
354,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
355,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
356,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
357,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
358,Forest,Water,Water,Non_Water,Water,NULL,Forest,Water
359,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
360,Forest,Water,Water,Non_Water,Water,Water,Wetland,Grassland
361,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
362,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
363,Forest,Water,Water,Non_Water,Water,Water,Water,Grassland
364,Forest,Water,Water,Non_Water,Water,Water,Water,Water
365,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
366,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
367,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
368,Forest,Water,Water,Non_Water,Water,Forest,Forest,Water
369,Forest,Water,Water,Water,Water,NULL,NULL,Water
370,Forest,Water,Water,Water,Water,NULL,NULL,Forest
371,Forest,Water,Water,Water,Water,NULL,Wetland,Water
372,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
373,Forest,Water,Water,Water,Water,NULL,Water,Water
374,Forest,Water,Water,Water,Water,NULL,Water,Forest
375,Forest,Water,Water,Water,Water,NULL,Forest,Water
376,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
377,Forest,Water,Water,Water,Water,Wetland,Water,Forest
378,Forest,Water,Water,Water,Water,Water,Wetland,Water
379,Forest,Water,Water,Water,Water,Water,Wetland,Forest
