Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R
53,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
65,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
66,NULL,Water,Water,Water,Water,NULL,NULL,Water
67,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
75,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
77,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
78,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,Forest,Water,Water,Water,NULL,NULL,Water
80,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
82,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
84,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
85,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
91,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
93,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
97,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
98,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
100,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
103,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
105,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
109,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
110,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
111,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
113,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
114,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
115,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
117,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
118,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
119,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
121,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
123,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
124,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
125,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
126,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
127,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
128,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
129,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
130,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
131,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
133,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
136,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
137,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
138,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
140,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
142,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
143,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
144,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
145,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
146,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
147,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
148,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
150,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
151,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
152,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
153,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
155,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
156,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
157,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
158,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
160,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
161,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
162,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
163,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
164,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
165,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
166,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
167,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
168,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
170,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
171,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
172,Bareland,Water,Water,Water,Water,NULL,NULL,Water
173,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
175,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
177,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
178,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
179,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
181,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
183,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
184,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
185,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
186,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
188,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
189,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
190,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
191,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
192,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
193,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
194,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
195,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
196,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
197,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
198,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
199,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
201,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
202,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
204,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
205,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
207,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
208,Water,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
209,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
211,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
212,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
213,Water,Wetland,Water,Water,Water,NULL,NULL,Bareland
214,Water,Wetland,Water,Water,Water,NULL,NULL,Water
215,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
217,Water,Bareland,Water,Water,Water,NULL,NULL,Bareland
218,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
219,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
223,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
224,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
225,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
226,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
227,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
229,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
232,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
233,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
234,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
235,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
236,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
237,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
238,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
239,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
240,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
241,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
242,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
243,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
244,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
246,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
247,Water,Water,Water,NULL,Water,NULL,NULL,Water
248,Water,Water,Water,NULL,Water,NULL,NULL,Forest
249,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
250,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
251,Water,Water,Water,Water,Water,NULL,NULL,Grassland
252,Water,Water,Water,Water,Water,NULL,NULL,Bareland
253,Water,Water,Water,Water,Water,NULL,NULL,Water
254,Water,Water,Water,Water,Water,NULL,NULL,Forest
255,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
257,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
258,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
259,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
260,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
261,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
262,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
263,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
264,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
265,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
268,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
269,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
270,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
271,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
272,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
273,Water,Forest,Water,Water,Water,NULL,NULL,Forest
274,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
275,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
278,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
279,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
281,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
283,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
284,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
285,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
286,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
288,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
290,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
291,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
292,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
294,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
295,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
296,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
298,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
299,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
300,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
302,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
303,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
304,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
305,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
308,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
309,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
311,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
312,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
313,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
314,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
317,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
319,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
320,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
321,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
322,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
323,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
324,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
325,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
327,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
328,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
329,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
330,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
332,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
333,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
334,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
335,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
336,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
337,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
338,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
339,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
340,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
341,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
343,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
344,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
345,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
