Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEU_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
80,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Water,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
194,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
195,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
196,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Cropland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
264,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
272,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Water
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
287,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
288,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
312,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
315,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
316,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
322,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
323,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
324,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
325,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
326,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
