Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R
117,NULL,Forest,Wetland,NULL,Wetland,Wetland
118,NULL,Forest,Wetland,NULL,Wetland,Bareland
119,NULL,Forest,Wetland,NULL,Wetland,Water
120,NULL,Forest,Wetland,NULL,Wetland,Forest
121,NULL,Forest,Wetland,Non_Water,Wetland,Forest
122,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,Forest,NULL,Non_Wetland,Water
127,NULL,Forest,Forest,NULL,Non_Wetland,Forest
128,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
129,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
130,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
131,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
132,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
133,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
134,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
135,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
136,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
137,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
138,Grassland,NULL,Wetland,NULL,Wetland,NULL
139,Grassland,NULL,Wetland,NULL,Wetland,Grassland
140,Grassland,NULL,Wetland,NULL,Wetland,Wetland
141,Grassland,NULL,Wetland,NULL,Wetland,Forest
142,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
143,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
144,Grassland,NULL,Water,NULL,Water,Wetland
145,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
146,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
147,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
148,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
149,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
150,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
151,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
152,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
153,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
154,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
155,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
156,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
157,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
158,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
159,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
160,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
161,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
162,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
163,Grassland,Forest,Wetland,NULL,Wetland,NULL
164,Grassland,Forest,Wetland,NULL,Wetland,Grassland
165,Grassland,Forest,Wetland,NULL,Wetland,Wetland
166,Grassland,Forest,Wetland,NULL,Wetland,Bareland
167,Grassland,Forest,Wetland,NULL,Wetland,Forest
168,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
169,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
170,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
171,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
172,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
173,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
174,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
175,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
176,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
177,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
178,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
179,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
180,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
181,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
182,Cropland,NULL,Wetland,NULL,Wetland,Wetland
183,Cropland,NULL,Wetland,NULL,Wetland,Forest
184,Cropland,NULL,Wetland,Water,Wetland,Wetland
185,Cropland,NULL,Water,Water,Water,Wetland
186,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
187,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
188,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
189,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
190,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
191,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
192,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
193,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
194,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
195,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
196,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
197,Cropland,Water,Wetland,NULL,Wetland,Water
198,Cropland,Water,Wetland,NULL,Wetland,Forest
199,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
200,Cropland,Water,Wetland,Non_Water,Wetland,Wetland
201,Cropland,Water,Wetland,Non_Water,Wetland,Water
202,Cropland,Water,Wetland,Non_Water,Wetland,Forest
203,Cropland,Water,Wetland,Water,Wetland,Water
204,Cropland,Water,Water,Water,Water,Water
205,Cropland,Water,Forest,NULL,Non_Wetland,Forest
206,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
207,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
208,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
209,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
210,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
211,Cropland,Forest,Wetland,NULL,Wetland,Grassland
212,Cropland,Forest,Wetland,NULL,Wetland,Wetland
213,Cropland,Forest,Wetland,NULL,Wetland,Forest
214,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
215,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
216,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
217,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
218,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
219,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
221,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
222,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
223,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
224,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
225,Wetland,NULL,Wetland,NULL,Wetland,NULL
226,Wetland,NULL,Wetland,NULL,Wetland,Grassland
227,Wetland,NULL,Wetland,NULL,Wetland,Wetland
228,Wetland,NULL,Wetland,NULL,Wetland,Bareland
229,Wetland,NULL,Wetland,NULL,Wetland,Water
230,Wetland,NULL,Wetland,NULL,Wetland,Forest
231,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
232,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
233,Wetland,NULL,Wetland,Non_Water,Wetland,Water
234,Wetland,NULL,Wetland,Water,Wetland,Wetland
235,Wetland,NULL,Wetland,Water,Wetland,Water
236,Wetland,NULL,Water,NULL,Water,Wetland
237,Wetland,NULL,Water,NULL,Water,Water
238,Wetland,NULL,Water,Non_Water,Water,Wetland
239,Wetland,NULL,Water,Non_Water,Water,Water
240,Wetland,NULL,Water,Water,Water,Wetland
241,Wetland,NULL,Water,Water,Water,Water
242,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
243,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
244,Wetland,NULL,Forest,NULL,Non_Wetland,Water
245,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
246,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
247,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
248,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
249,Wetland,Wetland,Wetland,NULL,Wetland,Water
250,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
251,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
252,Wetland,Wetland,Wetland,Water,Wetland,Wetland
253,Wetland,Wetland,Wetland,Water,Wetland,Water
254,Wetland,Wetland,Water,NULL,Water,Wetland
255,Wetland,Wetland,Water,NULL,Water,Water
256,Wetland,Wetland,Water,Non_Water,Water,Wetland
257,Wetland,Wetland,Water,Non_Water,Water,Water
258,Wetland,Wetland,Water,Water,Water,Grassland
259,Wetland,Wetland,Water,Water,Water,Wetland
260,Wetland,Wetland,Water,Water,Water,Water
261,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
262,Wetland,Water,Grassland,Water,Non_Wetland,Bareland
263,Wetland,Water,Grassland,Water,Non_Wetland,Water
264,Wetland,Water,Wetland,NULL,Wetland,Grassland
265,Wetland,Water,Wetland,NULL,Wetland,Wetland
266,Wetland,Water,Wetland,NULL,Wetland,Bareland
267,Wetland,Water,Wetland,NULL,Wetland,Water
268,Wetland,Water,Wetland,NULL,Wetland,Forest
269,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
270,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
271,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
272,Wetland,Water,Wetland,Non_Water,Wetland,Water
273,Wetland,Water,Wetland,Non_Water,Wetland,Forest
274,Wetland,Water,Wetland,Water,Wetland,Grassland
275,Wetland,Water,Wetland,Water,Wetland,Wetland
276,Wetland,Water,Wetland,Water,Wetland,Bareland
277,Wetland,Water,Wetland,Water,Wetland,Water
278,Wetland,Water,Water,Non_Water,NULL,Water
279,Wetland,Water,Water,Non_Water,Water,Wetland
280,Wetland,Water,Water,Water,NULL,Bareland
281,Wetland,Water,Water,Water,NULL,Water
282,Wetland,Water,Water,Water,Water,Wetland
283,Wetland,Water,Water,Water,Water,Water
284,Wetland,Water,Forest,NULL,Non_Wetland,Forest
285,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
286,Wetland,Forest,Wetland,NULL,Wetland,NULL
287,Wetland,Forest,Wetland,NULL,Wetland,Grassland
288,Wetland,Forest,Wetland,NULL,Wetland,Wetland
289,Wetland,Forest,Wetland,NULL,Wetland,Bareland
290,Wetland,Forest,Wetland,NULL,Wetland,Water
291,Wetland,Forest,Wetland,NULL,Wetland,Forest
292,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
293,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
294,Wetland,Forest,Wetland,Non_Water,Wetland,Water
295,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
296,Wetland,Forest,Wetland,Water,Wetland,Wetland
297,Wetland,Forest,Wetland,Water,Wetland,Water
298,Wetland,Forest,Water,NULL,Water,Water
299,Wetland,Forest,Water,Water,Water,Wetland
300,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
301,Wetland,Forest,Forest,NULL,Non_Wetland,Bareland
302,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
303,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
304,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
305,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
306,Bareland,NULL,Wetland,NULL,Wetland,Grassland
307,Bareland,NULL,Wetland,NULL,Wetland,Wetland
308,Bareland,NULL,Wetland,NULL,Wetland,Water
309,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
310,Bareland,NULL,Wetland,Non_Water,Wetland,Water
311,Bareland,NULL,Wetland,Water,Wetland,Wetland
312,Bareland,NULL,Wetland,Water,Wetland,Water
313,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
314,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
315,Bareland,Wetland,Wetland,NULL,Wetland,Wetland
316,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
317,Bareland,Bareland,Wetland,NULL,Wetland,Water
318,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
319,Bareland,Bareland,Wetland,Water,Wetland,Water
320,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland
321,Bareland,Water,NULL,Non_Water,Non_Wetland,Water
322,Bareland,Water,NULL,Water,Non_Wetland,Bareland
323,Bareland,Water,NULL,Water,Non_Wetland,Water
324,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
325,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
326,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
327,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
328,Bareland,Water,Shrubland,Water,Non_Wetland,Water
329,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
330,Bareland,Water,Grassland,Water,Non_Wetland,Water
331,Bareland,Water,Cropland,NULL,Non_Wetland,Water
332,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
333,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
334,Bareland,Water,Cropland,Water,Non_Wetland,Water
335,Bareland,Water,Wetland,NULL,Wetland,Grassland
336,Bareland,Water,Wetland,NULL,Wetland,Wetland
337,Bareland,Water,Wetland,NULL,Wetland,Bareland
338,Bareland,Water,Wetland,NULL,Wetland,Water
339,Bareland,Water,Wetland,NULL,Wetland,Forest
340,Bareland,Water,Wetland,Non_Water,Wetland,Grassland
341,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
342,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
343,Bareland,Water,Wetland,Non_Water,Wetland,Water
344,Bareland,Water,Wetland,Water,NULL,Water
345,Bareland,Water,Wetland,Water,Wetland,Grassland
346,Bareland,Water,Wetland,Water,Wetland,Wetland
347,Bareland,Water,Wetland,Water,Wetland,Bareland
348,Bareland,Water,Wetland,Water,Wetland,Water
349,Bareland,Water,Built-up,Non_Water,Non_Wetland,Wetland
350,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
351,Bareland,Water,Water,NULL,Water,Water
352,Bareland,Water,Water,Non_Water,Water,Water
353,Bareland,Water,Water,Water,NULL,Wetland
354,Bareland,Water,Water,Water,NULL,Water
355,Bareland,Water,Water,Water,NULL,Forest
356,Bareland,Water,Water,Water,Water,Wetland
357,Bareland,Water,Water,Water,Water,Water
358,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland
359,Bareland,Forest,NULL,NULL,Non_Wetland,Water
360,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
361,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
362,Bareland,Forest,Wetland,NULL,Wetland,Grassland
363,Bareland,Forest,Wetland,NULL,Wetland,Wetland
364,Bareland,Forest,Wetland,NULL,Wetland,Water
365,Bareland,Forest,Wetland,NULL,Wetland,Forest
366,Bareland,Forest,Wetland,Non_Water,Wetland,Grassland
367,Bareland,Forest,Wetland,Non_Water,Wetland,Wetland
368,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland
369,Bareland,Forest,Wetland,Non_Water,Wetland,Water
370,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
371,Bareland,Forest,Wetland,Water,Wetland,Wetland
372,Bareland,Forest,Wetland,Water,Wetland,Water
373,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
374,Water,NULL,NULL,NULL,Non_Wetland,NULL
375,Water,NULL,NULL,NULL,Non_Wetland,Grassland
376,Water,NULL,NULL,NULL,Non_Wetland,Water
377,Water,NULL,NULL,Water,Non_Wetland,Water
378,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
379,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
380,Water,NULL,Shrubland,NULL,Non_Wetland,Built-up
381,Water,NULL,Shrubland,NULL,Non_Wetland,Water
382,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
383,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
384,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
385,Water,NULL,Grassland,NULL,Non_Wetland,Forest
386,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
387,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
388,Water,NULL,Cropland,NULL,Non_Wetland,Forest
389,Water,NULL,Wetland,NULL,NULL,Water
390,Water,NULL,Wetland,NULL,Wetland,NULL
391,Water,NULL,Wetland,NULL,Wetland,Grassland
392,Water,NULL,Wetland,NULL,Wetland,Wetland
393,Water,NULL,Wetland,NULL,Wetland,Water
394,Water,NULL,Wetland,NULL,Wetland,Forest
395,Water,NULL,Wetland,Non_Water,Wetland,Grassland
396,Water,NULL,Wetland,Non_Water,Wetland,Wetland
397,Water,NULL,Wetland,Non_Water,Wetland,Forest
398,Water,NULL,Wetland,Water,NULL,Water
399,Water,NULL,Wetland,Water,Wetland,Wetland
400,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
401,Water,NULL,Built-up,NULL,Non_Wetland,Water
402,Water,NULL,Built-up,NULL,Non_Wetland,Forest
403,Water,NULL,Water,NULL,NULL,NULL
404,Water,NULL,Water,NULL,NULL,Water
405,Water,NULL,Water,NULL,Water,Wetland
406,Water,NULL,Water,NULL,Water,Forest
407,Water,NULL,Water,Non_Water,Water,Bareland
408,Water,NULL,Water,Water,NULL,Water
409,Water,NULL,Water,Water,Water,Wetland
410,Water,NULL,Water,Water,Water,Water
411,Water,NULL,Forest,NULL,Non_Wetland,NULL
412,Water,NULL,Forest,NULL,Non_Wetland,Grassland
413,Water,NULL,Forest,NULL,Non_Wetland,Wetland
414,Water,NULL,Forest,NULL,Non_Wetland,Built-up
415,Water,NULL,Forest,NULL,Non_Wetland,Forest
416,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
417,Water,Cropland,Forest,NULL,Non_Wetland,Forest
418,Water,Wetland,Wetland,NULL,Wetland,Wetland
419,Water,Bareland,Shrubland,NULL,Non_Wetland,Forest
420,Water,Bareland,Grassland,NULL,Non_Wetland,Forest
421,Water,Bareland,Cropland,NULL,Non_Wetland,Grassland
422,Water,Bareland,Cropland,NULL,Non_Wetland,Wetland
423,Water,Bareland,Wetland,NULL,Wetland,Forest
424,Water,Bareland,Wetland,Non_Water,Wetland,Water
425,Water,Bareland,Forest,NULL,Non_Wetland,Forest
426,Water,Built-up,NULL,NULL,Non_Wetland,Grassland
427,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
428,Water,Built-up,Shrubland,NULL,Non_Wetland,Wetland
429,Water,Built-up,Shrubland,NULL,Non_Wetland,Built-up
430,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
431,Water,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
432,Water,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
433,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
434,Water,Built-up,Grassland,NULL,Non_Wetland,Wetland
435,Water,Built-up,Grassland,NULL,Non_Wetland,Built-up
436,Water,Built-up,Grassland,NULL,Non_Wetland,Forest
437,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland
438,Water,Built-up,Cropland,NULL,Non_Wetland,Wetland
439,Water,Built-up,Cropland,NULL,Non_Wetland,Built-up
440,Water,Built-up,Cropland,NULL,Non_Wetland,Forest
441,Water,Built-up,Wetland,NULL,Wetland,Grassland
442,Water,Built-up,Wetland,NULL,Wetland,Wetland
443,Water,Built-up,Wetland,NULL,Wetland,Bareland
444,Water,Built-up,Wetland,NULL,Wetland,Built-up
445,Water,Built-up,Wetland,NULL,Wetland,Water
446,Water,Built-up,Wetland,NULL,Wetland,Forest
447,Water,Built-up,Wetland,Non_Water,Wetland,Wetland
448,Water,Built-up,Wetland,Non_Water,Wetland,Water
