Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
134,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
137,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
138,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
140,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
141,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
142,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
144,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
146,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
149,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
150,NULL,Water,Water,NULL,Water,NULL,NULL,Water
151,NULL,Water,Water,Water,Water,NULL,NULL,Water
152,NULL,Water,Water,Water,Water,NULL,Water,Water
153,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
155,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
156,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
157,NULL,Water,Forest,Water,Non_Wetland,NULL,Forest,Water
158,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
167,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
172,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
173,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
176,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
181,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
182,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
183,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
185,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
186,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
188,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
189,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
190,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
193,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
200,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
201,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
203,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
204,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
205,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
206,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
207,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
211,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
212,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
213,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
215,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
216,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
217,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
218,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
220,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
221,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
222,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
223,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
224,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
239,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
241,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
242,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
243,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
245,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
246,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
247,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
248,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
251,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
257,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
258,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
259,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
260,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
261,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
262,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
263,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
265,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
266,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
267,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
268,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
269,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
270,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
271,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
272,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
273,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
274,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
275,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
276,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
277,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
282,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
283,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Water
284,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
285,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
288,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
289,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
290,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
291,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
293,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
294,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
295,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
300,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
301,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
302,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
303,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
304,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
306,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
307,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
308,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
309,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
310,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
311,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
312,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
313,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
315,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
316,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
317,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
318,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
320,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
321,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
322,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
323,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
324,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
325,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
326,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
327,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
328,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
