Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNQ_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Forest
88,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Built-up,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
196,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
232,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
236,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
239,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
280,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
285,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
287,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
291,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Built-up,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
303,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
307,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
308,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
309,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
316,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Bareland
319,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Built-up
320,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Forest
321,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
324,NULL,NULL,Wetland,Non_Water,Wetland,Built-up,Built-up,Bareland
325,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
326,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
