Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
52,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
53,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
54,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
55,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
59,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
64,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
66,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
67,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
79,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
81,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
82,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
86,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
87,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
92,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
93,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
94,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
95,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
96,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
97,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
98,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
101,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
102,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
103,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
104,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
105,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
106,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
108,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
109,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
110,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
111,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Built-up
112,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
113,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
116,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
117,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
118,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
119,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
120,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
121,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
122,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
123,NULL,Water,Water,NULL,Water,Bareland,Water,Water
124,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
127,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
128,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
130,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
131,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
132,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
133,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
136,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
139,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
140,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
142,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
145,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
146,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
147,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
148,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
151,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
154,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
155,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
156,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
157,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
160,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
161,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
162,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
164,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
165,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
166,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
167,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
168,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
169,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
170,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
172,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
173,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
174,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
176,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
177,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
178,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
179,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
180,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
181,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
182,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
183,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
184,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
185,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
186,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
187,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
189,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
190,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
191,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
193,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
195,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
196,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
198,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
199,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
200,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
201,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
202,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
203,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
204,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
206,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
208,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
209,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
210,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
211,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
212,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
213,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
214,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
215,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
216,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
217,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Forest
218,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
219,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
220,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
221,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
222,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
223,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
224,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
225,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
226,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
227,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
228,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
229,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
230,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
231,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
232,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
233,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
234,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
235,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
236,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
237,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
238,Bareland,Water,Water,NULL,Water,Bareland,Water,Bareland
239,Bareland,Water,Water,Water,Water,Water,Water,Water
240,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
241,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
242,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
243,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
244,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
245,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
246,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
247,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
248,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
249,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
250,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
251,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
252,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
253,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
254,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
255,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
256,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
257,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
258,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
259,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
260,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
261,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
262,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
263,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
264,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
265,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
266,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
267,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
268,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
269,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
270,Water,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Water
271,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
272,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
273,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
274,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
275,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
276,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
277,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
278,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
279,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
280,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
281,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
282,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
283,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
284,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
285,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
286,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
287,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
288,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
289,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
290,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
291,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
292,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
293,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
294,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
295,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
296,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
297,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
298,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
299,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
300,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
301,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
302,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
303,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
304,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
305,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
306,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
307,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
308,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
309,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
310,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
311,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
312,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
313,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
314,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
315,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
316,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
317,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
318,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
319,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
320,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
321,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
322,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
323,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
324,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
325,Water,Water,Wetland,Water,Wetland,Water,Water,Water
326,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
327,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
328,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
329,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
330,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
331,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
332,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
333,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
334,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
