Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRP_M_R
185,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
188,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
189,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
190,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
191,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
192,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Wetland
193,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
194,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
195,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
196,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
197,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
198,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water
199,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
200,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
201,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Water
202,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
203,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
204,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
205,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
206,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
207,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
208,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
209,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
210,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland
211,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
212,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
213,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
214,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
215,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
216,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
217,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland
218,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland
219,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Water
220,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
221,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
222,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
223,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
224,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
225,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
226,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Built-up
227,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
228,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
229,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
230,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Bareland
231,NULL,Wetland,Water,NULL,Water,NULL,Grassland
232,NULL,Wetland,Water,NULL,Water,NULL,Bareland
233,NULL,Wetland,Water,NULL,Water,NULL,Water
234,NULL,Wetland,Water,NULL,Water,NULL,Forest
235,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
236,NULL,Wetland,Water,Non_Water,Water,NULL,Bareland
237,NULL,Wetland,Water,Water,Water,NULL,Grassland
238,NULL,Wetland,Water,Water,Water,NULL,Wetland
239,NULL,Wetland,Water,Water,Water,NULL,Bareland
240,NULL,Wetland,Water,Water,Water,NULL,Water
241,NULL,Wetland,Water,Water,Water,NULL,Forest
242,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
243,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
244,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
245,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
246,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
247,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
248,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
250,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
251,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
252,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
253,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
254,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
255,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
256,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL
257,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
260,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
261,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
262,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
263,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
264,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
265,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
266,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
267,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
268,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
269,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
270,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
271,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
272,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
273,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
274,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
275,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
276,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Bareland
277,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
278,NULL,Bareland,Wetland,NULL,Wetland,NULL,Wetland
279,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
280,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
281,NULL,Bareland,Water,NULL,Water,NULL,Bareland
282,NULL,Bareland,Water,NULL,Water,NULL,Water
283,NULL,Bareland,Water,NULL,Water,NULL,Forest
284,NULL,Bareland,Water,Non_Water,Water,NULL,Grassland
285,NULL,Bareland,Water,Non_Water,Water,NULL,Bareland
286,NULL,Bareland,Water,Non_Water,Water,NULL,Water
287,NULL,Bareland,Water,Water,Water,NULL,Grassland
288,NULL,Bareland,Water,Water,Water,NULL,Wetland
289,NULL,Bareland,Water,Water,Water,NULL,Bareland
290,NULL,Bareland,Water,Water,Water,NULL,Water
291,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
292,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
293,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
294,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
295,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Bareland
296,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
297,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
298,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
299,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
300,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
301,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Bareland
302,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Water
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
308,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
309,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
310,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
311,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
312,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
314,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
315,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water
316,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
317,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Bareland
318,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
319,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
320,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
321,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water
322,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
323,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland
324,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
325,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
326,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland
327,NULL,Built-up,Wetland,NULL,Wetland,NULL,Bareland
328,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water
329,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
330,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Wetland
331,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Water
332,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
333,NULL,Built-up,Wetland,Water,Wetland,NULL,Water
334,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
335,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
336,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
337,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
338,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
341,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
343,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
344,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
345,NULL,Built-up,Water,NULL,Water,NULL,Grassland
346,NULL,Built-up,Water,NULL,Water,NULL,Bareland
347,NULL,Built-up,Water,NULL,Water,NULL,Forest
348,NULL,Built-up,Water,Water,Water,NULL,NULL
349,NULL,Built-up,Water,Water,Water,NULL,Water
350,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL
351,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
352,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
353,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
354,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water
355,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
356,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
357,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
358,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Forest
359,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland
360,NULL,Water,NULL,NULL,Non_Wetland,NULL,Bareland
361,NULL,Water,NULL,NULL,Non_Wetland,NULL,Forest
362,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland
363,NULL,Water,NULL,Water,Non_Wetland,NULL,Bareland
364,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL
365,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
366,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
367,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
368,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Built-up
369,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
370,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
371,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
372,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
375,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Bareland
376,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
377,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
378,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
379,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
380,NULL,Water,Grassland,Water,Non_Wetland,NULL,Bareland
381,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
382,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
