Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCK_M_R
49,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
53,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Water
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
87,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Water
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Bareland
96,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
97,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
103,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
104,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
105,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
117,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
122,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
123,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
125,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Water
126,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
127,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
128,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
130,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Water
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
136,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
137,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
138,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
139,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
140,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
141,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
142,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
145,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
146,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
147,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Bareland
148,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
151,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
152,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
153,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
154,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
156,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
163,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
164,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
167,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Bareland
168,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
169,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Built-up,Water,Non_Wetland,Water,NULL,Water
172,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Water
173,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
174,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
175,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
176,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
177,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
178,NULL,NULL,Water,NULL,Water,Water,Water,Water
179,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
180,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Bareland
181,NULL,NULL,Water,Non_Water,Water,Water,Water,Bareland
182,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
183,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
184,NULL,NULL,Water,Water,Water,NULL,NULL,Water
185,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
186,NULL,NULL,Water,Water,Water,Grassland,Grassland,Forest
187,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
188,NULL,NULL,Water,Water,Water,Grassland,Water,Water
189,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
190,NULL,NULL,Water,Water,Water,Bareland,Water,Water
191,NULL,NULL,Water,Water,Water,Water,Grassland,Water
192,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
193,NULL,NULL,Water,Water,Water,Water,Bareland,Grassland
194,NULL,NULL,Water,Water,Water,Water,Water,Bareland
195,NULL,NULL,Water,Water,Water,Water,Water,Water
196,NULL,NULL,Water,Water,Water,Water,Water,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
200,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
206,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
210,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Bareland
232,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
233,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
245,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
246,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
251,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
252,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
254,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
255,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
256,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
259,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Forest
260,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
262,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Water
264,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
265,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Water
267,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Forest
268,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Water
269,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
270,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
271,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
277,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
278,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
280,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,Bareland,NULL,Water,Non_Wetland,Water,Water,Grassland
284,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
285,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
286,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
287,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
288,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
289,NULL,Bareland,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
290,NULL,Bareland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
291,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
292,NULL,Bareland,Grassland,Water,Non_Wetland,Water,Water,Bareland
293,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Forest
294,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
295,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
296,NULL,Bareland,Wetland,Water,Wetland,Water,Forest,Water
297,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
298,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
301,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
303,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
304,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
305,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
306,NULL,Bareland,Built-up,Water,Non_Wetland,Water,Wetland,Bareland
307,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
308,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
309,NULL,Bareland,Water,NULL,Water,Water,Water,Bareland
310,NULL,Bareland,Water,NULL,Water,Water,Water,Water
311,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
312,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
313,NULL,Bareland,Water,Non_Water,Water,Water,Wetland,Water
314,NULL,Bareland,Water,Non_Water,Water,Water,Water,Bareland
315,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
316,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
317,NULL,Bareland,Water,Water,Water,Grassland,Water,Grassland
318,NULL,Bareland,Water,Water,Water,Water,NULL,Water
319,NULL,Bareland,Water,Water,Water,Water,Water,Grassland
320,NULL,Bareland,Water,Water,Water,Water,Water,Bareland
321,NULL,Bareland,Water,Water,Water,Water,Water,Water
322,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
324,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Bareland,Forest,Water,Non_Wetland,Water,NULL,Water
326,NULL,Bareland,Forest,Water,Non_Wetland,Water,Grassland,Grassland
327,NULL,Bareland,Forest,Water,Non_Wetland,Water,Wetland,Bareland
328,NULL,Bareland,Forest,Water,Non_Wetland,Water,Water,Grassland
329,NULL,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
330,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
333,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
335,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
336,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
337,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
338,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
339,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
340,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
341,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
