Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNV_M_R
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
33,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
34,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
53,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
56,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
57,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
59,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
60,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
75,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
79,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
84,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
85,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
87,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
93,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
100,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
102,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
105,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
106,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
107,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
113,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
114,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
116,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
120,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
121,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
122,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
124,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
125,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
127,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
128,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
129,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
130,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
139,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
140,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
141,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
143,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
145,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
146,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
148,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
150,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
151,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
152,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
154,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
156,NULL,NULL,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
157,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
158,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
159,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
160,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
161,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
162,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
163,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
164,NULL,NULL,Water,Water,Water,Water,Wetland,Water
165,NULL,NULL,Water,Water,Water,Water,Water,Wetland
166,NULL,NULL,Water,Water,Water,Water,Water,Water
167,NULL,NULL,Water,Water,Water,Water,Water,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
183,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
189,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
192,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
196,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
198,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
200,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
201,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
203,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
205,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
208,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
211,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
213,NULL,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
214,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
215,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
216,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
217,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
218,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
219,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
220,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
221,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
222,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
223,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
224,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
225,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
226,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
227,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
228,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
229,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
230,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
231,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
232,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
233,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
234,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
235,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
236,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
237,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Forest
238,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
240,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
241,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
243,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
244,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Water
245,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
246,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
247,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
248,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
249,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
250,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
251,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
252,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
253,NULL,Wetland,Water,Water,Water,Water,Water,Water
254,NULL,Wetland,Water,Water,Water,Water,Water,Forest
255,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
257,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
258,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
259,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
260,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
261,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
262,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
265,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
266,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
267,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
269,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
271,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
273,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
274,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
276,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Water
277,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Forest
278,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Forest
279,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Forest
280,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
281,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Water,Grassland
283,NULL,Built-up,NULL,Water,Non_Wetland,Water,Water,Grassland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
307,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
308,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
310,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
311,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
313,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
314,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
315,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
316,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
317,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
318,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Water,Grassland
319,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
321,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
322,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Grassland
323,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Forest
324,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
325,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
326,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
327,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
328,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
329,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
330,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Grassland
331,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Water
332,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Water,Grassland
333,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
334,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
335,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
336,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
