Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
247,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
251,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
253,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
254,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
256,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
258,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
259,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
262,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
263,NULL,NULL,Grassland,Water,Non_Wetland,Water,Forest,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
272,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
274,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
275,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
280,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
283,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
306,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
307,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
311,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
313,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
318,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
324,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
326,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
327,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
328,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
329,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
330,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
331,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
332,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
