Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLK_M_R
1473,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1474,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1475,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1476,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
1477,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
1478,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
1479,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
1480,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1481,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1482,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1483,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1484,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1485,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1486,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1487,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1488,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1489,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1490,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
1491,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
1492,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1493,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
1494,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1495,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1496,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1497,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1498,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1499,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1500,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1501,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1502,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
1503,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
1504,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
1505,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
1506,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
1507,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
1508,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1509,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1510,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1511,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1512,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1513,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
1514,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1515,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1516,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1517,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1518,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1519,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1520,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1521,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
1522,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1523,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
1524,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1525,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
1526,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1527,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1528,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
1529,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1530,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
1531,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1532,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1533,NULL,Built-up,NULL,NULL,Non_Wetland,Water,NULL,Cropland
1534,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
1535,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1536,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1537,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1538,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1539,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1540,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1541,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1542,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1543,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
1544,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1545,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1546,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1547,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1548,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1549,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
1550,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1551,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1552,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1553,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
1554,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1555,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1556,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1557,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1558,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
1559,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1560,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1561,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1562,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1563,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1564,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1565,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1566,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1567,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1568,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
1569,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1570,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1571,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1572,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
1573,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1574,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1575,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1576,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1577,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1578,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1579,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1580,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1581,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1582,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1583,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1584,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1585,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1586,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1587,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1588,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1589,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
1590,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1591,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1592,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
1593,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1594,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
1595,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1596,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1597,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1598,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
1599,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1600,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1601,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
1602,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1603,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1604,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1605,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1606,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1607,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1608,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1609,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1610,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1611,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1612,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1613,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1614,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1615,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1616,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1617,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
1618,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1619,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1620,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1621,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
1622,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1623,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1624,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1625,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
1626,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1627,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
1628,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
1629,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1630,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
1631,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
1632,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1633,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1634,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1635,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1636,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1637,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1638,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
1639,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1640,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1641,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1642,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1643,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1644,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1645,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
1646,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
1647,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1648,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1649,NULL,Built-up,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
1650,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1651,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1652,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
1653,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1654,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1655,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
1656,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1657,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
1658,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1659,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1660,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1661,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1662,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1663,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1664,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1665,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
1666,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1667,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1668,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
1669,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1670,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1671,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1672,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1673,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1674,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1675,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1676,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
1677,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1678,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1679,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
1680,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1681,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,NULL
1682,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1683,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1684,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
1685,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1686,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1687,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
1688,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1689,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1690,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1691,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1692,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1693,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
1694,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1695,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
1696,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1697,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
1698,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
1699,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
1700,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1701,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
1702,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1703,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
1704,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1705,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1706,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1707,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1708,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1709,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1710,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1711,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1712,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1713,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
1714,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1715,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
1716,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1717,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1718,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1719,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1720,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1721,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1722,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1723,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1724,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1725,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1726,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1727,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1728,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1729,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1730,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1731,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1732,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1733,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
1734,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1735,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1736,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1737,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1738,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1739,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1740,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1741,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1742,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1743,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1744,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1745,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1746,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1747,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1748,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1749,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1750,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1751,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1752,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1753,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1754,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1755,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1756,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1757,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
1758,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1759,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
1760,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
1761,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
1762,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1763,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1764,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1765,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1766,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
1767,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
1768,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1769,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1770,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1771,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1772,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1773,NULL,Built-up,Wetland,NULL,Wetland,NULL,Water,Grassland
1774,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1775,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1776,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Water,Grassland
1777,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Water,Grassland
1778,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Grassland
1779,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Built-up
1780,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1781,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland,Cropland
1782,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland,Built-up
1783,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
