Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTA_M_R
2346,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2347,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2348,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2349,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2350,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2351,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2352,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
2353,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
2354,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
2355,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
2356,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
2357,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2358,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2359,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2360,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2361,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
2362,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2363,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2364,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2365,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2366,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2367,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2368,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2369,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2370,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2371,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2372,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
2373,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
2374,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2375,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2376,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
2377,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2378,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2379,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2380,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2381,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2382,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2383,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2384,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2385,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2386,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2387,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2388,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2389,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2390,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2391,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
2392,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2393,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
2394,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
2395,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
2396,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2397,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2398,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
2399,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2400,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2401,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2402,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
2403,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2404,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2405,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
2406,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
2407,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
2408,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
2409,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
2410,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2411,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2412,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2413,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2414,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2415,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
2416,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2417,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2418,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2419,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2420,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2421,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
2422,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2423,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2424,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
2425,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2426,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
2427,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
2428,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
2429,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
2430,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
2431,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
2432,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
2433,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
2434,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
2435,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2436,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
2437,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
2438,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2439,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2440,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2441,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2442,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2443,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
2444,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2445,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2446,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
2447,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2448,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
2449,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2450,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2451,NULL,Cropland,NULL,Water,Non_Wetland,Water,Shrubland,Water
2452,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2453,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2454,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2455,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2456,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2457,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2458,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2459,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2460,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2461,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2462,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2463,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2464,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2465,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2466,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
2467,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2468,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
2469,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
2470,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2471,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2472,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2473,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2474,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2475,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2476,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2477,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2478,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2479,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2480,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2481,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2482,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2483,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2484,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2485,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2486,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2487,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2488,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2489,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2490,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2491,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2492,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2493,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2494,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2495,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2496,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2497,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2498,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2499,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2500,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2501,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2502,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2503,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2504,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2505,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2506,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2507,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2508,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2509,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2510,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2511,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
2512,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2513,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
2514,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2515,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2516,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2517,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
2518,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2519,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
2520,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
2521,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2522,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2523,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2524,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2525,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2526,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2527,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
2528,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
2529,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2530,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
2531,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
2532,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2533,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2534,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2535,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2536,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2537,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2538,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2539,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2540,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2541,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2542,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2543,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2544,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2545,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2546,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2547,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2548,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2549,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2550,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
2551,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2552,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2553,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2554,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
2555,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2556,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2557,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
2558,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
2559,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
2560,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
2561,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
2562,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
2563,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2564,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2565,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
2566,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2567,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2568,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2569,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
2570,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2571,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2572,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2573,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
2574,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
2575,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
2576,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
2577,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2578,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2579,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2580,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
2581,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
2582,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2583,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2584,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2585,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
2586,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2587,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2588,NULL,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
2589,NULL,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Water
2590,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2591,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
2592,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2593,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2594,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2595,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
2596,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2597,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
2598,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2599,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2600,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2601,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
2602,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2603,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2604,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
2605,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
2606,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2607,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
2608,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
2609,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Cropland
2610,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
2611,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
2612,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
2613,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2614,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2615,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
2616,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2617,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2618,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2619,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2620,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2621,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2622,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2623,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2624,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2625,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2626,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2627,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2628,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2629,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2630,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2631,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2632,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2633,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2634,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2635,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2636,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
2637,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2638,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Cropland
2639,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
2640,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2641,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2642,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2643,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2644,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2645,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2646,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2647,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2648,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2649,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2650,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2651,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2652,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2653,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
2654,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2655,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2656,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
2657,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
2658,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2659,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
