Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
312,Water,Bareland,Wetland,NULL,Wetland,Forest
313,Water,Bareland,Wetland,Non_Water,Wetland,Grassland
314,Water,Bareland,Wetland,Non_Water,Wetland,Water
315,Water,Bareland,Wetland,Non_Water,Wetland,Forest
316,Water,Bareland,Wetland,Water,Wetland,Grassland
317,Water,Bareland,Wetland,Water,Wetland,Water
318,Water,Bareland,Wetland,Water,Wetland,Forest
319,Water,Bareland,Bareland,Non_Water,Non_Wetland,Forest
320,Water,Bareland,Bareland,Water,Non_Wetland,Water
321,Water,Bareland,Water,NULL,Water,Water
322,Water,Bareland,Water,NULL,Water,Forest
323,Water,Bareland,Water,Non_Water,Water,Grassland
324,Water,Bareland,Water,Non_Water,Water,Water
325,Water,Bareland,Water,Non_Water,Water,Forest
326,Water,Bareland,Water,Water,Water,Grassland
327,Water,Bareland,Water,Water,Water,Water
328,Water,Bareland,Water,Water,Water,Forest
329,Water,Bareland,Forest,NULL,Non_Wetland,Water
330,Water,Bareland,Forest,NULL,Non_Wetland,Forest
331,Water,Bareland,Forest,Non_Water,Non_Wetland,Grassland
332,Water,Bareland,Forest,Non_Water,Non_Wetland,Water
333,Water,Bareland,Forest,Non_Water,Non_Wetland,Forest
334,Water,Bareland,Forest,Water,Non_Wetland,Grassland
335,Water,Bareland,Forest,Water,Non_Wetland,Water
336,Water,Bareland,Forest,Water,Non_Wetland,Forest
337,Water,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
338,Water,Built-up,Wetland,Water,Wetland,Water
339,Water,Built-up,Wetland,Water,Wetland,Forest
340,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
341,Water,Built-up,Water,Non_Water,Water,Water
342,Water,Built-up,Water,Water,Water,Water
343,Water,Built-up,Water,Water,Water,Forest
344,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
345,Water,Built-up,Forest,NULL,Non_Wetland,Forest
346,Water,Water,NULL,NULL,Non_Wetland,Water
347,Water,Water,NULL,NULL,Non_Wetland,Forest
348,Water,Water,NULL,Non_Water,Non_Wetland,Water
349,Water,Water,NULL,Non_Water,Non_Wetland,Forest
350,Water,Water,NULL,Water,Non_Wetland,Grassland
351,Water,Water,NULL,Water,Non_Wetland,Water
352,Water,Water,NULL,Water,Non_Wetland,Forest
353,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
354,Water,Water,Shrubland,NULL,Non_Wetland,Water
355,Water,Water,Shrubland,NULL,Non_Wetland,Forest
356,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
357,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
358,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
359,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
360,Water,Water,Shrubland,Water,Non_Wetland,Grassland
361,Water,Water,Shrubland,Water,Non_Wetland,Water
362,Water,Water,Shrubland,Water,Non_Wetland,Forest
363,Water,Water,Grassland,NULL,Non_Wetland,Grassland
364,Water,Water,Grassland,NULL,Non_Wetland,Built-up
365,Water,Water,Grassland,NULL,Non_Wetland,Water
366,Water,Water,Grassland,NULL,Non_Wetland,Forest
367,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
368,Water,Water,Grassland,Non_Water,Non_Wetland,Water
369,Water,Water,Grassland,Non_Water,Non_Wetland,Forest
370,Water,Water,Grassland,Water,Non_Wetland,Water
371,Water,Water,Grassland,Water,Non_Wetland,Forest
372,Water,Water,Cropland,NULL,Non_Wetland,Grassland
373,Water,Water,Cropland,NULL,Non_Wetland,Water
374,Water,Water,Cropland,NULL,Non_Wetland,Forest
375,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
376,Water,Water,Cropland,Non_Water,Non_Wetland,Water
377,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
378,Water,Water,Cropland,Water,Non_Wetland,Grassland
379,Water,Water,Cropland,Water,Non_Wetland,Water
380,Water,Water,Cropland,Water,Non_Wetland,Forest
381,Water,Water,Wetland,NULL,Wetland,Grassland
382,Water,Water,Wetland,NULL,Wetland,Bareland
383,Water,Water,Wetland,NULL,Wetland,Water
384,Water,Water,Wetland,NULL,Wetland,Forest
385,Water,Water,Wetland,Non_Water,Wetland,Grassland
386,Water,Water,Wetland,Non_Water,Wetland,Bareland
387,Water,Water,Wetland,Non_Water,Wetland,Water
388,Water,Water,Wetland,Non_Water,Wetland,Forest
389,Water,Water,Wetland,Water,Wetland,Grassland
390,Water,Water,Wetland,Water,Wetland,Bareland
391,Water,Water,Wetland,Water,Wetland,Water
392,Water,Water,Wetland,Water,Wetland,Forest
393,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
394,Water,Water,Bareland,NULL,Non_Wetland,Water
395,Water,Water,Bareland,NULL,Non_Wetland,Forest
396,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
397,Water,Water,Bareland,Non_Water,Non_Wetland,Water
398,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
399,Water,Water,Bareland,Water,Non_Wetland,Grassland
400,Water,Water,Bareland,Water,Non_Wetland,Water
401,Water,Water,Bareland,Water,Non_Wetland,Forest
402,Water,Water,Built-up,NULL,Non_Wetland,Grassland
403,Water,Water,Built-up,NULL,Non_Wetland,Built-up
404,Water,Water,Built-up,NULL,Non_Wetland,Forest
405,Water,Water,Built-up,Non_Water,Non_Wetland,Water
406,Water,Water,Built-up,Non_Water,Non_Wetland,Forest
407,Water,Water,Built-up,Water,Non_Wetland,Water
408,Water,Water,Built-up,Water,Non_Wetland,Forest
409,Water,Water,Water,NULL,Water,Grassland
410,Water,Water,Water,NULL,Water,Bareland
411,Water,Water,Water,NULL,Water,Water
412,Water,Water,Water,NULL,Water,Forest
413,Water,Water,Water,Non_Water,Water,Grassland
414,Water,Water,Water,Non_Water,Water,Bareland
415,Water,Water,Water,Non_Water,Water,Water
416,Water,Water,Water,Non_Water,Water,Forest
417,Water,Water,Water,Water,Water,Grassland
418,Water,Water,Water,Water,Water,Wetland
419,Water,Water,Water,Water,Water,Bareland
420,Water,Water,Water,Water,Water,Water
421,Water,Water,Water,Water,Water,Forest
422,Water,Water,Forest,NULL,Non_Wetland,NULL
