Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLQ_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Forest
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Water
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Cropland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
324,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
