Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFT_M_R
29,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
43,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
44,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
45,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
68,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
70,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
71,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
79,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
80,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
87,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
88,NULL,Built-up,Water,Water,Water,NULL,NULL,Cropland
89,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
90,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
91,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
95,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
96,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
97,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
99,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
101,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
102,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
103,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
105,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
107,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
109,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
111,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
112,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
113,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
115,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
124,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
128,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
129,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
130,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
131,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
133,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
135,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
136,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
137,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
138,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
139,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
140,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
141,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
142,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
143,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
144,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
145,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
146,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
147,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
148,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
149,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
150,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
151,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
152,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
153,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
154,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
155,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
156,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
159,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
160,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
161,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
162,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
163,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
165,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
166,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
167,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
168,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
172,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
173,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
174,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
176,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
179,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
182,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
184,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
185,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
189,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
190,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
191,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
192,Wetland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
194,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
195,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
196,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
197,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
199,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
200,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
201,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
204,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
205,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
207,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
209,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
210,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
211,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
212,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
213,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
217,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
218,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
219,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
220,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
221,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
222,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
223,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
224,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
225,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
226,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
227,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
228,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
229,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
230,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
231,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
232,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
233,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
234,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
235,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
236,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
237,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
238,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
239,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
240,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
241,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
242,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
243,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
244,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
246,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
247,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
248,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
249,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
250,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
251,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
252,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
253,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
254,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
255,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
256,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
257,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
258,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
261,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
262,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
263,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
264,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
265,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
266,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
267,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
268,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
269,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
270,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
271,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
272,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
273,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
275,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
278,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
279,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
280,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
282,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
283,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
285,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
288,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
290,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
291,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
293,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
294,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
295,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
297,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
298,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
301,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
302,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
304,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
306,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
307,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
308,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
310,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Wetland
311,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
312,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Built-up
313,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
314,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
315,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
316,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
317,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
318,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
319,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
320,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
321,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Built-up
322,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
323,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
324,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
325,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
327,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
