Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLR_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
137,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
138,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
267,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Bareland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
278,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
279,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Built-up,Bareland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
281,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
