Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
55,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
73,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
74,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
75,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
76,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
77,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
78,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
79,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
80,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
81,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
82,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
83,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
84,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
85,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
86,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
104,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
107,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
108,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
109,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
114,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
115,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
116,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
117,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
118,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
119,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
120,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
121,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
122,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
123,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
124,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
125,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
126,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
127,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
128,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
129,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
130,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
131,NULL,NULL,Water,Water,Water,Wetland,Water,Water
132,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
133,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
134,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
135,NULL,NULL,Water,Water,Water,Water,Wetland,Water
136,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
137,NULL,NULL,Water,Water,Water,Water,Water,Grassland
138,NULL,NULL,Water,Water,Water,Water,Water,Wetland
139,NULL,NULL,Water,Water,Water,Water,Water,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
158,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
159,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
161,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
164,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
165,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
169,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
173,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
175,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
176,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
178,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
180,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
182,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
184,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
185,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
186,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
187,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
188,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
189,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
191,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
192,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
193,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
194,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
195,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
196,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
197,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
198,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
199,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
201,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
202,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
203,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
204,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
205,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
206,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
207,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
208,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
209,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
210,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
211,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
212,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
213,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
214,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
215,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
216,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
217,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
218,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
219,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Grassland
220,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
221,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
222,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
223,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
224,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
225,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
226,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Forest
227,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
231,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
236,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
237,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
239,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
240,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
241,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
242,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
244,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
245,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
246,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
248,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
249,NULL,Wetland,Water,NULL,Water,Water,Wetland,Water
250,NULL,Wetland,Water,NULL,Water,Water,Wetland,Forest
251,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
252,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
253,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
254,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
255,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
256,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
257,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
258,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
259,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
260,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
261,NULL,Wetland,Water,Water,Water,Wetland,Water,Forest
262,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
263,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
264,NULL,Wetland,Water,Water,Water,Water,Wetland,Forest
265,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
266,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
267,NULL,Wetland,Water,Water,Water,Water,Water,Water
268,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
270,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
273,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
275,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
277,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
278,NULL,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
279,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
281,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
282,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
283,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
284,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
285,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
286,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
287,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
288,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
289,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
290,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Built-up,Water
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Water
313,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
316,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
317,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
318,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Water
319,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
320,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Bareland
321,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
322,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
323,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Water
324,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Grassland
325,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Water
326,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
327,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
328,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
330,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
331,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
332,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
333,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
334,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
335,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
336,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
337,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
338,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
339,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
