Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCN_M_R
1315,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1316,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1317,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1318,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1319,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1320,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1321,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1322,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1323,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1324,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1325,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1326,NULL,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
1327,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
1328,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1329,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1330,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1331,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1332,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1333,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1334,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1335,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1336,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1337,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1338,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1339,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1340,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1341,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1342,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
1343,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1344,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1345,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1346,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1347,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1348,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1349,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1350,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
1351,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
1352,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1353,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1354,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1355,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1356,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1357,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Forest
1358,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
1359,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1360,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1361,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1362,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
1363,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1364,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
1365,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
1366,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1367,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1368,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1369,NULL,Wetland,Wetland,NULL,Wetland,Wetland,NULL,Forest
1370,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1371,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1372,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1373,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1374,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1375,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
1376,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1377,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1378,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1379,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1380,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1381,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1382,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1383,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
1384,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
1385,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Wetland
1386,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
1387,NULL,Wetland,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
1388,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1389,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1390,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1391,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1392,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1393,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1394,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1395,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1396,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1397,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1398,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1399,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
1400,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1401,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
1402,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1403,NULL,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
1404,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1405,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1406,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
1407,NULL,Wetland,Wetland,Water,Wetland,Cropland,Wetland,Grassland
1408,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1409,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1410,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
1411,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1412,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1413,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1414,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1415,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
1416,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
1417,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
1418,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
1419,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
1420,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1421,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1422,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
1423,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Forest
1424,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1425,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
1426,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1427,NULL,Wetland,Water,NULL,Water,Water,Wetland,Grassland
1428,NULL,Wetland,Water,NULL,Water,Water,Wetland,Wetland
1429,NULL,Wetland,Water,NULL,Water,Water,Wetland,Forest
1430,NULL,Wetland,Water,NULL,Water,Water,Water,Wetland
1431,NULL,Wetland,Water,Non_Water,Water,Grassland,Wetland,Grassland
1432,NULL,Wetland,Water,Non_Water,Water,Cropland,Wetland,Grassland
1433,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
1434,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
1435,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
1436,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Wetland
1437,NULL,Wetland,Water,Non_Water,Water,Water,Water,Wetland
1438,NULL,Wetland,Water,Non_Water,Water,Water,Water,Water
1439,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
1440,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Water
1441,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
1442,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
1443,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
1444,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
1445,NULL,Wetland,Water,Water,Water,Water,Wetland,Water
1446,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
1447,NULL,Wetland,Water,Water,Water,Water,Water,Water
1448,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1449,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1450,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1451,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1452,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1453,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1454,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1455,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1456,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1457,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1458,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1459,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1460,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1461,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1462,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1463,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1464,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1465,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1466,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1467,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1468,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1469,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1470,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1471,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1472,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1473,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1474,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1475,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
1476,NULL,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
1477,NULL,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
1478,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1479,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1480,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1481,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1482,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1483,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1484,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1485,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1486,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1487,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1488,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
1489,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1490,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1491,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1492,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1493,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1494,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1495,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1496,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
1497,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
1498,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1499,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1500,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1501,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1502,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1503,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1504,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1505,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1506,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1507,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1508,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1509,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1510,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1511,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1512,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
1513,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1514,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
1515,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1516,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1517,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1518,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1519,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1520,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1521,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1522,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1523,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1524,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1525,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1526,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1527,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1528,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1529,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1530,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1531,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1532,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1533,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1534,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1535,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1536,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1537,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1538,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
1539,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1540,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1541,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1542,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1543,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
1544,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1545,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1546,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1547,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
1548,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1549,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1550,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
1551,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1552,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1553,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1554,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1555,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1556,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1557,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1558,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1559,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1560,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1561,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1562,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1563,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1564,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1565,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1566,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1567,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
1568,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
1569,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
1570,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1571,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1572,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1573,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1574,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1575,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1576,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1577,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1578,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1579,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1580,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1581,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1582,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Cropland
1583,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
1584,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
1585,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1586,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1587,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Bareland
1588,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1589,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1590,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1591,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1592,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1593,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1594,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1595,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1596,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1597,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1598,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
1599,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1600,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1601,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1602,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1603,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1604,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1605,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1606,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1607,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1608,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1609,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1610,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1611,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1612,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1613,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1614,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1615,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1616,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1617,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1618,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1619,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1620,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1621,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1622,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
1623,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1624,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1625,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1626,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1627,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
1628,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1629,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
1630,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1631,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1632,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1633,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1634,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1635,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
1636,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1637,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1638,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1639,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
