Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCG_M_R
797,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
798,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
799,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
800,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
801,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
802,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
803,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
804,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
805,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
806,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
807,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
808,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
809,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
810,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
811,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
812,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
813,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
814,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
815,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
816,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
817,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
818,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
819,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
820,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
821,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
822,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
823,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
824,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
825,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
826,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
827,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
828,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
829,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
830,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
831,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
832,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
833,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
834,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
835,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
836,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
837,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
838,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
839,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
840,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
841,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
842,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
843,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
844,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
845,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
846,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
847,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
848,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
849,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
850,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
851,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
852,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
853,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
854,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
855,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
856,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
857,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
858,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
859,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
860,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
861,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
862,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
863,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
864,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
865,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
866,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
867,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
868,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
869,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
870,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
871,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
872,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
873,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
874,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
875,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
876,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
877,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
878,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
879,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
880,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
881,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
882,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
883,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
884,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
885,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
886,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
887,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
888,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
889,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
890,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
891,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
892,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
893,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
894,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
895,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
896,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
897,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
898,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
899,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
900,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
901,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
902,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
903,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
904,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
905,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
906,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
907,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
908,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
909,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
910,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
911,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
912,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
913,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
914,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
915,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
916,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
917,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
918,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
919,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
920,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
921,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
922,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
923,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
924,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
925,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
926,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
927,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
928,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
929,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
930,Cropland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
931,Cropland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
932,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
933,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
934,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
935,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
936,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
937,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
938,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
939,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
940,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
941,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
942,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
943,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
944,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
945,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
946,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
947,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
948,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
949,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
950,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
951,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
952,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
953,Cropland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
954,Cropland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
955,Cropland,Wetland,Water,NULL,Water,NULL,NULL,Forest
956,Cropland,Wetland,Water,Water,Water,NULL,NULL,Bareland
957,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
958,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
959,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
960,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
961,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
962,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
963,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
964,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
965,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
966,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
967,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
968,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
969,Cropland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
970,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
971,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
972,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
973,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
974,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
975,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
976,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
977,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
978,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
979,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
980,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
981,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
982,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
983,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
984,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
985,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
986,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
987,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
988,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
989,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
990,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
991,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
992,Cropland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
993,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
994,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
995,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
996,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
997,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
998,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
999,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1000,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1001,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1002,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1003,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
1004,Cropland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
1005,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1006,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1007,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
1008,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1009,Cropland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1010,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1011,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1012,Cropland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
1013,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1014,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1015,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1016,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1017,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1018,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1019,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1020,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1021,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1022,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1023,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1024,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1025,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1026,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1027,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1028,Cropland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1029,Cropland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1030,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1031,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1032,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1033,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1034,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1035,Cropland,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1036,Cropland,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1037,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
1038,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
1039,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
1040,Cropland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1041,Cropland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1042,Cropland,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
1043,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
1044,Cropland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
1045,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1046,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1047,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1048,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1049,Cropland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1050,Cropland,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1051,Cropland,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1052,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1053,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1054,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1055,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1056,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
1057,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Bareland
1058,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Forest
1059,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1060,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1061,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
1062,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1063,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1064,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1065,Cropland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1066,Cropland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1067,Cropland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
1068,Cropland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
1069,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1070,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1071,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
1072,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1073,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1074,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1075,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1076,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
1077,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
1078,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1079,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1080,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1081,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1082,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1083,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1084,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1085,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1086,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1087,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1088,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1089,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1090,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1091,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1092,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1093,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1094,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1095,Cropland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1096,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1097,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1098,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
1099,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1100,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1101,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
1102,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1103,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
1104,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
1105,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1106,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
1107,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1108,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1109,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1110,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1111,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1112,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1113,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
1114,Cropland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1115,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1116,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1117,Cropland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1118,Cropland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1119,Cropland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
1120,Cropland,Water,Water,NULL,Water,NULL,NULL,Bareland
1121,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
1122,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
1123,Cropland,Water,Water,Water,Water,NULL,NULL,Bareland
1124,Cropland,Water,Water,Water,Water,NULL,NULL,Water
1125,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
1126,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1127,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1128,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1129,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1130,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1131,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1132,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1133,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
