Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
120,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
122,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
128,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
158,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
159,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Wetland
161,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
169,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
170,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
173,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
176,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
178,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
180,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
182,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
185,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
186,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
189,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
190,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
195,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
196,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
197,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
198,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
218,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
231,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
233,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
235,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
238,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
239,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
241,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
242,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
243,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
244,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
245,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
248,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
249,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
251,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
252,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
254,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
255,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
256,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
257,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
260,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
261,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
262,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
263,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Forest
265,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
266,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
268,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
271,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
272,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
273,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
274,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
275,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
276,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
277,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
279,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
281,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
282,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
284,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
286,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
287,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
290,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
294,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
295,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
296,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
297,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
298,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
300,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
301,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
302,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
306,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
307,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Wetland
308,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
309,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
311,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
313,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Wetland
316,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
317,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
318,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
319,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
321,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
322,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
323,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
325,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Forest
327,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Forest
328,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
330,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
331,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
332,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
