Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
44,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
47,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
52,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
53,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
68,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
69,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
70,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
71,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
72,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
73,NULL,NULL,Water,Water,Water,Water,Wetland,Water
74,NULL,NULL,Water,Water,Water,Water,Water,Water
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
91,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
92,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
95,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
98,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
102,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
103,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
104,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
105,NULL,Wetland,Water,NULL,Water,Water,Bareland,Grassland
106,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
107,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
108,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
109,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
117,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
118,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
119,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
131,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
132,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Water,Forest
134,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
135,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Water
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
147,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
149,NULL,Built-up,Water,NULL,Water,Wetland,Bareland,Grassland
150,NULL,Built-up,Water,NULL,Water,Water,Wetland,Grassland
151,NULL,Built-up,Water,NULL,Water,Water,Bareland,Grassland
152,NULL,Built-up,Water,Water,Water,Water,Bareland,Grassland
153,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
155,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
156,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
158,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
159,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
160,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
162,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
163,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Wetland,Water
166,NULL,Built-up,Forest,Water,Non_Wetland,Water,Wetland,Water
167,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
168,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Water
169,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
170,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
171,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
172,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
175,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
176,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
177,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
178,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
179,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
180,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
181,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
182,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
183,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
184,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
185,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
186,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
187,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
188,NULL,Water,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
189,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
190,NULL,Water,Water,NULL,Water,Water,Water,Grassland
191,NULL,Water,Water,Water,Water,Grassland,Wetland,Grassland
192,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
193,NULL,Water,Water,Water,Water,Water,Wetland,Water
194,NULL,Water,Water,Water,Water,Water,Water,Grassland
195,NULL,Water,Water,Water,Water,Water,Water,Water
196,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
198,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
199,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
201,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
203,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
205,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
206,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
208,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
209,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
210,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
211,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
212,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
213,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
216,NULL,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
217,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
218,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
219,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Forest
220,NULL,Forest,Water,NULL,Water,Water,Wetland,Grassland
221,NULL,Forest,Water,Water,Water,Water,Water,Water
222,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
224,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
225,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
226,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
227,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
229,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
230,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
232,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
233,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
234,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
235,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
236,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
237,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
238,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
239,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
240,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
241,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
242,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
243,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
244,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
245,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
246,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
247,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
248,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
249,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
250,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
252,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
253,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
254,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
256,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
257,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
258,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
259,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
260,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
261,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
263,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
264,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
265,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
266,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
267,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
268,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
269,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
270,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
271,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
273,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
275,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
277,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
278,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
279,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
280,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
281,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
282,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
283,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
284,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
285,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
287,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
288,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
289,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
290,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
291,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
292,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
293,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
294,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
295,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
296,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
297,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
298,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
299,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
300,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
301,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
302,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
303,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
304,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
305,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
306,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
307,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
308,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
309,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
310,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
311,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
312,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
313,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
314,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
315,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
316,Grassland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
317,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
318,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
319,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
320,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
321,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
323,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
324,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
325,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
326,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
327,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
328,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
329,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
330,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
331,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
332,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
333,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
334,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
335,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
336,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
337,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
