Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMG_M_R
4314,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
4315,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4316,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4317,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4318,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
4319,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
4320,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
4321,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
4322,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
4323,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
4324,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
4325,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
4326,NULL,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4327,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4328,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Shrubland,Forest
4330,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
4331,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4332,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4333,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
4334,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4335,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
4336,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
4337,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
4338,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
4339,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
4340,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4341,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
4342,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
4343,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
4344,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
4345,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4346,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4347,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4348,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4349,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
4350,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4351,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
4352,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
4353,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Wetland,NULL
4354,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
4355,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
4356,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
4357,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
4358,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
4359,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
4360,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
4361,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
4362,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4363,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4364,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
4365,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
4366,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
4367,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
4368,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4369,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
4370,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
4371,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
4372,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
4373,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland,Shrubland,Built-up
4374,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Shrubland,Forest
4375,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
4376,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4377,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
4378,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4379,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
4380,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4381,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
4382,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
4383,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
4384,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
4385,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
4386,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4387,NULL,Forest,Water,NULL,Water,NULL,Shrubland,Forest
4388,NULL,Forest,Water,NULL,Water,NULL,Bareland,Grassland
4389,NULL,Forest,Water,NULL,Water,Shrubland,Shrubland,NULL
4390,NULL,Forest,Water,NULL,Water,Shrubland,Wetland,Wetland
4391,NULL,Forest,Water,NULL,Water,Wetland,Shrubland,Grassland
4392,NULL,Forest,Water,NULL,Water,Wetland,Shrubland,Water
4393,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Wetland
4394,NULL,Forest,Water,NULL,Water,Wetland,Forest,Wetland
4395,NULL,Forest,Water,NULL,Water,Forest,Shrubland,Water
4396,NULL,Forest,Water,Non_Water,Water,Shrubland,Wetland,Water
4397,NULL,Forest,Water,Water,Water,Forest,Wetland,Water
4398,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4399,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4400,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4401,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4402,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4403,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
4404,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4405,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4406,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4407,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4408,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4409,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
4410,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
4411,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
4412,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
4413,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
4414,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4415,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4416,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4417,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4418,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
4419,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4420,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4421,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4422,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4423,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4424,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4425,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4426,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4427,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
4428,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4429,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
4430,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
4431,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
4432,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4433,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
4434,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
4435,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
4436,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4437,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
4438,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4439,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4440,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4441,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4442,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4443,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4444,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4445,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4446,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
4447,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4448,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4449,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4450,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4451,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4452,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
4453,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
4454,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
4455,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
4456,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4457,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
4458,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
4459,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4460,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
4461,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4462,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
4463,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
4464,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
4465,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
4466,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
4467,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
4468,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
4469,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
4470,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
4471,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4472,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4473,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4474,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
4475,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4476,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4477,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
4478,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
4479,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
4480,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
4481,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
4482,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
4483,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
4484,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
4485,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
4486,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
4487,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
4488,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
4489,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,NULL
4490,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
4491,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4492,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
4493,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
4494,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
4495,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
4496,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
4497,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
4498,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4499,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4500,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4501,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4502,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
4503,NULL,Forest,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
4504,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4505,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4506,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4507,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4508,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4509,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
4510,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4511,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
4512,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
4513,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
4514,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
4515,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4516,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
4517,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4518,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4519,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
4520,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4521,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
4522,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
4523,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
4524,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
4525,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
4526,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
4527,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
4528,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4529,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4530,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
4531,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4532,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
4533,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4534,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4535,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4536,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4537,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
4538,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4539,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4540,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4541,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4542,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4543,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
4544,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4545,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
4546,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
4547,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4548,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
4549,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
4550,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
4551,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
4552,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4553,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4554,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4555,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4556,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4557,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4558,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4559,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4560,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4561,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4562,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4563,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4564,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4565,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
4566,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4567,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
4568,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
4569,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
4570,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
4571,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
4572,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
4573,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
4574,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
4575,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4576,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
4577,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
4578,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4579,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4580,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
4581,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4582,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4583,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4584,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
4585,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4586,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4587,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4588,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4589,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
4590,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
4591,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
4592,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
4593,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4594,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
4595,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4596,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
4597,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
4598,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4599,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4600,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
4601,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Forest,Cropland
4602,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4603,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4604,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4605,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4606,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4607,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4608,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4609,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4610,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
4611,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4612,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4613,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4614,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4615,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
4616,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4617,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
4618,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4619,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
4620,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
4621,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4622,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
4623,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
4624,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
4625,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
4626,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4627,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4628,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4629,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4630,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4631,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4632,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4633,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4634,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
4635,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
4636,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4637,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
