Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
107,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Forest,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
111,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
168,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
183,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Grassland
185,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Forest,Grassland
186,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Bareland
187,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
189,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
200,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
212,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
216,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
229,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
231,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
233,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
235,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
237,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
239,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
242,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
245,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
247,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
248,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
253,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
257,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
259,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
261,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
262,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
266,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
268,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
271,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
274,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
275,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Forest,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
278,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
279,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Bareland
281,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
282,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Wetland,Water,Wetland,Cropland,Grassland,Grassland
284,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Bareland
286,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
287,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
288,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
293,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
294,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
318,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
320,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
321,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
322,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
323,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
324,NULL,NULL,Water,Water,Water,Bareland,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
