Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R
29,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Water
31,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
32,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
33,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
34,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
35,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
36,NULL,Water,Forest,Water,Non_Wetland,Wetland,NULL,Water
37,NULL,Water,Forest,Water,Non_Wetland,Forest,NULL,Water
38,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
43,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
44,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
45,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
46,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
47,NULL,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
48,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
49,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
52,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
53,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
54,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
55,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
56,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
57,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
58,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
59,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
60,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
61,Grassland,Forest,Water,NULL,Water,Water,Wetland,Forest
62,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
63,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
64,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
65,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
66,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
67,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
68,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
69,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
70,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
71,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
72,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
74,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
75,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
77,Cropland,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
78,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
79,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,Cropland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
81,Cropland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
82,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
83,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
85,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
86,Cropland,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
87,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
88,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
89,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
90,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
91,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
92,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
93,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
94,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
95,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
97,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
98,Bareland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
99,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
100,Bareland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
101,Bareland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
102,Bareland,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
103,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
104,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
105,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
106,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
107,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
108,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
109,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
110,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,Water,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
113,Water,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
114,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Water
117,Water,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
118,Water,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
119,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
120,Water,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
121,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
122,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
123,Water,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
124,Water,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
125,Water,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
126,Water,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
127,Water,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
128,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
129,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Water
130,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
131,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
132,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
133,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
134,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
135,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,Forest
136,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
137,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
138,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
139,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
140,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
141,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
142,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
143,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
144,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
145,Water,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
146,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
147,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
148,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Water
149,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
150,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
151,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
152,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
153,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
154,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
155,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
156,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Bareland
157,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
158,Water,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
159,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
160,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
161,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
162,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
163,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
164,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
165,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
166,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
167,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
168,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
169,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
170,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Water
171,Water,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
172,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Water
173,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
174,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
175,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
176,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
177,Water,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
178,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
179,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
180,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
181,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
182,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
183,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
184,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
185,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
186,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
187,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
188,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
189,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
190,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
191,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Water
192,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Forest
193,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
194,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
195,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
196,Water,Water,Wetland,Water,Wetland,Water,Water,Water
197,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
198,Water,Water,Water,NULL,Water,NULL,NULL,Water
199,Water,Water,Water,NULL,Water,NULL,NULL,Forest
200,Water,Water,Water,NULL,Water,Wetland,NULL,Water
201,Water,Water,Water,NULL,Water,Wetland,NULL,Forest
202,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
203,Water,Water,Water,NULL,Water,Wetland,Forest,Water
204,Water,Water,Water,NULL,Water,Wetland,Forest,Forest
205,Water,Water,Water,NULL,Water,Water,Wetland,Water
206,Water,Water,Water,NULL,Water,Water,Wetland,Forest
207,Water,Water,Water,NULL,Water,Water,Water,Water
208,Water,Water,Water,NULL,Water,Water,Water,Forest
209,Water,Water,Water,Non_Water,Water,Wetland,NULL,Water
210,Water,Water,Water,Non_Water,Water,Wetland,NULL,Forest
211,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
212,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
213,Water,Water,Water,Non_Water,Water,Water,Water,Water
214,Water,Water,Water,Non_Water,Water,Water,Water,Forest
215,Water,Water,Water,Non_Water,Water,Water,Forest,Water
216,Water,Water,Water,Water,Water,NULL,Wetland,Forest
217,Water,Water,Water,Water,Water,Wetland,NULL,Water
218,Water,Water,Water,Water,Water,Wetland,NULL,Forest
219,Water,Water,Water,Water,Water,Wetland,Water,Water
220,Water,Water,Water,Water,Water,Wetland,Forest,Water
221,Water,Water,Water,Water,Water,Water,Wetland,Water
222,Water,Water,Water,Water,Water,Water,Wetland,Forest
223,Water,Water,Water,Water,Water,Water,Water,Grassland
224,Water,Water,Water,Water,Water,Water,Water,Bareland
225,Water,Water,Water,Water,Water,Water,Water,Water
226,Water,Water,Water,Water,Water,Water,Water,Forest
227,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
230,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
231,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
232,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
233,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
234,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Bareland
235,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Water
236,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
237,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
238,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
239,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
240,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
241,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
242,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
243,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
244,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
245,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
246,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Water
247,Water,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
248,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
249,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
250,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
251,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
252,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
253,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Bareland
254,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
255,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
256,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
257,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
258,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
259,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
260,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
261,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
262,Water,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
263,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
264,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
265,Water,Water,Forest,Water,Non_Wetland,Wetland,NULL,Water
266,Water,Water,Forest,Water,Non_Wetland,Wetland,NULL,Forest
267,Water,Water,Forest,Water,Non_Wetland,Wetland,Forest,Water
268,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Bareland
269,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
270,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
271,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
272,Water,Water,Forest,Water,Non_Wetland,Forest,NULL,Water
273,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
274,Water,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
275,Water,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
276,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
277,Water,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
278,Water,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
279,Water,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
280,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
283,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
284,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
286,Water,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
287,Water,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
288,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
289,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
290,Water,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
291,Water,Forest,Wetland,NULL,Wetland,Wetland,NULL,Forest
292,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
293,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
294,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
295,Water,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
296,Water,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
297,Water,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
298,Water,Forest,Wetland,Non_Water,Wetland,Forest,NULL,Forest
299,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
300,Water,Forest,Water,NULL,Water,Wetland,Wetland,Forest
301,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
302,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
306,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
307,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
308,Water,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
309,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
310,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Water
311,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
312,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
313,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
314,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
315,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
316,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
317,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
318,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
319,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
320,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
321,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
322,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
323,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
324,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Permanent_ice_and_snow,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
326,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
327,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland,NULL,Water
328,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
329,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
330,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
331,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
332,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Water
333,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
334,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
335,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
336,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
337,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
338,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
339,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
340,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
341,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
342,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
343,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
344,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
345,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
346,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
347,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
348,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
349,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
350,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
351,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
352,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
353,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
354,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
355,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
356,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
357,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
358,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
