Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R
230,NULL,Forest,Wetland,Non_Water,Wetland,Water
231,NULL,Forest,Wetland,Non_Water,Wetland,Forest
232,NULL,Forest,Wetland,Water,Wetland,Grassland
233,NULL,Forest,Wetland,Water,Wetland,Water
234,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
235,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
236,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
237,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland
238,NULL,Forest,Built-up,Water,Non_Wetland,Water
239,NULL,Forest,Water,Water,Water,Water
240,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
241,NULL,Forest,Forest,NULL,Non_Wetland,Forest
242,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
243,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
244,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
245,NULL,Forest,Forest,Water,Non_Wetland,Grassland
246,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
247,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
248,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
249,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
250,Grassland,NULL,NULL,Water,Non_Wetland,Water
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
256,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
257,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
258,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
259,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
260,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
263,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
264,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
265,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
266,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
267,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
269,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
270,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
271,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
272,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water
273,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
274,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
275,Grassland,NULL,Grassland,Water,Non_Wetland,Water
276,Grassland,NULL,Grassland,Water,Non_Wetland,Forest
277,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
279,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
280,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
281,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
282,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
283,Grassland,NULL,Cropland,Water,Non_Wetland,Water
284,Grassland,NULL,Wetland,NULL,Wetland,NULL
285,Grassland,NULL,Wetland,NULL,Wetland,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,Water
287,Grassland,NULL,Wetland,NULL,Wetland,Forest
288,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
289,Grassland,NULL,Wetland,Non_Water,Wetland,Water
290,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
291,Grassland,NULL,Wetland,Water,Wetland,Grassland
292,Grassland,NULL,Wetland,Water,Wetland,Water
293,Grassland,NULL,Wetland,Water,Wetland,Forest
294,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
295,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
296,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
297,Grassland,NULL,Bareland,Water,Non_Wetland,Water
298,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
300,Grassland,NULL,Built-up,NULL,Non_Wetland,Water
301,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
302,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
303,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water
304,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
305,Grassland,NULL,Built-up,Water,Non_Wetland,Water
306,Grassland,NULL,Water,NULL,Water,Grassland
307,Grassland,NULL,Water,NULL,Water,Water
308,Grassland,NULL,Water,NULL,Water,Forest
309,Grassland,NULL,Water,Non_Water,Water,Grassland
310,Grassland,NULL,Water,Non_Water,Water,Water
311,Grassland,NULL,Water,Non_Water,Water,Forest
312,Grassland,NULL,Water,Water,Water,Grassland
313,Grassland,NULL,Water,Water,Water,Water
314,Grassland,NULL,Water,Water,Water,Forest
315,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
316,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
317,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
318,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
319,Grassland,NULL,Forest,NULL,Non_Wetland,Water
320,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
323,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
324,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
325,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
326,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
327,Grassland,NULL,Forest,Water,Non_Wetland,Water
328,Grassland,NULL,Forest,Water,Non_Wetland,Forest
329,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
330,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
332,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
333,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
334,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
335,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
336,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
337,Grassland,Wetland,NULL,Water,Non_Wetland,Water
338,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
339,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
340,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
341,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
342,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
343,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
344,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
345,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
346,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
347,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
348,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
349,Grassland,Wetland,Grassland,Water,Non_Wetland,Water
350,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
351,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
352,Grassland,Wetland,Wetland,NULL,Wetland,Water
353,Grassland,Wetland,Wetland,NULL,Wetland,Forest
354,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
355,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
356,Grassland,Wetland,Wetland,Water,Wetland,Grassland
357,Grassland,Wetland,Wetland,Water,Wetland,Water
358,Grassland,Wetland,Wetland,Water,Wetland,Forest
359,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
360,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
361,Grassland,Wetland,Built-up,NULL,Non_Wetland,Forest
362,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
363,Grassland,Wetland,Built-up,Water,Non_Wetland,Grassland
364,Grassland,Wetland,Built-up,Water,Non_Wetland,Water
365,Grassland,Wetland,Water,Water,Water,Grassland
366,Grassland,Wetland,Water,Water,Water,Water
367,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
368,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
369,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
370,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
371,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
372,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
373,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
374,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
375,Grassland,Wetland,Forest,Water,Non_Wetland,Water
376,Grassland,Bareland,Shrubland,Water,Non_Wetland,Grassland
377,Grassland,Bareland,Grassland,Water,Non_Wetland,Water
378,Grassland,Bareland,Wetland,Water,Wetland,Water
379,Grassland,Bareland,Built-up,Water,Non_Wetland,Water
380,Grassland,Bareland,Water,Water,Water,Water
381,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
382,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
383,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
384,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
385,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
386,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
387,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
388,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
389,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
390,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
391,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
392,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Forest
393,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
394,Grassland,Water,Shrubland,NULL,Non_Wetland,Water
395,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
396,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
397,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
398,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
399,Grassland,Water,Shrubland,Water,Non_Wetland,Water
400,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
401,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
402,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
403,Grassland,Water,Grassland,Water,Non_Wetland,Grassland
404,Grassland,Water,Grassland,Water,Non_Wetland,Water
405,Grassland,Water,Cropland,NULL,Non_Wetland,Water
406,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
407,Grassland,Water,Cropland,Non_Water,Non_Wetland,Water
408,Grassland,Water,Wetland,NULL,Wetland,Grassland
409,Grassland,Water,Wetland,NULL,Wetland,Water
410,Grassland,Water,Wetland,NULL,Wetland,Forest
411,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
412,Grassland,Water,Wetland,Non_Water,Wetland,Water
413,Grassland,Water,Wetland,Non_Water,Wetland,Forest
414,Grassland,Water,Wetland,Water,Wetland,Grassland
415,Grassland,Water,Wetland,Water,Wetland,Water
416,Grassland,Water,Wetland,Water,Wetland,Forest
417,Grassland,Water,Built-up,NULL,Non_Wetland,Water
418,Grassland,Water,Water,NULL,Water,Grassland
419,Grassland,Water,Water,NULL,Water,Forest
420,Grassland,Water,Water,Water,Water,Grassland
421,Grassland,Water,Water,Water,Water,Water
422,Grassland,Water,Water,Water,Water,Forest
423,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
424,Grassland,Water,Forest,NULL,Non_Wetland,Water
425,Grassland,Water,Forest,NULL,Non_Wetland,Forest
426,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
427,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
428,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
429,Grassland,Water,Forest,Water,Non_Wetland,Grassland
430,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
431,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
432,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
433,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
434,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
435,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
