Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYH_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
247,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Cropland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
300,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
303,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
323,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
